y,z,d
-120,-10,35.909355
-119,-10,34.91284
-118,-10,33.91639
-117,-10,32.919987
-116,-10,31.923653
-115,-10,30.927368
-114,-10,29.931164
-113,-10,28.93502
-112,-10,27.938955
-111,-10,26.942951
-110,-10,25.947018
-109,-10,24.951172
-108,-10,23.955378
-107,-10,22.959682
-106,-10,21.964058
-105,-10,20.968533
-104,-10,19.973078
-103,-10,18.97771
-102,-10,17.982435
-101,-10,16.98725
-100,-10,15.992173
-99,-10,14.997176
-98,-10,14.00229
-97,-10,13.007512
-96,-10,12.0128355
-95,-10,11.018278
-94,-10,10.02383
-93,-10,9.029503
-92,-10,8.035284
-91,-10,7.041206
-90,-10,6.0472674
-89,-10,5.053448
-88,-10,4.059769
-87,-10,3.0662396
-86,-10,2.0728598
-85,-10,1.0796196
-84,-10,0.08655894
-83,-10,-0.69364804
-82,-10,0.2990833
-81,-10,1.291635
-80,-10,2.284012
-79,-10,3.2761943
-78,-10,4.268177
-77,-10,5.2599554
-76,-10,6.251519
-75,-10,7.2428637
-74,-10,8.233969
-73,-10,9.224838
-72,-10,10.21546
-71,-10,11.205821
-70,-10,12.195912
-69,-10,13.185716
-68,-10,14.175228
-67,-10,15.164433
-66,-10,16.153309
-65,-10,17.14186
-64,-10,18.130049
-63,-10,19.117876
-62,-10,20.105318
-61,-10,21.092352
-60,-10,22.078966
-59,-10,23.065132
-58,-10,24.050833
-57,-10,25.036045
-56,-10,26.020739
-55,-10,27.004889
-54,-10,27.98847
-53,-10,28.971447
-52,-10,29.953775
-51,-10,30.935446
-50,-10,31.916393
-49,-10,32.89659
-48,-10,33.87599
-47,-10,34.854538
-46,-10,35.83218
-45,-10,36.808865
-44,-10,37.78453
-43,-10,38.75911
-42,-10,39.73252
-41,-10,40.704693
-40,-10,41.67553
-39,-10,42.644943
-38,-10,43.612827
-37,-10,44.579056
-36,-10,45.543507
-35,-10,46.506042
-34,-10,47.4665
-33,-10,48.42471
-32,-10,49.380478
-31,-10,50.333595
-30,-10,51.283813
-29,-10,52.230865
-28,-10,53.174454
-27,-10,54.114227
-26,-10,55.049812
-25,-10,55.980766
-24,-10,56.90659
-23,-10,57.826717
-22,-10,58.740498
-21,-10,59.647186
-20,-10,60.545906
-19,-10,61.43568
-18,-10,62.315327
-17,-10,63.183506
-16,-10,64.03863
-15,-10,64.87883
-14,-10,65.701935
-13,-10,66.50536
-12,-10,67.28609
-11,-10,68.04052
-10,-10,68.76445
-9,-10,69.452965
-8,-10,70.100334
-7,-10,70.70003
-6,-10,71.24468
-5,-10,71.72624
-4,-10,72.13625
-3,-10,72.46628
-2,-10,72.70855
-1,-10,72.85671
0,-10,72.906586
1,-10,72.85671
2,-10,72.70855
3,-10,72.46628
4,-10,72.13625
5,-10,71.72624
6,-10,71.24468
7,-10,70.70003
8,-10,70.100334
9,-10,69.452965
10,-10,68.76445
11,-10,68.04052
12,-10,67.28609
13,-10,66.50536
14,-10,65.701935
15,-10,64.87883
16,-10,64.03863
17,-10,63.183506
18,-10,62.315327
19,-10,61.43568
20,-10,60.545906
21,-10,59.647186
22,-10,58.740498
23,-10,57.826717
24,-10,56.90659
25,-10,55.980766
26,-10,55.049812
27,-10,54.114227
28,-10,53.174454
29,-10,52.230865
30,-10,51.283813
31,-10,50.333595
32,-10,49.380478
33,-10,48.42471
34,-10,47.4665
35,-10,46.506042
36,-10,45.543507
37,-10,44.579056
38,-10,43.612827
39,-10,42.644943
40,-10,41.67553
41,-10,40.704693
42,-10,39.73252
43,-10,38.75911
44,-10,37.78453
45,-10,36.808865
46,-10,35.83218
47,-10,34.854538
48,-10,33.87599
49,-10,32.89659
50,-10,31.916393
51,-10,30.935446
52,-10,29.953775
53,-10,28.971447
54,-10,27.98847
55,-10,27.004889
56,-10,26.020739
57,-10,25.036045
58,-10,24.050833
59,-10,23.065132
60,-10,22.078966
61,-10,21.092352
62,-10,20.105318
63,-10,19.117876
64,-10,18.130049
65,-10,17.14186
66,-10,16.153309
67,-10,15.164433
68,-10,14.175228
69,-10,13.185716
70,-10,12.195912
71,-10,11.205821
72,-10,10.21546
73,-10,9.224838
74,-10,8.233969
75,-10,7.2428637
76,-10,6.251519
77,-10,5.2599554
78,-10,4.268177
79,-10,3.2761943
80,-10,2.284012
81,-10,1.291635
82,-10,0.2990833
83,-10,-0.69364804
84,-10,0.08655894
85,-10,1.0796196
86,-10,2.0728598
87,-10,3.0662396
88,-10,4.059769
89,-10,5.053448
90,-10,6.0472674
91,-10,7.041206
92,-10,8.035284
93,-10,9.029503
94,-10,10.02383
95,-10,11.018278
96,-10,12.0128355
97,-10,13.007512
98,-10,14.00229
99,-10,14.997176
100,-10,15.992173
101,-10,16.98725
102,-10,17.982435
103,-10,18.97771
104,-10,19.973078
105,-10,20.968533
106,-10,21.964058
107,-10,22.959682
108,-10,23.955378
109,-10,24.951172
110,-10,25.947018
111,-10,26.942951
112,-10,27.938955
113,-10,28.93502
114,-10,29.931164
115,-10,30.927368
116,-10,31.923653
117,-10,32.919987
118,-10,33.91639
119,-10,34.91284
120,-10,35.909355
-120,-9.166667,35.843006
-119,-9.166667,34.845947
-118,-9.166667,33.848934
-117,-9.166667,32.85195
-116,-9.166667,31.855038
-115,-9.166667,30.858166
-114,-9.166667,29.861364
-113,-9.166667,28.864601
-112,-9.166667,27.867908
-111,-9.166667,26.871275
-110,-9.166667,25.874693
-109,-9.166667,24.87819
-108,-9.166667,23.881725
-107,-9.166667,22.885342
-106,-9.166667,21.889029
-105,-9.166667,20.892786
-104,-9.166667,19.896612
-103,-9.166667,18.900507
-102,-9.166667,17.904484
-101,-9.166667,16.908539
-100,-9.166667,15.912673
-99,-9.166667,14.916888
-98,-9.166667,13.921193
-97,-9.166667,12.925589
-96,-9.166667,11.930063
-95,-9.166667,10.934637
-94,-9.166667,9.939312
-93,-9.166667,8.944086
-92,-9.166667,7.94895
-91,-9.166667,6.9539332
-90,-9.166667,5.9590364
-89,-9.166667,4.9642296
-88,-9.166667,3.9695628
-87,-9.166667,2.9749954
-86,-9.166667,1.9805677
-85,-9.166667,0.98625976
-84,-9.166667,-0.0079084635
-83,-9.166667,-0.598068
-82,-9.166667,0.3958158
-81,-9.166667,1.389545
-80,-9.166667,2.3831246
-79,-9.166667,3.3765442
-78,-9.166667,4.3697944
-77,-9.166667,5.362875
-76,-9.166667,6.3557706
-75,-9.166667,7.348482
-74,-9.166667,8.340994
-73,-9.166667,9.333306
-72,-9.166667,10.325404
-71,-9.166667,11.3172865
-70,-9.166667,12.308941
-69,-9.166667,13.300355
-68,-9.166667,14.291519
-67,-9.166667,15.282424
-66,-9.166667,16.27305
-65,-9.166667,17.263403
-64,-9.166667,18.253454
-63,-9.166667,19.243196
-62,-9.166667,20.23261
-61,-9.166667,21.221685
-60,-9.166667,22.2104
-59,-9.166667,23.198736
-58,-9.166667,24.186678
-57,-9.166667,25.17421
-56,-9.166667,26.161299
-55,-9.166667,27.147932
-54,-9.166667,28.134083
-53,-9.166667,29.119719
-52,-9.166667,30.104807
-51,-9.166667,31.089336
-50,-9.166667,32.073257
-49,-9.166667,33.056538
-48,-9.166667,34.03914
-47,-9.166667,35.02102
-46,-9.166667,36.002136
-45,-9.166667,36.982433
-44,-9.166667,37.96187
-43,-9.166667,38.940376
-42,-9.166667,39.917896
-41,-9.166667,40.894356
-40,-9.166667,41.869686
-39,-9.166667,42.843792
-38,-9.166667,43.816593
-37,-9.166667,44.787987
-36,-9.166667,45.757862
-35,-9.166667,46.7261
-34,-9.166667,47.69256
-33,-9.166667,48.657097
-32,-9.166667,49.619537
-31,-9.166667,50.579697
-30,-9.166667,51.537373
-29,-9.166667,52.492317
-28,-9.166667,53.444275
-27,-9.166667,54.392952
-26,-9.166667,55.337986
-25,-9.166667,56.27901
-24,-9.166667,57.215584
-23,-9.166667,58.14719
-22,-9.166667,59.073254
-21,-9.166667,59.993103
-20,-9.166667,60.905956
-19,-9.166667,61.81091
-18,-9.166667,62.706894
-17,-9.166667,63.592663
-16,-9.166667,64.46674
-15,-9.166667,65.3274
-14,-9.166667,66.172554
-13,-9.166667,66.99973
-12,-9.166667,67.80599
-11,-9.166667,68.58779
-10,-9.166667,69.340904
-9,-9.166667,70.06027
-8,-9.166667,70.73992
-7,-9.166667,71.37282
-6,-9.166667,71.95087
-5,-9.166667,72.46495
-4,-9.166667,72.9052
-3,-9.166667,73.26149
-2,-9.166667,73.52428
-1,-9.166667,73.68553
0,-9.166667,73.739914
1,-9.166667,73.68553
2,-9.166667,73.52428
3,-9.166667,73.26149
4,-9.166667,72.9052
5,-9.166667,72.46495
6,-9.166667,71.95087
7,-9.166667,71.37282
8,-9.166667,70.73992
9,-9.166667,70.06027
10,-9.166667,69.340904
11,-9.166667,68.58779
12,-9.166667,67.80599
13,-9.166667,66.99973
14,-9.166667,66.172554
15,-9.166667,65.3274
16,-9.166667,64.46674
17,-9.166667,63.592663
18,-9.166667,62.706894
19,-9.166667,61.81091
20,-9.166667,60.905956
21,-9.166667,59.993103
22,-9.166667,59.073254
23,-9.166667,58.14719
24,-9.166667,57.215584
25,-9.166667,56.27901
26,-9.166667,55.337986
27,-9.166667,54.392952
28,-9.166667,53.444275
29,-9.166667,52.492317
30,-9.166667,51.537373
31,-9.166667,50.579697
32,-9.166667,49.619537
33,-9.166667,48.657097
34,-9.166667,47.69256
35,-9.166667,46.7261
36,-9.166667,45.757862
37,-9.166667,44.787987
38,-9.166667,43.816593
39,-9.166667,42.843792
40,-9.166667,41.869686
41,-9.166667,40.894356
42,-9.166667,39.917896
43,-9.166667,38.940376
44,-9.166667,37.96187
45,-9.166667,36.982433
46,-9.166667,36.002136
47,-9.166667,35.02102
48,-9.166667,34.03914
49,-9.166667,33.056538
50,-9.166667,32.073257
51,-9.166667,31.089336
52,-9.166667,30.104807
53,-9.166667,29.119719
54,-9.166667,28.134083
55,-9.166667,27.147932
56,-9.166667,26.161299
57,-9.166667,25.17421
58,-9.166667,24.186678
59,-9.166667,23.198736
60,-9.166667,22.2104
61,-9.166667,21.221685
62,-9.166667,20.23261
63,-9.166667,19.243196
64,-9.166667,18.253454
65,-9.166667,17.263403
66,-9.166667,16.27305
67,-9.166667,15.282424
68,-9.166667,14.291519
69,-9.166667,13.300355
70,-9.166667,12.308941
71,-9.166667,11.3172865
72,-9.166667,10.325404
73,-9.166667,9.333306
74,-9.166667,8.340994
75,-9.166667,7.348482
76,-9.166667,6.3557706
77,-9.166667,5.362875
