y,z,d
-60,-40,25.938791
-58.8,-40,25.232573
-57.6,-40,24.533731
-56.4,-40,23.841227
-55.2,-40,23.15511
-54,-40,22.475588
-52.8,-40,21.802866
-51.6,-40,21.137474
-50.4,-40,20.48105
-49.2,-40,19.832262
-48,-40,19.19135
-46.8,-40,18.558565
-45.6,-40,17.934158
-44.4,-40,17.31937
-43.199997,-40,16.715073
-42,-40,16.12017
-40.8,-40,15.534958
-39.6,-40,14.959735
-38.4,-40,14.394808
-37.199997,-40,13.842413
-36,-40,13.3021755
-34.8,-40,12.773434
-33.6,-40,12.256527
-32.4,-40,11.7518015
-31.199999,-40,11.259602
-29.999998,-40,10.783506
-28.8,-40,10.321274
-27.599998,-40,9.872912
-26.399998,-40,9.438787
-25.199997,-40,9.019271
-24,-40,8.615319
-22.8,-40,8.23041
-21.599998,-40,7.861481
-20.399998,-40,7.5088983
-19.199997,-40,7.173021
-18,-40,6.8542
-16.8,-40,6.5546284
-15.599998,-40,6.2758875
-14.399998,-40,6.015445
-13.199997,-40,5.7736034
-12,-40,5.5506554
-10.799999,-40,5.346874
-9.599998,-40,5.1658635
-8.399998,-40,5.0065975
-7.199997,-40,4.8673677
-5.999996,-40,4.748353
-4.799999,-40,4.649715
-3.5999985,-40,4.571595
-2.3999977,-40,4.5189595
-1.199997,-40,4.487761
0.0000038146973,-40,4.477358
1.2000008,-40,4.487761
2.4000015,-40,4.51896
3.6000023,-40,4.5715957
4.800003,-40,4.649716
6,-40,4.7483535
7.2000046,-40,4.867368
8.400002,-40,5.0065985
9.600006,-40,5.165865
10.800003,-40,5.346876
12,-40,5.5506563
13.200005,-40,5.773606
14.400002,-40,6.015446
15.600006,-40,6.275891
16.800003,-40,6.5546308
18,-40,6.854201
19.200005,-40,7.173023
20.400002,-40,7.5089006
21.600006,-40,7.8614836
22.800003,-40,8.230408
24,-40,8.615317
25.200005,-40,9.019275
26.400002,-40,9.438791
27.600006,-40,9.872915
28.800003,-40,10.321276
30,-40,10.783507
31.200005,-40,11.259604
32.4,-40,11.751804
33.600006,-40,12.25653
34.800003,-40,12.773437
36,-40,13.3021755
37.200005,-40,13.8424225
38.4,-40,14.394813
39.600006,-40,14.95974
40.800003,-40,15.534963
42.000008,-40,16.120173
43.200005,-40,16.715078
44.4,-40,17.319376
45.600006,-40,17.934158
46.800003,-40,18.558565
48.000008,-40,19.191353
49.200005,-40,19.832266
50.4,-40,20.481052
51.600006,-40,21.137478
52.800003,-40,21.802868
54.000008,-40,22.47559
55.200005,-40,23.155115
56.4,-40,23.841228
57.600006,-40,24.533737
58.800003,-40,25.232574
60.000008,-40,25.938791
-60,-39.2,25.421099
-58.8,-39.2,24.708826
-57.6,-39.2,24.003828
-56.4,-39.2,23.305079
-55.2,-39.2,22.612635
-54,-39.2,21.926702
-52.8,-39.2,21.24749
-51.6,-39.2,20.575523
-50.4,-39.2,19.912436
-49.2,-39.2,19.256907
-48,-39.2,18.609184
-46.8,-39.2,17.969522
-45.6,-39.2,17.338173
-44.4,-39.2,16.716377
-43.199997,-39.2,16.105011
-42,-39.2,15.502995
-40.8,-39.2,14.9106245
-39.6,-39.2,14.32821
-38.4,-39.2,13.756062
-37.199997,-39.2,13.196423
-36,-39.2,12.648932
-34.8,-39.2,12.11294
-33.6,-39.2,11.588794
-32.4,-39.2,11.07685
-31.199999,-39.2,10.577463
-29.999998,-39.2,10.094239
-28.8,-39.2,9.624946
-27.599998,-39.2,9.169601
-26.399998,-39.2,8.728585
-25.199997,-39.2,8.302284
-24,-39.2,7.8916736
-22.8,-39.2,7.500282
-21.599998,-39.2,7.1250367
-20.399998,-39.2,6.7663183
-19.199997,-39.2,6.424503
-18,-39.2,6.099959
-16.8,-39.2,5.7949233
-15.599998,-39.2,5.5110197
-14.399998,-39.2,5.2456923
-13.199997,-39.2,4.9992604
-12,-39.2,4.7720346
-10.799999,-39.2,4.564302
-9.599998,-39.2,4.3797426
-8.399998,-39.2,4.2173257
-7.199997,-39.2,4.0753226
-5.999996,-39.2,3.9539223
-4.799999,-39.2,3.8532963
-3.5999985,-39.2,3.773595
-2.3999977,-39.2,3.7198894
-1.199997,-39.2,3.6880555
0.0000038146973,-39.2,3.67744
1.2000008,-39.2,3.6880555
2.4000015,-39.2,3.71989
3.6000023,-39.2,3.7735956
4.800003,-39.2,3.8532972
6,-39.2,3.9539227
7.2000046,-39.2,4.0753226
8.400002,-39.2,4.2173266
9.600006,-39.2,4.379744
10.800003,-39.2,4.5643034
12,-39.2,4.772035
13.200005,-39.2,4.9992633
14.400002,-39.2,5.2456937
15.600006,-39.2,5.511023
16.800003,-39.2,5.7949257
18,-39.2,6.0999603
19.200005,-39.2,6.4245057
20.400002,-39.2,6.766321
21.600006,-39.2,7.1250396
22.800003,-39.2,7.5002813
24,-39.2,7.8916717
25.200005,-39.2,8.302288
26.400002,-39.2,8.728589
27.600006,-39.2,9.169603
28.800003,-39.2,9.624948
30,-39.2,10.09424
31.200005,-39.2,10.577466
32.4,-39.2,11.076853
33.600006,-39.2,11.588796
34.800003,-39.2,12.112944
36,-39.2,12.648933
37.200005,-39.2,13.196432
38.4,-39.2,13.756066
39.600006,-39.2,14.328214
40.800003,-39.2,14.910629
42.000008,-39.2,15.502996
43.200005,-39.2,16.105019
44.4,-39.2,16.716387
45.600006,-39.2,17.338175
46.800003,-39.2,17.969522
48.000008,-39.2,18.609186
49.200005,-39.2,19.25691
50.4,-39.2,19.912436
51.600006,-39.2,20.575527
52.800003,-39.2,21.247492
54.000008,-39.2,21.926704
55.200005,-39.2,22.61264
56.4,-39.2,23.30508
57.600006,-39.2,24.003836
58.800003,-39.2,24.70883
60.000008,-39.2,25.421099
-60,-38.4,24.909248
-58.8,-38.4,24.190891
-57.6,-38.4,23.479704
-56.4,-38.4,22.77467
-55.2,-38.4,22.075853
-54,-38.4,21.383465
-52.8,-38.4,20.697708
-51.6,-38.4,20.01911
-50.4,-38.4,19.349295
-49.2,-38.4,18.686956
-48,-38.4,18.03235
-46.8,-38.4,17.38573
