x,z,d
60,-40,27.108091
60.625,-40,26.49062
61.25,-40,25.873432
61.875,-40,25.256538
62.5,-40,24.639994
63.125,-40,24.023859
63.75,-40,23.408089
64.375,-40,22.792702
65,-40,22.17771
65.625,-40,21.563234
66.25,-40,20.949299
66.875,-40,20.335867
67.5,-40,19.722963
68.125,-40,19.110619
68.75,-40,18.499071
69.375,-40,17.888252
70,-40,17.278152
70.625,-40,16.668829
71.25,-40,16.060352
71.875,-40,15.453112
72.5,-40,14.846897
73.125,-40,14.241791
73.75,-40,13.637878
74.375,-40,13.035389
75,-40,12.434751
75.625,-40,11.835766
76.25,-40,11.238578
76.875,-40,10.643346
77.5,-40,10.050685
78.125,-40,9.4610195
78.75,-40,8.874219
79.375,-40,8.290586
80,-40,7.710453
80.625,-40,7.1354327
81.25,-40,6.5657234
81.875,-40,6.001545
82.5,-40,5.4436054
83.125,-40,4.8926926
83.75,-40,4.353237
84.375,-40,3.824505
85,-40,3.307996
85.625,-40,2.80559
86.25,-40,2.3206756
86.875,-40,1.862767
87.5,-40,1.430954
88.125,-40,1.0297095
88.75,-40,0.6639298
89.375,-40,0.34659415
90,-40,0.092638135
90.625,-40,-0.100736946
91.25,-40,-0.22820863
91.875,-40,-0.285311
92.5,-40,-0.25214213
93.125,-40,-0.13776283
93.75,-40,0.04315123
94.375,-40,0.2851934
95,-40,0.5822988
95.625,-40,0.93906015
96.25,-40,1.3340343
96.875,-40,1.7600882
97.5,-40,2.2128205
98.125,-40,2.6888373
98.75,-40,3.1885242
99.375,-40,3.7024665
100,-40,4.2046375
100.625,-40,4.643092
101.25,-40,4.890914
101.875,-40,4.7634454
102.5,-40,4.3692303
103.125,-40,3.854778
103.75,-40,3.3496976
104.375,-40,2.8631473
105,-40,2.3991508
105.625,-40,1.958491
106.25,-40,1.5448949
106.875,-40,1.1624422
107.5,-40,0.828694
108.125,-40,0.5455867
108.75,-40,0.315824
109.375,-40,0.1448309
110,-40,0.03773182
110.625,-40,0.024505405
111.25,-40,0.08093514
111.875,-40,0.20448187
112.5,-40,0.39165667
113.125,-40,0.64191866
113.75,-40,0.9552443
114.375,-40,1.3097138
115,-40,1.7001871
115.625,-40,2.1218572
116.25,-40,2.573685
116.875,-40,3.0501738
117.5,-40,3.5433354
118.125,-40,4.028401
118.75,-40,4.454721
119.375,-40,4.574168
120,-40,4.398019
120.625,-40,4.024462
121.25,-40,3.544614
121.875,-40,3.0656927
122.5,-40,2.6125731
123.125,-40,2.1842964
123.75,-40,1.7839717
124.375,-40,1.4156383
125,-40,1.0859238
125.625,-40,0.81461406
126.25,-40,0.5955957
126.875,-40,0.43354455
127.5,-40,0.33254826
128.125,-40,0.3049891
128.75,-40,0.35854575
129.375,-40,0.47577828
130,-40,0.65329814
130.625,-40,0.88702774
131.25,-40,1.1810141
131.875,-40,1.5224967
132.5,-40,1.8995497
133.125,-40,2.3078067
133.75,-40,2.7431884
134.375,-40,3.2073026
135,-40,3.6904178
135.625,-40,4.1890006
136.25,-40,4.7011423
136.875,-40,5.2253194
137.5,-40,5.762484
138.125,-40,6.307689
138.75,-40,6.860088
139.375,-40,7.4188914
140,-40,7.9838743
140.625,-40,8.554858
141.25,-40,9.129951
141.875,-40,9.70878
142.5,-40,10.291022
143.125,-40,10.876805
143.75,-40,11.465659
144.375,-40,12.056852
145,-40,12.6502
145.625,-40,13.245511
146.25,-40,13.843072
146.875,-40,14.44234
147.5,-40,15.043044
148.125,-40,15.645083
148.75,-40,16.24836
149.375,-40,16.853146
150,-40,17.45896
150.625,-40,18.0657
151.25,-40,18.67332
151.875,-40,19.281837
152.5,-40,19.891312
153.125,-40,20.501463
153.75,-40,21.112272
154.375,-40,21.723698
155,-40,22.335749
155.625,-40,22.948462
156.25,-40,23.561657
156.875,-40,24.175312
157.5,-40,24.789402
158.125,-40,25.404
158.75,-40,26.019028
159.375,-40,26.634413
160,-40,27.250145
60,-39.5,27.035204
60.625,-39.5,26.416311
61.25,-39.5,25.797646
61.875,-39.5,25.179222
62.5,-39.5,24.561083
63.125,-39.5,23.943277
63.75,-39.5,23.32577
64.375,-39.5,22.708569
65,-39.5,22.091698
65.625,-39.5,21.475243
66.25,-39.5,20.85923
66.875,-39.5,20.243628
67.5,-39.5,19.62846
68.125,-39.5,19.013744
68.75,-39.5,18.399685
69.375,-39.5,17.78622
70,-39.5,17.173346
70.625,-39.5,16.561104
71.25,-39.5,15.949559
71.875,-39.5,15.33903
72.5,-39.5,14.729343
73.125,-39.5,14.120567
73.75,-39.5,13.512774
74.375,-39.5,12.906157
75,-39.5,12.3010645
75.625,-39.5,11.697341
76.25,-39.5,11.095107
76.875,-39.5,10.4944935
77.5,-39.5,9.896016
78.125,-39.5,9.300037
78.75,-39.5,8.706452
79.375,-39.5,8.115521
80,-39.5,7.5275283
80.625,-39.5,6.9438486
81.25,-39.5,6.3646708
81.875,-39.5,5.7902036
82.5,-39.5,5.221075
83.125,-39.5,4.6579866
83.75,-39.5,4.1048346
84.375,-39.5,3.5610816
85,-39.5,3.0281444
85.625,-39.5,2.5078046
86.25,-39.5,2.0032537
86.875,-39.5,1.5235603
87.5,-39.5,1.068433
88.125,-39.5,0.64263594
88.75,-39.5,0.25150356
89.375,-39.5,-0.091137245
90,-39.5,-0.36811015
90.625,-39.5,-0.5804749
91.25,-39.5,-0.72131675
91.875,-39.5,-0.7847396
92.5,-39.5,-0.7478579
93.125,-39.5,-0.62126297
93.75,-39.5,-0.42233983
94.375,-39.5,-0.15807462
95,-39.5,0.16382457
95.625,-39.5,0.54613316
96.25,-39.5,0.9658738
96.875,-39.5,1.4154955
97.5,-39.5,1.890315
98.125,-39.5,2.38673
98.75,-39.5,2.904646
99.375,-39.5,3.435298
100,-39.5,3.9536767
100.625,-39.5,4.4066386
101.25,-39.5,4.660776
101.875,-39.5,4.518503
102.5,-39.5,4.107467
103.125,-39.5,3.5762656
103.75,-39.5,3.0543845
104.375,-39.5,2.5493095
105,-39.5,2.0650523
105.625,-39.5,1.6027178
106.25,-39.5,1.1662109
106.875,-39.5,0.7598771
107.5,-39.5,0.40194198
108.125,-39.5,0.09589851
108.75,-39.5,-0.15420043
109.375,-39.5,-0.34156638
110,-39.5,-0.45964706
110.625,-39.5,-0.47427788
111.25,-39.5,-0.41198444
111.875,-39.5,-0.27614814
112.5,-39.5,-0.07133634
113.125,-39.5,0.20065787
113.75,-39.5,0.5378345
114.375,-39.5,0.91636634
115,-39.5,1.3304551
115.625,-39.5,1.774782
116.25,-39.5,2.2477167
116.875,-39.5,2.743539
117.5,-39.5,3.2547336
118.125,-39.5,3.7570384
118.75,-39.5,4.1991224
119.375,-39.5,4.320827
120,-39.5,4.130928
120.625,-39.5,3.7382922
121.25,-39.5,3.2386355
121.875,-39.5,2.7416136
122.5,-39.5,2.2686439
123.125,-39.5,1.8192825
123.75,-39.5,1.3969197
124.375,-39.5,1.0059389
125,-39.5,0.653465
125.625,-39.5,0.36084425
126.25,-39.5,0.12322389
126.875,-39.5,-0.05352923
127.5,-39.5,-0.1642215
128.125,-39.5,-0.19452514
128.75,-39.5,-0.13568996
129.375,-39.5,-0.0073980205
