y,z,d
-60,-40,25.598408
-59,-40,24.875732
-58,-40,24.169954
-57,-40,23.484154
-56,-40,22.816408
-55,-40,22.16786
-54,-40,21.539698
-53,-40,20.933474
-52,-40,20.357641
-51,-40,19.807373
-50,-40,19.284157
-49,-40,18.789509
-48,-40,18.324963
-47,-40,17.89979
-46,-40,17.511757
-45,-40,17.159843
-44,-40,16.84552
-43,-40,16.570198
-42,-40,16.34077
-41,-40,16.160728
-40,-40,16.02398
-39,-40,15.931197
-38,-40,15.882144
-37,-40,15.876718
-36,-40,15.891527
-35,-40,15.900157
-34,-40,15.884791
-33,-40,15.823349
-32,-40,15.689712
-31,-40,15.420879
-30,-40,15.116016
-29,-40,14.841025
-28,-40,14.619908
-27,-40,14.456259
-26,-40,14.361472
-25,-40,14.336282
-24,-40,14.372029
-23,-40,14.468213
-22,-40,14.619642
-21,-40,14.81369
-20,-40,14.738475
-19,-40,14.307353
-18,-40,13.559778
-17,-40,12.615772
-16,-40,11.662082
-15,-40,10.715304
-14,-40,9.77541
-13,-40,8.843485
-12,-40,7.920985
-11,-40,7.0096626
-10,-40,6.1149526
-9,-40,5.2410555
-8,-40,4.3911347
-7,-40,3.571337
-6,-40,2.7893407
-5,-40,2.060854
-4,-40,1.4167377
-3,-40,0.8684624
-2,-40,0.44010985
-1,-40,0.15560427
0,-40,0.037857804
1,-40,0.15560628
2,-40,0.44011477
3,-40,0.86846775
4,-40,1.4167453
5,-40,2.0608664
6,-40,2.78935
7,-40,3.5713506
8,-40,4.3911457
9,-40,5.24107
10,-40,6.1149645
11,-40,7.00967
12,-40,7.920996
13,-40,8.843492
14,-40,9.775421
15,-40,10.715311
16,-40,11.662094
17,-40,12.615785
18,-40,13.559787
19,-40,14.307363
20,-40,14.738477
21,-40,14.813688
22,-40,14.61964
23,-40,14.468211
24,-40,14.372029
25,-40,14.336282
26,-40,14.361474
27,-40,14.45626
28,-40,14.619909
29,-40,14.841028
30,-40,15.107046
31,-40,15.388416
32,-40,15.623906
33,-40,15.783884
34,-40,15.880313
35,-40,15.9137535
36,-40,15.895532
37,-40,15.849334
38,-40,15.85061
39,-40,15.898475
40,-40,15.990816
41,-40,16.127125
42,-40,16.306725
43,-40,16.535723
44,-40,16.810621
45,-40,17.124529
46,-40,17.476042
47,-40,17.863688
48,-40,18.28849
49,-40,18.75268
50,-40,19.247
51,-40,19.7699
52,-40,20.31986
53,-40,20.895412
54,-40,21.501373
55,-40,22.129282
56,-40,22.7776
57,-40,23.445126
58,-40,24.130718
59,-40,24.8363
60,-40,25.558796
-60,-39,24.923185
-59,-39,24.183977
-58,-39,23.461197
-57,-39,22.757933
-56,-39,22.072372
-55,-39,21.405704
-54,-39,20.759165
-53,-39,20.134363
-52,-39,19.539835
-51,-39,18.970905
-50,-39,18.429178
-49,-39,17.916286
-48,-39,17.433899
-47,-39,16.991621
-46,-39,16.587378
-45,-39,16.220285
-44,-39,15.891992
-43,-39,15.604087
-42,-39,15.36388
-41,-39,15.175195
-40,-39,15.031791
-39,-39,14.934445
-38,-39,14.883736
-37,-39,14.881877
-36,-39,14.923652
-35,-39,14.968139
-34,-39,14.99796
-33,-39,14.991934
-32,-39,14.924345
-31,-39,14.724893
-30,-39,14.436307
-29,-39,14.156493
-28,-39,13.925361
-27,-39,13.754121
-26,-39,13.654892
-25,-39,13.628592
-24,-39,13.6661625
-23,-39,13.767024
-22,-39,13.92969
-21,-39,14.154924
-20,-39,14.221363
-19,-39,13.930549
-18,-39,13.270882
-17,-39,12.349436
-16,-39,11.380665
-15,-39,10.416674
-14,-39,9.457484
-13,-39,8.503898
-12,-39,7.5569906
-11,-39,6.6180763
-10,-39,5.691201
-9,-39,4.779726
-8,-39,3.8864143
-7,-39,3.0165174
-6,-39,2.1768668
-5,-39,1.3816152
-4,-39,0.66133773
-3,-39,0.033616416
-2,-39,-0.4689955
-1,-39,-0.8112415
0,-39,-0.956148
1,-39,-0.8112391
2,-39,-0.46898967
3,-39,0.033622503
4,-39,0.6613463
5,-39,1.3816283
6,-39,2.1768765
7,-39,3.0165322
8,-39,3.8864253
9,-39,4.779741
10,-39,5.691214
11,-39,6.618084
12,-39,7.557002
13,-39,8.503905
14,-39,9.457498
15,-39,10.416681
16,-39,11.380677
17,-39,12.349449
18,-39,13.270889
19,-39,13.930554
20,-39,14.221362
21,-39,14.154922
22,-39,13.929687
23,-39,13.767021
24,-39,13.6661625
25,-39,13.628591
26,-39,13.654894
27,-39,13.754124
28,-39,13.925362
29,-39,14.156479
30,-39,14.419137
31,-39,14.673635
32,-39,14.865616
33,-39,14.971896
34,-39,15.007347
35,-39,14.976814
36,-39,14.907947
37,-39,14.850118
38,-39,14.851459
39,-39,14.901695
40,-39,14.998577
41,-39,15.141519
42,-39,15.329741
43,-39,15.569495
44,-39,15.85696
