x,z,d
0,-20,95.23775
0.55,-20,94.72168
1.1,-20,94.20592
1.6500001,-20,93.69054
2.2,-20,93.17552
2.75,-20,92.66091
3.3000002,-20,92.14663
3.8500001,-20,91.63276
4.4,-20,91.11932
4.9500003,-20,90.60624
5.5,-20,90.093605
6.05,-20,89.581345
6.6000004,-20,89.06954
7.15,-20,88.558136
7.7000003,-20,88.04722
8.25,-20,87.5367
8.8,-20,87.026665
9.35,-20,86.517075
9.900001,-20,86.00799
10.45,-20,85.49937
11,-20,84.99122
11.55,-20,84.483574
12.1,-20,83.97645
12.650001,-20,83.46983
13.200001,-20,82.963745
13.75,-20,82.4582
14.3,-20,81.953156
14.85,-20,81.448685
15.400001,-20,80.94478
15.950001,-20,80.44146
16.5,-20,79.93872
17.050001,-20,79.43657
17.6,-20,78.93503
18.15,-20,78.43409
18.7,-20,77.933784
19.25,-20,77.43413
19.800001,-20,76.93513
20.35,-20,76.4368
20.9,-20,75.93913
21.45,-20,75.442154
22,-20,74.9459
22.550001,-20,74.45035
23.1,-20,73.95556
23.65,-20,73.46149
24.2,-20,72.96818
24.75,-20,72.47564
25.300001,-20,71.98392
25.85,-20,71.493
26.400002,-20,71.00288
26.95,-20,70.51362
27.5,-20,70.0252
28.050001,-20,69.53767
28.6,-20,69.051025
29.150002,-20,68.56529
29.7,-20,68.08048
30.25,-20,67.59662
30.800001,-20,67.11374
31.35,-20,66.631836
31.900002,-20,66.150925
32.45,-20,65.67106
33,-20,65.19224
33.55,-20,64.7145
34.100002,-20,64.23785
34.65,-20,63.76232
35.2,-20,63.287933
35.75,-20,62.814713
36.3,-20,62.34268
36.850002,-20,61.871872
37.4,-20,61.402313
37.95,-20,60.934025
38.5,-20,60.467033
39.05,-20,60.00138
39.600002,-20,59.537086
40.15,-20,59.074177
40.7,-20,58.612698
41.25,-20,58.152664
41.8,-20,57.69412
42.350002,-20,57.237095
42.9,-20,56.781628
43.45,-20,56.32775
44,-20,55.875507
44.55,-20,55.424923
45.100002,-20,54.976044
45.65,-20,54.528908
46.2,-20,54.083565
46.75,-20,53.640045
47.3,-20,53.19839
47.850002,-20,52.758656
48.4,-20,52.32088
48.95,-20,51.885113
49.5,-20,51.451405
50.05,-20,51.0198
50.600002,-20,50.59034
51.15,-20,50.163097
51.7,-20,49.73812
52.25,-20,49.315453
52.800003,-20,48.895153
53.350002,-20,48.47729
53.9,-20,48.061924
54.45,-20,47.6491
55,-20,47.2389
55.550003,-20,46.831367
56.100002,-20,46.426582
56.65,-20,46.024605
57.2,-20,45.625515
57.75,-20,45.22938
58.300003,-20,44.836266
58.850002,-20,44.446262
59.4,-20,44.05943
59.95,-20,43.675858
60.5,-20,43.29562
61.050003,-20,42.918804
61.600002,-20,42.54549
62.15,-20,42.175777
62.7,-20,41.809734
63.25,-20,41.44747
63.800003,-20,41.08906
64.35,-20,40.734623
64.9,-20,40.38423
65.450005,-20,40.037994
66,-20,39.696014
66.55,-20,39.358387
67.1,-20,39.02523
67.65,-20,38.696632
68.200005,-20,38.37271
68.75,-20,38.053585
69.3,-20,37.739353
69.85,-20,37.430138
70.4,-20,37.126053
70.950005,-20,36.827206
71.5,-20,36.53373
72.05,-20,36.24573
72.6,-20,35.963345
73.15,-20,35.686684
73.700005,-20,35.415874
74.25,-20,35.15104
74.8,-20,34.892307
75.35,-20,34.639793
75.9,-20,34.393635
76.450005,-20,34.15395
77,-20,33.92087
77.55,-20,33.69452
78.1,-20,33.475025
78.65,-20,33.2625
79.200005,-20,33.057068
79.75,-20,32.858875
80.3,-20,32.668007
80.85,-20,32.484604
81.4,-20,32.308777
81.950005,-20,32.140633
82.5,-20,31.98029
83.05,-20,31.827848
83.6,-20,31.683424
84.15,-20,31.547102
84.700005,-20,31.418991
85.25,-20,31.299173
85.8,-20,31.187738
86.35,-20,31.084774
86.9,-20,30.990347
87.450005,-20,30.904531
88,-20,30.8274
88.55,-20,30.759005
89.1,-20,30.699402
89.65,-20,30.648638
90.200005,-20,30.606747
90.75,-20,30.573767
91.3,-20,30.549726
91.85,-20,30.534641
92.4,-20,30.528522
92.950005,-20,30.531378
93.5,-20,30.543203
94.05,-20,30.56399
94.6,-20,30.593718
95.15,-20,30.632374
95.700005,-20,30.679914
96.25,-20,30.736313
96.8,-20,30.801516
97.35,-20,30.875479
97.9,-20,30.95814
98.450005,-20,31.04944
99,-20,31.149311
99.55,-20,31.257675
100.1,-20,31.374454
100.65,-20,31.49956
101.200005,-20,31.63291
101.75,-20,31.774399
102.3,-20,31.923935
102.85,-20,32.081417
103.4,-20,32.24673
103.950005,-20,32.419773
104.5,-20,32.60042
105.05,-20,32.788555
105.600006,-20,32.984005
106.15,-20,33.186546
106.700005,-20,33.395763
107.25,-20,33.61073
107.8,-20,33.829136
108.350006,-20,34.045025
108.9,-20,34.24381
109.450005,-20,34.394707
110,-20,34.453186
110.55,-20,34.39471
111.100006,-20,34.243813
111.65,-20,34.04503
112.200005,-20,33.82914
112.75,-20,33.61074
113.3,-20,33.395767
113.850006,-20,33.186558
114.4,-20,32.984
114.950005,-20,32.78855
115.5,-20,32.60043
116.05,-20,32.419777
116.600006,-20,32.24674
117.15,-20,32.08142
117.700005,-20,31.923939
118.25,-20,31.774403
118.8,-20,31.632912
119.350006,-20,31.499563
119.9,-20,31.374458
120.450005,-20,31.257675
121,-20,31.149313
121.55,-20,31.049442
122.100006,-20,30.95814
122.65,-20,30.875477
123.200005,-20,30.801516
123.75,-20,30.736313
124.3,-20,30.679914
124.850006,-20,30.632374
125.4,-20,30.593721
125.950005,-20,30.56399
126.5,-20,30.543203
127.05,-20,30.531378
127.600006,-20,30.528522
128.15001,-20,30.534641
128.7,-20,30.549726
129.25,-20,30.573767
129.8,-20,30.606747
130.35,-20,30.648636
130.90001,-20,30.699402
131.45,-20,30.759005
132,-20,30.827398
132.55,-20,30.904531
133.1,-20,30.990343
133.65001,-20,31.08477
134.2,-20,31.187735
134.75,-20,31.29917
135.3,-20,31.418987
135.85,-20,31.547098
136.40001,-20,31.68342
136.95,-20,31.827843
137.5,-20,31.980286
138.05,-20,32.14063
138.6,-20,32.308777
139.15001,-20,32.4846
139.7,-20,32.668
140.25,-20,32.858868
140.8,-20,33.057068
141.35,-20,33.262497
141.90001,-20,33.47502
142.45,-20,33.694515
143,-20,33.920868
143.55,-20,34.153946
144.1,-20,34.39363
144.65001,-20,34.639793
145.2,-20,34.892296
145.75,-20,35.15103
146.3,-20,35.41587
146.85,-20,35.68668
147.40001,-20,35.96334
147.95,-20,36.245724
148.5,-20,36.533722
149.05,-20,36.8272
149.6,-20,37.126045
150.15001,-20,37.430134
150.7,-20,37.739346
151.25,-20,38.053574
151.8,-20,38.372707
152.35,-20,38.69663
