x,z,d
-30,-8,9.433981
-29.8125,-8,9.33596
-29.625,-8,9.240705
-29.4375,-8,9.148301
-29.25,-8,9.058835
-29.0625,-8,8.972397
-28.875,-8,8.889073
-28.6875,-8,8.808953
-28.5,-8,8.732124
-28.3125,-8,8.658675
-28.125,-8,8.588692
-27.9375,-8,8.52226
-27.75,-8,8.459462
-27.5625,-8,8.400381
-27.375,-8,8.345096
-27.1875,-8,8.293682
-27,-8,8.246211
-26.8125,-8,8.202753
-26.625,-8,8.163371
-26.4375,-8,8.128124
-26.25,-8,8.097068
-26.0625,-8,8.070249
-25.875,-8,8.047709
-25.6875,-8,8.029487
-25.5,-8,8.01561
-25.3125,-8,8.006102
-25.125,-8,8.000977
-24.9375,-8,8
-24.75,-8,8
-24.5625,-8,8
-24.375,-8,8
-24.1875,-8,8
-24,-8,8
-23.8125,-8,8
-23.625,-8,8
-23.4375,-8,8
-23.25,-8,8
-23.0625,-8,8
-22.875,-8,8
-22.6875,-8,8
-22.5,-8,8
-22.3125,-8,8
-22.125,-8,8
-21.9375,-8,8
-21.75,-8,8
-21.5625,-8,8
-21.375,-8,8
-21.1875,-8,8
-21,-8,8
-20.8125,-8,8
-20.625,-8,8
-20.4375,-8,8
-20.25,-8,8
-20.0625,-8,8
-19.875,-8,8
-19.6875,-8,8
-19.5,-8,8
-19.3125,-8,8
-19.125,-8,8
-18.9375,-8,8
-18.75,-8,8
-18.5625,-8,8
-18.375,-8,8
-18.1875,-8,8
-18,-8,8
-17.8125,-8,8
-17.625,-8,8
-17.4375,-8,8
-17.25,-8,8
-17.0625,-8,8
-16.875,-8,8
-16.6875,-8,8
-16.5,-8,8
-16.3125,-8,8
-16.125,-8,8
-15.9375,-8,8
-15.75,-8,8
-15.5625,-8,8
-15.375,-8,8
-15.1875,-8,8
-15,-8,8
-14.8125,-8,8
-14.625,-8,8
-14.4375,-8,8
-14.25,-8,8
-14.0625,-8,8
-13.875,-8,8
-13.6875,-8,8
-13.5,-8,8
-13.3125,-8,8
-13.125,-8,8
-12.9375,-8,8
-12.75,-8,8
-12.5625,-8,8
-12.375,-8,8
-12.1875,-8,8
-12,-8,8
-11.8125,-8,8
-11.625,-8,8
-11.4375,-8,8
-11.25,-8,8
-11.0625,-8,8
-10.875,-8,8
-10.6875,-8,8
-10.5,-8,8
-10.3125,-8,8
-10.125,-8,8
-9.9375,-8,8
-9.75,-8,8
-9.5625,-8,8
-9.375,-8,8
-9.1875,-8,8
-9,-8,8
-8.8125,-8,8
-8.625,-8,8
-8.4375,-8,8
-8.25,-8,8
-8.0625,-8,8
-7.875,-8,8
-7.6875,-8,8
-7.5,-8,8
-7.3125,-8,8
-7.125,-8,8
-6.9375,-8,8
-6.75,-8,8
-6.5625,-8,8
-6.375,-8,8
-6.1875,-8,8
-6,-8,8
-5.8125,-8,8
-5.625,-8,8
-5.4375,-8,8
-5.25,-8,8
-5.0625,-8,8
-4.875,-8,8
-4.6875,-8,8
-4.5,-8,8
-4.3125,-8,8
-4.125,-8,8
-3.9375,-8,8
-3.75,-8,8
-3.5625,-8,8
-3.375,-8,8
-3.1875,-8,8
-3,-8,8
-2.8125,-8,8
-2.625,-8,8
-2.4375,-8,8
-2.25,-8,8
-2.0625,-8,8
-1.875,-8,8
-1.6875,-8,8
-1.5,-8,8
-1.3125,-8,8
-1.125,-8,8
-0.9375,-8,8
-0.75,-8,8
-0.5625,-8,8
-0.375,-8,8
-0.1875,-8,8
0,-8,8
0.1875,-8,8
0.375,-8,8
0.5625,-8,8
0.75,-8,8
0.9375,-8,8
1.125,-8,8
1.3125,-8,8
1.5,-8,8
1.6875,-8,8
1.875,-8,8
2.0625,-8,8
2.25,-8,8
2.4375,-8,8
2.625,-8,8
2.8125,-8,8
3,-8,8
3.1875,-8,8
3.375,-8,8
3.5625,-8,8
3.75,-8,8
3.9375,-8,8
4.125,-8,8
4.3125,-8,8
4.5,-8,8
4.6875,-8,8
4.875,-8,8
5.0625,-8,8
5.25,-8,8
5.4375,-8,8
5.625,-8,8
