x,z,d
-30,-8,9.433981
-29.813665,-8,9.336561
-29.627329,-8,9.241871
-29.440994,-8,9.149996
-29.254658,-8,9.061022
-29.068323,-8,8.975035
-28.881989,-8,8.892122
-28.695652,-8,8.812368
-28.509317,-8,8.735864
-28.32298,-8,8.66269
-28.136646,-8,8.592936
-27.95031,-8,8.526684
-27.763975,-8,8.464015
-27.57764,-8,8.405012
-27.391304,-8,8.3497505
-27.20497,-8,8.298306
-27.018633,-8,8.25075
-26.832298,-8,8.20715
-26.645962,-8,8.167569
-26.459627,-8,8.132067
-26.273293,-8,8.100696
-26.086956,-8,8.073504
-25.900621,-8,8.050535
-25.714287,-8,8.031825
-25.52795,-8,8.017402
-25.341616,-8,8.007291
-25.15528,-8,8.001507
-24.968945,-8,8
-24.782608,-8,8
-24.596273,-8,8
-24.409939,-8,8
-24.223602,-8,8
-24.037268,-8,8
-23.850931,-8,8
-23.664597,-8,8
-23.47826,-8,8
-23.291925,-8,8
-23.10559,-8,8
-22.919254,-8,8
-22.73292,-8,8
-22.546585,-8,8
-22.360249,-8,8
-22.173912,-8,8
-21.987577,-8,8
-21.801243,-8,8
-21.614906,-8,8
-21.428572,-8,8
-21.242237,-8,8
-21.0559,-8,8
-20.869564,-8,8
-20.683231,-8,8
-20.496895,-8,8
-20.310558,-8,8
-20.124224,-8,8
-19.93789,-8,8
-19.751553,-8,8
-19.565218,-8,8
-19.378883,-8,8
-19.192547,-8,8
-19.00621,-8,8
-18.819876,-8,8
-18.633541,-8,8
-18.447205,-8,8
-18.26087,-8,8
-18.074535,-8,8
-17.888199,-8,8
-17.701862,-8,8
-17.51553,-8,8
-17.329193,-8,8
-17.142857,-8,8
-16.956522,-8,8
-16.770187,-8,8
-16.58385,-8,8
-16.397516,-8,8
-16.211182,-8,8
-16.024845,-8,8
-15.83851,-8,8
-15.652174,-8,8
-15.465838,-8,8
-15.279504,-8,8
-15.093168,-8,8
-14.906833,-8,8
-14.720497,-8,8
-14.534162,-8,8
-14.347826,-8,8
-14.161491,-8,8
-13.975155,-8,8
-13.78882,-8,8
-13.602486,-8,8
-13.416149,-8,8
-13.229815,-8,8
-13.043478,-8,8
-12.857143,-8,8
-12.670807,-8,8
-12.484472,-8,8
-12.298138,-8,8
-12.111801,-8,8
-11.925467,-8,8
-11.73913,-8,8
-11.552795,-8,8
-11.366461,-8,8
-11.180124,-8,8
-10.99379,-8,8
-10.807453,-8,8
-10.621119,-8,8
-10.434784,-8,8
-10.248447,-8,8
-10.062113,-8,8
-9.875776,-8,8
-9.689442,-8,8
-9.503105,-8,8
-9.316771,-8,8
-9.130436,-8,8
-8.944099,-8,8
-8.757765,-8,8
-8.571428,-8,8
-8.385094,-8,8
-8.198759,-8,8
-8.012423,-8,8
-7.826088,-8,8
-7.6397514,-8,8
-7.453417,-8,8
-7.2670803,-8,8
-7.0807457,-8,8
-6.894411,-8,8
-6.7080746,-8,8
-6.52174,-8,8
-6.3354034,-8,8
-6.149069,-8,8
-5.962734,-8,8
-5.7763977,-8,8
-5.590063,-8,8
-5.4037266,-8,8
-5.217392,-8,8
-5.0310574,-8,8
-4.844721,-8,8
-4.658386,-8,8
-4.4720497,-8,8
-4.285715,-8,8
-4.0993786,-8,8
-3.913044,-8,8
-3.7267094,-8,8
-3.5403728,-8,8
-3.3540382,-8,8
-3.1677017,-8,8
-2.981367,-8,8
-2.7950325,-8,8
-2.608696,-8,8
-2.4223614,-8,8
-2.2360249,-8,8
-2.0496902,-8,8
-1.8633537,-8,8
-1.6770191,-8,8
-1.4906845,-8,8
-1.304348,-8,8
-1.1180134,-8,8
-0.93167686,-8,8
-0.74534225,-8,8
-0.55900764,-8,8
-0.37267113,-8,8
-0.18633652,-8,8
0,-8,8
0.18633461,-8,8
0.37266922,-8,8
0.55900574,-8,8
0.74534035,-8,8
0.93167686,-8,8
1.1180115,-8,8
1.304348,-8,8
1.4906826,-8,8
1.6770172,-8,8
1.8633537,-8,8
2.0496902,-8,8
2.236023,-8,8
2.4223595,-8,8
2.608696,-8,8
2.7950287,-8,8
2.9813652,-8,8
3.1677017,-8,8
3.3540382,-8,8
3.540371,-8,8
3.7267075,-8,8
3.913044,-8,8
4.0993767,-8,8
4.285713,-8,8
4.4720497,-8,8
4.658386,-8,8
4.844719,-8,8
5.0310555,-8,8
5.217392,-8,8
5.4037247,-8,8
5.590061,-8,8
5.7763977,-8,8
5.9627304,-8,8
6.149067,-8,8
6.3354034,-8,8
6.52174,-8,8
6.7080727,-8,8
6.894409,-8,8
7.0807457,-8,8
7.2670784,-8,8
7.453415,-8,8
7.6397514,-8,8
7.826088,-8,8
8.012421,-8,8
8.198757,-8,8
8.385094,-8,8
8.571426,-8,8
8.757763,-8,8
8.944099,-8,8
9.130432,-8,8
9.316769,-8,8
9.503105,-8,8
9.689442,-8,8
9.875774,-8,8
10.062111,-8,8
10.248447,-8,8
10.43478,-8,8
10.621117,-8,8
10.807453,-8,8
10.99379,-8,8
11.180122,-8,8
11.366459,-8,8
11.552795,-8,8
11.739128,-8,8
11.925465,-8,8
12.111801,-8,8
12.298134,-8,8
12.48447,-8,8
12.670807,-8,8
12.857143,-8,8
13.043476,-8,8
13.229813,-8,8
13.416149,-8,8
13.602482,-8,8
13.788818,-8,8
13.975155,-8,8
14.161491,-8,8
14.347824,-8,8
14.534161,-8,8
14.720497,-8,8
14.90683,-8,8
15.093166,-8,8
15.279503,-8,8
15.465839,-8,8
15.652172,-8,8
15.838509,-8,8
16.024845,-8,8
16.211178,-8,8
16.397514,-8,8
16.58385,-8,8
16.770184,-8,8
16.95652,-8,8
17.142857,-8,8
17.329193,-8,8
17.515526,-8,8
17.701862,-8,8
17.888199,-8,8
18.074532,-8,8
18.260868,-8,8
18.447205,-8,8
18.633541,-8,8
18.819874,-8,8
19.00621,-8,8
19.192547,-8,8
19.37888,-8,8
19.565216,-8,8
19.751553,-8,8
19.937885,-8,8
20.124222,-8,8
20.310558,-8,8
20.496895,-8,8
20.683228,-8,8
20.869564,-8,8
21.0559,-8,8
21.242233,-8,8
21.42857,-8,8
21.614906,-8,8
21.801243,-8,8
21.987576,-8,8
22.173912,-8,8
22.360249,-8,8
22.546581,-8,8
22.732918,-8,8
22.919254,-8,8
23.10559,-8,8
23.291924,-8,8
23.47826,-8,8
23.664597,-8,8
23.85093,-8,8
24.037266,-8,8
24.223602,-8,8
24.409935,-8,8
24.596272,-8,8
24.782608,-8,8
24.968945,-8,8
25.155277,-8,8.001507
25.341614,-8,8.007291
25.52795,-8,8.017402
25.714283,-8,8.031824
25.90062,-8,8.050535
26.086956,-8,8.073504
26.273293,-8,8.100696
26.459625,-8,8.132067
26.645962,-8,8.167569
26.832298,-8,8.20715
27.018631,-8,8.25075
27.204967,-8,8.298306
27.391304,-8,8.3497505
27.577637,-8,8.405011
27.763973,-8,8.464015
27.95031,-8,8.526684
28.136646,-8,8.592936
28.322979,-8,8.662689
28.509315,-8,8.735863
28.695652,-8,8.812368
28.881985,-8,8.89212
29.068321,-8,8.975034
29.254658,-8,9.061022
29.440994,-8,9.149996
29.627327,-8,9.24187
29.813663,-8,9.33656
30,-8,9.433981
-30,-7.935,9.378924
-29.813665,-7.935,9.280926
-29.627329,-7.935,9.185662
-29.440994,-7.935,9.09322
-29.254658,-7.935,9.003684
-29.068323,-7.935,8.917145
-28.881989,-7.935,8.833689
-28.695652,-7.935,8.753403
-28.509317,-7.935,8.676377
-28.32298,-7.935,8.602698
-28.136646,-7.935,8.532454
-27.95031,-7.935,8.465728
-27.763975,-7.935,8.402605
-27.57764,-7.935,8.343168
-27.391304,-7.935,8.287494
-27.20497,-7.935,8.235661
-27.018633,-7.935,8.18774
-26.832298,-7.935,8.143804
-26.645962,-7.935,8.103913
-26.459627,-7.935,8.0681305
-26.273293,-7.935,8.03651
-26.086956,-7.935,8.009101
-25.900621,-7.935,7.985946
-25.714287,-7.935,7.9670835
-25.52795,-7.935,7.9525437
-25.341616,-7.935,7.94235
-25.15528,-7.935,7.9365187
-24.968945,-7.935,7.9349995
-24.782608,-7.935,7.9349995
-24.596273,-7.935,7.9349995
-24.409939,-7.935,7.9349995
-24.223602,-7.935,7.9349995
-24.037268,-7.935,7.9349995
-23.850931,-7.935,7.9349995
-23.664597,-7.935,7.9349995
-23.47826,-7.935,7.9349995
-23.291925,-7.935,7.9349995
-23.10559,-7.935,7.9349995
-22.919254,-7.935,7.9349995
-22.73292,-7.935,7.9349995
-22.546585,-7.935,7.9349995
-22.360249,-7.935,7.9349995
-22.173912,-7.935,7.9349995
-21.987577,-7.935,7.9349995
-21.801243,-7.935,7.9349995
-21.614906,-7.935,7.9349995
-21.428572,-7.935,7.9349995
