y,z,d
-30,-5,11.18034
-29.8125,-5,11.012954
-29.625,-5,10.846227
-29.4375,-5,10.680187
-29.25,-5,10.514871
-29.0625,-5,10.350309
-28.875,-5,10.186542
-28.6875,-5,10.023605
-28.5,-5,9.861542
-28.3125,-5,9.700395
-28.125,-5,9.540211
-27.9375,-5,9.38104
-27.75,-5,9.222934
-27.5625,-5,9.065948
-27.375,-5,8.910142
-27.1875,-5,8.755579
-27,-5,8.602325
-26.8125,-5,8.450453
-26.625,-5,8.300037
-26.4375,-5,8.15116
-26.25,-5,8.003905
-26.0625,-5,7.8583655
-25.875,-5,7.7146373
-25.6875,-5,7.5728235
-25.5,-5,7.4330344
-25.3125,-5,7.295386
-25.125,-5,7.1600018
-24.9375,-5,7.027013
-24.75,-5,6.8965573
-24.5625,-5,6.7687817
-24.375,-5,6.6438413
-24.1875,-5,6.5218983
-24,-5,6.4031243
-23.8125,-5,6.2876987
-23.625,-5,6.17581
-23.4375,-5,6.067652
-23.25,-5,5.9634304
-23.0625,-5,5.863353
-22.875,-5,5.767636
-22.6875,-5,5.6765003
-22.5,-5,5.59017
-22.3125,-5,5.5088706
-22.125,-5,5.4328284
-21.9375,-5,5.362267
-21.75,-5,5.2974052
-21.5625,-5,5.2384543
-21.375,-5,5.185617
-21.1875,-5,5.1390815
-21,-5,5.0990195
-20.8125,-5,5.0655856
-20.625,-5,5.038911
-20.4375,-5,5.019104
-20.25,-5,5.006246
-20.0625,-5,5.0003905
-19.875,-5,5
-19.6875,-5,5
-19.5,-5,5
-19.3125,-5,5
-19.125,-5,5
-18.9375,-5,5
-18.75,-5,5
-18.5625,-5,5
-18.375,-5,5
-18.1875,-5,5
-18,-5,5
-17.8125,-5,5
-17.625,-5,5
-17.4375,-5,5
-17.25,-5,5
-17.0625,-5,5
-16.875,-5,5
-16.6875,-5,5
-16.5,-5,5
-16.3125,-5,5
-16.125,-5,5
-15.9375,-5,5
-15.75,-5,5
-15.5625,-5,5
-15.375,-5,5
-15.1875,-5,5
-15,-5,5
-14.8125,-5,5
-14.625,-5,5
-14.4375,-5,5
-14.25,-5,5
-14.0625,-5,5
-13.875,-5,5
-13.6875,-5,5
-13.5,-5,5
-13.3125,-5,5
-13.125,-5,5
-12.9375,-5,5
-12.75,-5,5
-12.5625,-5,5
-12.375,-5,5
-12.1875,-5,5
-12,-5,5
-11.8125,-5,5
-11.625,-5,5
-11.4375,-5,5
-11.25,-5,5
-11.0625,-5,5
-10.875,-5,5
-10.6875,-5,5
-10.5,-5,5
-10.3125,-5,5
-10.125,-5,5
-9.9375,-5,5
-9.75,-5,5
-9.5625,-5,5
-9.375,-5,5
-9.1875,-5,5
-9,-5,5
-8.8125,-5,5
-8.625,-5,5
-8.4375,-5,5
-8.25,-5,5
-8.0625,-5,5
-7.875,-5,5
-7.6875,-5,5
-7.5,-5,5
-7.3125,-5,5
-7.125,-5,5
-6.9375,-5,5
-6.75,-5,5
-6.5625,-5,5
-6.375,-5,5
-6.1875,-5,5
-6,-5,5
-5.8125,-5,5
-5.625,-5,5
-5.4375,-5,5
-5.25,-5,5
-5.0625,-5,5
-4.875,-5,5
-4.6875,-5,5
-4.5,-5,5
-4.3125,-5,5
-4.125,-5,5
-3.9375,-5,5
-3.75,-5,5
-3.5625,-5,5
-3.375,-5,5
-3.1875,-5,5
-3,-5,5
-2.8125,-5,5
-2.625,-5,5
-2.4375,-5,5
-2.25,-5,5
-2.0625,-5,5
-1.875,-5,5
-1.6875,-5,5
-1.5,-5,5
-1.3125,-5,5
-1.125,-5,5
-0.9375,-5,5
-0.75,-5,5
-0.5625,-5,5
-0.375,-5,5
-0.1875,-5,5
0,-5,5
0.1875,-5,5
0.375,-5,5
0.5625,-5,5
0.75,-5,5
0.9375,-5,5
1.125,-5,5
1.3125,-5,5
1.5,-5,5
1.6875,-5,5
1.875,-5,5
2.0625,-5,5
2.25,-5,5
2.4375,-5,5
2.625,-5,5
2.8125,-5,5
3,-5,5
3.1875,-5,5
3.375,-5,5
3.5625,-5,5
3.75,-5,5
3.9375,-5,5
4.125,-5,5
4.3125,-5,5
4.5,-5,5
4.6875,-5,5
4.875,-5,5
5.0625,-5,5
5.25,-5,5
5.4375,-5,5
5.625,-5,5
5.8125,-5,5
6,-5,5
6.1875,-5,5
6.375,-5,5
6.5625,-5,5
6.75,-5,5
6.9375,-5,5
7.125,-5,5
7.3125,-5,5
7.5,-5,5
7.6875,-5,5
7.875,-5,5
8.0625,-5,5
8.25,-5,5
8.4375,-5,5
8.625,-5,5
8.8125,-5,5
9,-5,5
9.1875,-5,5
9.375,-5,5
9.5625,-5,5
9.75,-5,5
9.9375,-5,5
10.125,-5,5
10.3125,-5,5
10.5,-5,5
10.6875,-5,5
10.875,-5,5
11.0625,-5,5
11.25,-5,5
11.4375,-5,5
11.625,-5,5
11.8125,-5,5
12,-5,5
12.1875,-5,5
12.375,-5,5
12.5625,-5,5
12.75,-5,5
12.9375,-5,5
13.125,-5,5
13.3125,-5,5
13.5,-5,5
13.6875,-5,5
13.875,-5,5
14.0625,-5,5
14.25,-5,5
14.4375,-5,5
14.625,-5,5
14.8125,-5,5
15,-5,5
15.1875,-5,5
15.375,-5,5
15.5625,-5,5
15.75,-5,5
15.9375,-5,5
16.125,-5,5
16.3125,-5,5
16.5,-5,5
16.6875,-5,5
16.875,-5,5
17.0625,-5,5
17.25,-5,5
17.4375,-5,5
17.625,-5,5
17.8125,-5,5
18,-5,5
18.1875,-5,5
18.375,-5,5
18.5625,-5,5
18.75,-5,5
18.9375,-5,5
19.125,-5,5
19.3125,-5,5
19.5,-5,5
19.6875,-5,5
19.875,-5,5
20.0625,-5,5.0003905
20.25,-5,5.006246
20.4375,-5,5.019104
20.625,-5,5.038911
20.8125,-5,5.0655856
21,-5,5.0990195
21.1875,-5,5.1390815
21.375,-5,5.185617
21.5625,-5,5.2384543
21.75,-5,5.2974052
21.9375,-5,5.362267
22.125,-5,5.4328284
22.3125,-5,5.5088706
22.5,-5,5.59017
22.6875,-5,5.6765003
22.875,-5,5.767636
23.0625,-5,5.863353
23.25,-5,5.9634304
23.4375,-5,6.067652
23.625,-5,6.17581
23.8125,-5,6.2876987
24,-5,6.4031243
24.1875,-5,6.5218983
24.375,-5,6.6438413
24.5625,-5,6.7687817
24.75,-5,6.8965573
24.9375,-5,7.027013
25.125,-5,7.1600018
25.3125,-5,7.295386
25.5,-5,7.4330344
25.6875,-5,7.5728235
25.875,-5,7.7146373
26.0625,-5,7.8583655
26.25,-5,8.003905
26.4375,-5,8.15116
26.625,-5,8.300037
26.8125,-5,8.450453
27,-5,8.602325
27.1875,-5,8.755579
27.375,-5,8.910142
27.5625,-5,9.065948
27.75,-5,9.222934
27.9375,-5,9.38104
28.125,-5,9.540211
28.3125,-5,9.700395
28.5,-5,9.861542
28.6875,-5,10.023605
28.875,-5,10.186542
29.0625,-5,10.350309
29.25,-5,10.514871
29.4375,-5,10.680187
29.625,-5,10.846227
29.8125,-5,11.012954
30,-5,11.18034
-30,-4.9375,11.152529
