y,z,d
-60,-40,26.73879
-58.8,-40,26.032572
-57.6,-40,25.33373
-56.4,-40,24.653406
-55.2,-40,24.950865
-54,-40,25.999996
-52.8,-40,27.200003
-51.6,-40,28.400002
-50.4,-40,29.599997
-49.2,-40,30.800003
-48,-40,32.000008
-46.8,-40,33.200005
-45.6,-40,34.4
-44.4,-40,35.6
-43.199997,-40,36.799995
-42,-40,38
-40.8,-40,39.200005
-39.6,-40,40.4
-38.4,-40,41.6
-37.199997,-40,42.800007
-36,-40,43.979847
-34.8,-40,44.348137
-33.6,-40,44.15231
-32.4,-40,43.79591
-31.199999,-40,43.468273
-29.999998,-40,43.177235
-28.8,-40,42.91731
-27.599998,-40,42.68815
-26.399998,-40,42.490196
-25.199997,-40,42.323845
-24,-40,42.190662
-22.8,-40,42.097202
-21.599998,-40,42.036324
-20.399998,-40,42.007298
-19.199997,-40,42
-18,-40,42
-16.8,-40,42
-15.599998,-40,42
-14.399998,-40,42
-13.199997,-40,42
-12,-40,42
-10.799999,-40,42
-9.599998,-40,42
-8.399998,-40,42
-7.199997,-40,42
-5.999996,-40,42
-4.799999,-40,42
-3.5999985,-40,42
-2.3999977,-40,42
-1.199997,-40,42
0.0000038146973,-40,42
1.2000008,-40,42
2.4000015,-40,42
3.6000023,-40,42
4.800003,-40,42
6,-40,42
7.2000046,-40,42
8.400002,-40,42
9.600006,-40,42
10.800003,-40,42
12,-40,42
13.200005,-40,42
14.400002,-40,42
15.600006,-40,42
16.800003,-40,42
18,-40,42
19.200005,-40,42
20.400002,-40,42.007298
21.600006,-40,42.036324
22.800003,-40,42.097202
24,-40,42.190666
25.200005,-40,42.32385
26.400002,-40,42.4902
27.600006,-40,42.68815
28.800003,-40,42.91731
30,-40,43.17724
31.200005,-40,43.468277
32.4,-40,43.79591
33.600006,-40,44.152313
34.800003,-40,44.536865
36,-40,44.948917
37.200005,-40,45.387817
38.4,-40,45.85521
39.600006,-40,46.352085
40.800003,-40,46.873203
42.000008,-40,47.417854
43.200005,-40,47.985332
44.4,-40,48.574917
45.600006,-40,49.18911
46.800003,-40,49.825806
48.000008,-40,50.48203
49.200005,-40,51.15711
50.4,-40,51.850388
51.600006,-40,52.561222
52.800003,-40,53.292545
54.000008,-40,54.040478
55.200005,-40,54.803726
56.4,-40,55.581726
57.600006,-40,56.373943
58.800003,-40,57.180126
60.000008,-40,58.00245
-60,-39.2,26.221098
-58.8,-39.2,25.508825
-57.6,-39.2,24.803827
-56.4,-39.2,24.277948
-55.2,-39.2,24.799994
-54,-39.2,25.999996
-52.8,-39.2,27.200003
-51.6,-39.2,28.400002
-50.4,-39.2,29.599997
-49.2,-39.2,30.800003
-48,-39.2,32.000008
-46.8,-39.2,33.200005
-45.6,-39.2,34.4
-44.4,-39.2,35.6
-43.199997,-39.2,36.799995
-42,-39.2,38
-40.8,-39.2,39.200005
-39.6,-39.2,40.4
-38.4,-39.2,41.6
-37.199997,-39.2,42.800007
-36,-39.2,43.73776
-34.8,-39.2,43.7832
-33.6,-39.2,43.391975
-32.4,-39.2,43.02929
-31.199999,-39.2,42.69578
-29.999998,-39.2,42.39944
-28.8,-39.2,42.134712
-27.599998,-39.2,41.90128
-26.399998,-39.2,41.699596
-25.199997,-39.2,41.530083
-24,-39.2,41.394344
-22.8,-39.2,41.299084
-21.599998,-39.2,41.237026
-20.399998,-39.2,41.20744
-19.199997,-39.2,41.2
-18,-39.2,41.2
-16.8,-39.2,41.2
-15.599998,-39.2,41.2
-14.399998,-39.2,41.2
-13.199997,-39.2,41.2
-12,-39.2,41.2
-10.799999,-39.2,41.2
-9.599998,-39.2,41.2
-8.399998,-39.2,41.2
-7.199997,-39.2,41.2
-5.999996,-39.2,41.2
-4.799999,-39.2,41.2
-3.5999985,-39.2,41.2
-2.3999977,-39.2,41.2
-1.199997,-39.2,41.2
0.0000038146973,-39.2,41.2
1.2000008,-39.2,41.2
2.4000015,-39.2,41.2
3.6000023,-39.2,41.2
4.800003,-39.2,41.2
6,-39.2,41.2
7.2000046,-39.2,41.2
8.400002,-39.2,41.2
9.600006,-39.2,41.2
10.800003,-39.2,41.2
12,-39.2,41.2
13.200005,-39.2,41.2
14.400002,-39.2,41.2
15.600006,-39.2,41.2
16.800003,-39.2,41.2
18,-39.2,41.2
19.200005,-39.2,41.2
20.400002,-39.2,41.20744
21.600006,-39.2,41.237026
22.800003,-39.2,41.299084
24,-39.2,41.39435
25.200005,-39.2,41.530083
26.400002,-39.2,41.6996
27.600006,-39.2,41.90128
28.800003,-39.2,42.134712
30,-39.2,42.399445
31.200005,-39.2,42.695786
32.4,-39.2,43.02929
33.600006,-39.2,43.39198
34.800003,-39.2,43.783203
36,-39.2,44.202282
37.200005,-39.2,44.64853
38.4,-39.2,45.12358
39.600006,-39.2,45.628403
40.800003,-39.2,46.15768
42.000008,-39.2,46.710667
43.200005,-39.2,47.286636
44.4,-39.2,47.88484
45.600006,-39.2,48.507763
46.800003,-39.2,49.153263
48.000008,-39.2,49.818333
49.200005,-39.2,50.502285
50.4,-39.2,51.204433
51.600006,-39.2,51.924137
52.800003,-39.2,52.664284
54.000008,-39.2,53.420994
55.200005,-39.2,54.19296
56.4,-39.2,54.979603
57.600006,-39.2,55.780384
58.800003,-39.2,56.595043
60.000008,-39.2,57.425713
-60,-38.4,25.709248
-58.8,-38.4,24.99089
-57.6,-38.4,24.279703
-56.4,-38.4,24.10313
-55.2,-38.4,24.799994
-54,-38.4,25.999996
-52.8,-38.4,27.200003
-51.6,-38.4,28.400002
-50.4,-38.4,29.599997
-49.2,-38.4,30.800003
-48,-38.4,32.000008
-46.8,-38.4,33.200005
-45.6,-38.4,34.4
-44.4,-38.4,35.6
-43.199997,-38.4,36.799995
-42,-38.4,38
-40.8,-38.4,39.200005
-39.6,-38.4,40.4
-38.4,-38.4,41.6
-37.199997,-38.4,42.800007
-36,-38.4,43.204742
-34.8,-38.4,43.031124
-33.6,-38.4,42.633022
-32.4,-38.4,42.26384
-31.199999,-38.4,41.92427
-29.999998,-38.4,41.62244
-28.8,-38.4,41.35275
-27.599998,-38.4,41.11489
-26.399998,-38.4,40.90934
-25.199997,-38.4,40.73655
-24,-38.4,40.598167
-22.8,-38.4,40.501038
-21.599998,-38.4,40.43776
-20.399998,-38.4,40.407585
-19.199997,-38.4,40.4
-18,-38.4,40.4
-16.8,-38.4,40.4
-15.599998,-38.4,40.4
-14.399998,-38.4,40.4
-13.199997,-38.4,40.4
-12,-38.4,40.4
-10.799999,-38.4,40.4
-9.599998,-38.4,40.4
-8.399998,-38.4,40.4
-7.199997,-38.4,40.4
-5.999996,-38.4,40.4
-4.799999,-38.4,40.4
-3.5999985,-38.4,40.4
-2.3999977,-38.4,40.4
-1.199997,-38.4,40.4
0.0000038146973,-38.4,40.4
1.2000008,-38.4,40.4
2.4000015,-38.4,40.4
3.6000023,-38.4,40.4
4.800003,-38.4,40.4
6,-38.4,40.4
7.2000046,-38.4,40.4
8.400002,-38.4,40.4
9.600006,-38.4,40.4
10.800003,-38.4,40.4
12,-38.4,40.4
13.200005,-38.4,40.4
14.400002,-38.4,40.4
15.600006,-38.4,40.4
16.800003,-38.4,40.4
18,-38.4,40.4
19.200005,-38.4,40.4
20.400002,-38.4,40.407585
21.600006,-38.4,40.43776
22.800003,-38.4,40.501038
24,-38.4,40.59817
25.200005,-38.4,40.73655
26.400002,-38.4,40.909344
27.600006,-38.4,41.114887
28.800003,-38.4,41.35275
30,-38.4,41.622444
31.200005,-38.4,41.924274
32.4,-38.4,42.263844
33.600006,-38.4,42.633022
34.800003,-38.4,43.031124
36,-38.4,43.45744
37.200005,-38.4,43.911255
38.4,-38.4,44.394188
39.600006,-38.4,44.907173
40.800003,-38.4,45.444828
42.000008,-38.4,46.006363
43.200005,-38.4,46.591026
44.4,-38.4,47.198048
45.600006,-38.4,47.8299
46.800003,-38.4,48.48439
48.000008,-38.4,49.15848
49.200005,-38.4,49.851475
50.4,-38.4,50.562664
51.600006,-38.4,51.291378
52.800003,-38.4,52.040497
54.000008,-38.4,52.80611
55.200005,-38.4,53.586914
56.4,-38.4,54.38232
57.600006,-38.4,55.191772
58.800003,-38.4,56.015
60.000008,-38.4,56.85411
-60,-37.6,25.203533
-58.8,-37.6,24.479065
-57.6,-37.6,23.761648
-56.4,-37.6,23.930328
-55.2,-37.6,24.799994
-54,-37.6,25.999996
-52.8,-37.6,27.200003
-51.6,-37.6,28.400002
-50.4,-37.6,29.599997
-49.2,-37.6,30.800003
-48,-37.6,32.000008
-46.8,-37.6,33.200005
-45.6,-37.6,34.4
-44.4,-37.6,35.6
-43.199997,-37.6,36.799995
-42,-37.6,38
-40.8,-37.6,39.200005
-39.6,-37.6,40.4
-38.4,-37.6,41.6
-37.199997,-37.6,42.800007
-36,-37.6,42.673042
-34.8,-37.6,42.280743
-33.6,-37.6,41.875534
-32.4,-37.6,41.49965
-31.199999,-37.6,41.153805
-29.999998,-37.6,40.84629
-28.8,-37.6,40.57146
-27.599998,-37.6,40.329014
-26.399998,-37.6,40.119453
-25.199997,-37.6,39.94326
-24,-37.6,39.80213
-22.8,-37.6,39.70306
-21.599998,-37.6,39.638515
-20.399998,-37.6,39.607735
-19.199997,-37.6,39.6
-18,-37.6,39.6
-16.8,-37.6,39.6
-15.599998,-37.6,39.6
-14.399998,-37.6,39.6
-13.199997,-37.6,39.6
-12,-37.6,39.6
-10.799999,-37.6,39.6
-9.599998,-37.6,39.6
-8.399998,-37.6,39.6
-7.199997,-37.6,39.6
-5.999996,-37.6,39.6
-4.799999,-37.6,39.6
-3.5999985,-37.6,39.6
-2.3999977,-37.6,39.6
-1.199997,-37.6,39.6
0.0000038146973,-37.6,39.6
1.2000008,-37.6,39.6
2.4000015,-37.6,39.6
3.6000023,-37.6,39.6
4.800003,-37.6,39.6
6,-37.6,39.6
7.2000046,-37.6,39.6
8.400002,-37.6,39.6
9.600006,-37.6,39.6
10.800003,-37.6,39.6
12,-37.6,39.6
13.200005,-37.6,39.6
14.400002,-37.6,39.6
15.600006,-37.6,39.6
16.800003,-37.6,39.6
18,-37.6,39.6
19.200005,-37.6,39.6
20.400002,-37.6,39.607735
21.600006,-37.6,39.638515
22.800003,-37.6,39.703064
24,-37.6,39.802135
25.200005,-37.6,39.943264
26.400002,-37.6,40.119453
27.600006,-37.6,40.32901
28.800003,-37.6,40.57146
30,-37.6,40.846294
31.200005,-37.6,41.153805
32.4,-37.6,41.499653
33.600006,-37.6,41.875538
34.800003,-37.6,42.280746
36,-37.6,42.714527
37.200005,-37.6,43.176136
38.4,-37.6,43.667183
39.600006,-37.6,44.18857
40.800003,-37.6,44.73482
42.000008,-37.6,45.30513
43.200005,-37.6,45.898712
44.4,-37.6,46.514763
45.600006,-37.6,47.155743
46.800003,-37.6,47.819416
