x,z,d
0,-10,9.19
0.9166667,-10,8.319137
1.8333334,-10,7.4482746
2.75,-10,6.577411
3.6666667,-10,5.712064
4.5833335,-10,4.917043
5.5,-10,4.1220217
6.416667,-10,3.3270004
7.3333335,-10,2.5319788
8.25,-10,1.7431693
9.166667,-10,0.98610646
10.083334,-10,0.22904319
11,-10,-0.5280202
11.916667,-10,-0.3149176
12.833334,-10,0.44214565
13.75,-10,1.1871865
14.666667,-10,1.9001725
15.583334,-10,2.6131563
16.5,-10,3.3261416
17.416668,-10,4.039128
18.333334,-10,4.752111
19.25,-10,5.4650946
20.166668,-10,6.1674376
21.083334,-10,6.853812
22,-10,7.540185
22.916668,-10,8.226561
23.833334,-10,8.912934
24.75,-10,9.599307
25.666668,-10,10.285684
26.583334,-10,10.972057
27.5,-10,11.648203
28.416668,-10,12.31583
29.333334,-10,12.983455
30.25,-10,13.651076
31.166668,-10,14.318702
32.083336,-10,14.986327
33,-10,15.653951
33.916668,-10,16.321575
34.833336,-10,16.853926
35.75,-10,17.325754
36.666668,-10,17.797588
37.583336,-10,18.269419
38.5,-10,18.741247
39.416668,-10,19.21308
40.333336,-10,19.68491
41.25,-10,19.999924
42.166668,-10,20.280096
43.083336,-10,20.560266
44,-10,20.840433
44.916668,-10,21.120602
45.833336,-10,21.249619
46.75,-10,21.363522
47.666668,-10,21.47742
48.583336,-10,21.591324
49.5,-10,21.705223
50.416668,-10,21.819126
51.333336,-10,21.93303
52.25,-10,22.046928
53.166668,-10,22.160831
54.083336,-10,22.274733
55,-10,22.388634
55.916668,-10,22.502535
56.833336,-10,22.616436
57.75,-10,22.73034
58.666668,-10,22.844242
59.583336,-10,22.958141
60.5,-10,23.072044
61.416668,-10,23.08334
62.333336,-10,22.166672
63.25,-10,21.250008
64.16667,-10,20.333336
65.083336,-10,19.416672
66,-10,18.500008
66.91667,-10,17.583336
67.833336,-10,16.666672
68.75,-10,15.750008
69.66667,-10,14.833336
70.583336,-10,13.916672
71.5,-10,13.000008
72.41667,-10,12.083336
73.333336,-10,11.166672
74.25,-10,10.250008
75.16667,-10,9.333336
76.083336,-10,8.416672
77,-10,7.5000076
77.91667,-10,6.583336
78.833336,-10,5.6666718
79.75,-10,4.7500076
80.66667,-10,3.8333359
81.583336,-10,2.9166718
82.5,-10,2.0000076
83.41667,-10,1.0833359
84.333336,-10,0.36234623
85.25,-10,0.158664
86.16667,-10,-0.57045937
87.083336,-10,-0.33686453
88,-10,-0.49999237
88.91667,-10,-1.4166641
89.833336,-10,-0.66667175
90.75,-10,-0.1926199
91.66667,-10,-0.7338111
92.583336,-10,0.057269085
93.5,-10,0.37323955
94.41667,-10,0.9166641
95.333336,-10,1.8333282
96.25,-10,2.7499924
97.16667,-10,3.6666641
98.083336,-10,4.5833282
99,-10,5.4999924
99.91667,-10,6.416664
100.833336,-10,7.3333282
101.75,-10,8.249992
102.66667,-10,9.166664
103.583336,-10,10.083328
104.5,-10,10.999992
105.41667,-10,11.916664
106.333336,-10,12.833328
107.25,-10,13.749992
108.16667,-10,14.666664
109.083336,-10,15.583328
110,-10,16.499992
110.91667,-10,17.416664
111.833336,-10,18.333328
112.75,-10,19.249992
113.66667,-10,20.166664
114.583336,-10,21.083328
115.5,-10,21.999992
116.41667,-10,22.916664
117.333336,-10,23.792984
118.25,-10,23.776274
119.16667,-10,23.759571
120.083336,-10,23.742868
121,-10,23.726158
121.91667,-10,23.709454
122.833336,-10,23.692749
123.75,-10,23.67604
124.66667,-10,23.659336
125.583336,-10,23.642632
126.5,-10,23.625921
127.41667,-10,23.609219
128.33334,-10,23.59251
129.25,-10,23.575806
130.16667,-10,23.5478
131.08334,-10,23.468971
132,-10,23.390137
132.91667,-10,23.311306
133.83334,-10,23.23247
134.75,-10,23.15364
135.66667,-10,23.07481
136.58334,-10,22.995977
137.5,-10,22.917145
138.41667,-10,22.838314
139.33334,-10,22.75948
140.25,-10,22.680649
141.16667,-10,22.601814
142.08334,-10,22.522984
143,-10,22.444147
143.91667,-10,22.365318
144.83334,-10,22.286484
145.75,-10,22.207653
146.66667,-10,22.128819
147.58334,-10,22.049986
148.5,-10,21.971157
149.41667,-10,21.892323
150.33334,-10,21.813488
151.25,-10,21.734655
152.16667,-10,21.655827
153.08334,-10,21.576992
154,-10,21.498161
154.91667,-10,21.419327
155.83334,-10,21.340496
156.75,-10,21.261665
157.66667,-10,21.182833
158.58334,-10,21.103998
159.5,-10,21.025166
160.41667,-10,20.946333
161.33334,-10,20.8675
162.25,-10,20.78867
163.16667,-10,20.709837
164.08334,-10,20.631002
165,-10,20.55217
165.91667,-10,20.473341
166.83334,-10,20.394506
167.75,-10,20.315674
168.66667,-10,20.236841
169.58334,-10,20.158009
170.5,-10,19.938917
171.41667,-10,19.602936
172.33334,-10,19.26696
173.25,-10,18.930983
174.16667,-10,18.595009
175.08334,-10,18.259027
176,-10,17.923056
176.91667,-10,17.487495
177.83334,-10,17.051933
178.75,-10,16.616383
179.66667,-10,16.180824
180.58334,-10,15.745259
181.5,-10,15.309707
182.41667,-10,14.874143
183.33334,-10,14.438583
184.25,-10,13.944003
185.16667,-10,13.291989
186.08334,-10,12.639985
187,-10,11.987984
187.91667,-10,11.335978
188.83334,-10,10.683967
189.75,-10,10.031972
190.66667,-10,9.379968
191.58334,-10,8.727955
192.5,-10,8.075961
193.41667,-10,7.4279966
194.33334,-10,6.784869
195.25,-10,6.1417627
196.16667,-10,5.498636
197.08334,-10,4.8555183
198,-10,4.2124095
198.91667,-10,3.5692837
199.83334,-10,2.9261665
200.75,-10,2.2830496
201.66667,-10,1.6399319
202.58334,-10,0.9968062
203.5,-10,0.36066943
204.41667,-10,-0.26966643
205.33334,-10,-0.69998765
206.25,-10,-0.0696615
207.16667,-10,0.56067353
208.08334,-10,1.1910193
209,-10,1.821346
209.91667,-10,2.4516907
210.83334,-10,3.0820265
211.75,-10,3.7020328
212.66667,-10,4.319763
213.58334,-10,4.9374833
214.5,-10,5.555205
215.41667,-10,6.1729264
216.33334,-10,6.7906566
217.25,-10,7.4024076
218.16667,-10,7.998272
219.08334,-10,8.594144
220,-10,9.19
0,-9.4375,8.6275
0.9166667,-9.4375,7.7566366
1.8333334,-9.4375,6.8857737
2.75,-9.4375,6.0149107
3.6666667,-9.4375,5.149564
4.5833335,-9.4375,4.3545427
5.5,-9.4375,3.559522
6.416667,-9.4375,2.7645006
7.3333335,-9.4375,1.9694788
8.25,-9.4375,1.18067
9.166667,-9.4375,0.42360622
10.083334,-9.4375,-0.33345637
11,-9.4375,-0.5094806
11.916667,-9.4375,0.24758226
12.833334,-9.4375,1.0046456
13.75,-9.4375,1.7496862
14.666667,-9.4375,2.4626722
15.583334,-9.4375,3.1756566
16.5,-9.4375,3.8886416
17.416668,-9.4375,4.6016273
18.333334,-9.4375,5.3146114
19.25,-9.4375,6.0275946
20.166668,-9.4375,6.729938
21.083334,-9.4375,7.416312
22,-9.4375,8.102685
22.916668,-9.4375,8.78906
23.833334,-9.4375,9.475434
24.75,-9.4375,10.161807
25.666668,-9.4375,10.848184
26.583334,-9.4375,11.534557
27.5,-9.4375,12.210704
28.416668,-9.4375,12.878329
29.333334,-9.4375,13.545955
30.25,-9.4375,14.213576
31.166668,-9.4375,14.881201
32.083336,-9.4375,15.548827
33,-9.4375,16.216452
33.916668,-9.4375,16.884075
34.833336,-9.4375,17.416426
35.75,-9.4375,17.888254
36.666668,-9.4375,18.360085
37.583336,-9.4375,18.83192
38.5,-9.4375,19.303745
39.416668,-9.4375,19.775581
40.333336,-9.4375,20.247412
41.25,-9.4375,20.562426
42.166668,-9.4375,20.842594
43.083336,-9.4375,21.122765
44,-9.4375,21.402933
44.916668,-9.4375,21.683102
45.833336,-9.4375,21.812119
46.75,-9.4375,21.926022
47.666668,-9.4375,22.03992
48.583336,-9.4375,22.153824
49.5,-9.4375,22.267725
50.416668,-9.4375,22.381624
51.333336,-9.4375,22.49553
52.25,-9.4375,22.609428
53.166668,-9.4375,22.72333
54.083336,-9.4375,22.837234
55,-9.4375,22.951134
55.916668,-9.4375,23.065037
56.833336,-9.4375,23.178938
57.75,-9.4375,23.292841
58.666668,-9.4375,23.406742
59.583336,-9.4375,23.52064
60.5,-9.4375,23.634544
61.416668,-9.4375,23.08334
62.333336,-9.4375,22.166672
63.25,-9.4375,21.250008
64.16667,-9.4375,20.333336
65.083336,-9.4375,19.416672
66,-9.4375,18.500008
66.91667,-9.4375,17.583336
67.833336,-9.4375,16.666672
68.75,-9.4375,15.750008
69.66667,-9.4375,14.833336
70.583336,-9.4375,13.916672
71.5,-9.4375,13.000008
72.41667,-9.4375,12.083336
73.333336,-9.4375,11.166672
74.25,-9.4375,10.250008
75.16667,-9.4375,9.333336
76.083336,-9.4375,8.416672
77,-9.4375,7.5000076
77.91667,-9.4375,6.583336
78.833336,-9.4375,5.6666718
79.75,-9.4375,4.7500076
80.66667,-9.4375,3.8333359
81.583336,-9.4375,2.9166718
82.5,-9.4375,2.0000076
83.41667,-9.4375,1.0833359
84.333336,-9.4375,0.17008938
85.25,-9.4375,0.3594598
86.16667,-9.4375,-0.07626802
87.083336,-9.4375,-0.8791723
88,-9.4375,-0.49999237
88.91667,-9.4375,-1.4166641
89.833336,-9.4375,-0.66667175
90.75,-9.4375,0.19209792
91.66667,-9.4375,-0.51050967
92.583336,-9.4375,-0.39357555
93.5,-9.4375,0.25099167
94.41667,-9.4375,0.9166641
95.333336,-9.4375,1.8333282
96.25,-9.4375,2.7499924
97.16667,-9.4375,3.6666641
98.083336,-9.4375,4.5833282
99,-9.4375,5.4999924
99.91667,-9.4375,6.416664
100.833336,-9.4375,7.3333282
101.75,-9.4375,8.249992
102.66667,-9.4375,9.166664
103.583336,-9.4375,10.083328
104.5,-9.4375,10.999992
105.41667,-9.4375,11.916664
106.333336,-9.4375,12.833328
107.25,-9.4375,13.749992
108.16667,-9.4375,14.666664
109.083336,-9.4375,15.583328
110,-9.4375,16.499992
110.91667,-9.4375,17.416664
111.833336,-9.4375,18.333328
112.75,-9.4375,19.249992
113.66667,-9.4375,20.166664
114.583336,-9.4375,21.083328
115.5,-9.4375,21.999992
116.41667,-9.4375,22.916664
117.333336,-9.4375,23.833328
118.25,-9.4375,24.338774
119.16667,-9.4375,24.322071
120.083336,-9.4375,24.305367
121,-9.4375,24.28866
121.91667,-9.4375,24.271954
122.833336,-9.4375,24.25525
123.75,-9.4375,24.23854
124.66667,-9.4375,24.221834
125.583336,-9.4375,24.205132
126.5,-9.4375,24.188423
