x,z,d
60,-40,6.1900864
60.625,-40,6.1124253
61.25,-40,6.034765
61.875,-40,5.9571056
62.5,-40,5.879447
63.125,-40,5.8017855
63.75,-40,5.7241263
64.375,-40,5.646468
65,-40,5.575507
65.625,-40,5.5578504
66.25,-40,5.545109
66.875,-40,5.5332575
67.5,-40,5.5214067
68.125,-40,5.5095577
68.75,-40,5.4977074
69.375,-40,5.485858
70,-40,5.474007
70.625,-40,5.462156
71.25,-40,5.4503055
71.875,-40,5.438456
72.5,-40,5.426605
73.125,-40,5.414755
73.75,-40,5.402905
74.375,-40,5.391055
75,-40,5.379207
75.625,-40,5.3673577
76.25,-40,5.3555064
76.875,-40,5.3436546
77.5,-40,5.331804
78.125,-40,5.319954
78.75,-40,5.3081045
79.375,-40,5.2962556
80,-40,5.284405
80.625,-40,5.272556
81.25,-40,5.260705
81.875,-40,5.248855
82.5,-40,5.237005
83.125,-40,5.2251563
83.75,-40,5.213306
84.375,-40,5.201454
85,-40,5.189604
85.625,-40,5.177756
86.25,-40,5.165906
86.875,-40,5.154054
87.5,-40,5.142204
88.125,-40,5.1303544
88.75,-40,5.1185055
89.375,-40,5.106655
90,-40,5.094803
90.625,-40,5.0829535
91.25,-40,5.071104
91.875,-40,5.0592523
92.5,-40,5.047404
93.125,-40,5.0355544
93.75,-40,5.023704
94.375,-40,5.011853
95,-40,5.0008426
95.625,-40,5.011546
96.25,-40,5.0227814
96.875,-40,5.0341725
97.5,-40,5.0455637
98.125,-40,5.056954
98.75,-40,5.068346
99.375,-40,5.0797358
100,-40,5.091125
100.625,-40,5.1025157
101.25,-40,5.113906
101.875,-40,5.1252975
102.5,-40,5.1366873
103.125,-40,5.148076
103.75,-40,5.1594663
104.375,-40,5.170856
105,-40,5.182247
105.625,-40,5.193638
106.25,-40,5.205028
106.875,-40,5.2164183
107.5,-40,5.22781
108.125,-40,5.239198
108.75,-40,5.2505884
109.375,-40,5.26198
110,-40,5.2733693
110.625,-40,5.28476
111.25,-40,5.29615
111.875,-40,5.307541
112.5,-40,5.3189316
113.125,-40,5.33032
113.75,-40,5.3417125
114.375,-40,5.3531046
115,-40,5.3644953
115.625,-40,5.3758855
116.25,-40,5.3872757
116.875,-40,5.3986635
117.5,-40,5.410055
118.125,-40,5.421447
