x,z,d
0,-5,4.99
0.55,-5,4.467482
1.1,-5,3.9449646
1.6500001,-5,3.4224465
2.2,-5,2.8999293
2.75,-5,2.3774111
3.3000002,-5,1.8548932
3.8500001,-5,1.3530598
4.4,-5,0.8760474
4.9500003,-5,0.3990341
5.5,-5,-0.07797806
6.05,-5,-0.24500863
6.6000004,-5,0.23200376
7.15,-5,0.7090158
7.7000003,-5,1.1860287
8.25,-5,1.6568308
8.8,-5,2.1110682
9.35,-5,2.5653057
9.900001,-5,3.0195441
10.45,-5,3.4737809
11,-5,3.9280202
11.55,-5,4.3822575
12.1,-5,4.8364954
12.650001,-5,5.290732
13.200001,-5,5.74497
13.75,-5,6.1871862
14.3,-5,6.6149764
14.85,-5,7.042768
15.400001,-5,7.4705606
15.950001,-5,7.898351
16.5,-5,8.326141
17.050001,-5,8.753934
17.6,-5,9.181723
18.15,-5,9.609513
18.7,-5,10.037305
19.25,-5,10.465095
19.800001,-5,10.892889
20.35,-5,11.30471
20.9,-5,11.7165365
21.45,-5,12.128362
22,-5,12.540185
22.550001,-5,12.952011
23.1,-5,13.363835
23.65,-5,13.775659
24.2,-5,14.187485
24.75,-5,14.599307
25.300001,-5,15.011134
25.85,-5,15.422957
26.400002,-5,15.834783
26.95,-5,16.246609
27.5,-5,16.648205
28.050001,-5,17.048782
28.6,-5,17.449354
29.150002,-5,17.84993
29.7,-5,18.250504
30.25,-5,18.651077
30.800001,-5,19.051653
31.35,-5,19.452227
31.900002,-5,19.852802
32.45,-5,20.253378
33,-5,20.653952
33.55,-5,21.054525
34.100002,-5,21.4551
34.65,-5,21.759562
35.2,-5,22.042654
35.75,-5,22.325754
36.3,-5,22.608852
36.850002,-5,22.891953
37.4,-5,23.17505
37.95,-5,23.458149
38.5,-5,23.741247
39.05,-5,24.024343
39.600002,-5,24.307446
40.15,-5,24.590544
40.7,-5,24.831827
41.25,-5,24.999926
41.8,-5,25.168028
42.350002,-5,25.33613
42.9,-5,25.50423
43.45,-5,25.672333
44,-5,25.840435
44.55,-5,26.008535
45.100002,-5,26.158499
45.65,-5,26.226841
46.2,-5,26.295181
46.75,-5,26.363522
47.3,-5,26.431864
47.850002,-5,26.500202
48.4,-5,26.568542
48.95,-5,26.636883
49.5,-5,26.705221
50.05,-5,26.77357
50.600002,-5,26.841908
51.15,-5,26.910248
51.7,-5,26.978588
52.25,-5,27.04693
52.800003,-5,27.115269
53.350002,-5,27.18361
53.9,-5,27.251953
54.45,-5,27.320293
55,-5,27.388636
55.550003,-5,27.456974
56.100002,-5,27.525318
56.65,-5,27.593657
57.2,-5,27.661999
57.75,-5,27.730337
58.300003,-5,27.60236
58.850002,-5,27.0707
59.4,-5,26.539787
59.95,-5,26.009668
60.5,-5,25.480392
61.050003,-5,24.95201
61.600002,-5,24.424583
62.15,-5,23.898176
62.7,-5,23.372854
63.25,-5,22.848696
63.800003,-5,22.325773
64.35,-5,21.804193
64.9,-5,21.284037
65.450005,-5,20.765419
66,-5,20.248465
66.55,-5,19.733288
67.1,-5,19.22005
67.65,-5,18.708893
68.200005,-5,18.200003
68.75,-5,17.693579
69.3,-5,17.189827
69.85,-5,16.689001
70.4,-5,16.19136
70.950005,-5,15.697216
71.5,-5,15.206913
72.05,-5,14.720822
72.6,-5,14.239389
73.15,-5,13.76309
73.700005,-5,13.292481
74.25,-5,12.828198
74.8,-5,12.370937
75.35,-5,11.921522
75.9,-5,11.480859
76.450005,-5,11.050002
77,-5,10.630152
77.55,-5,10.22265
78.1,-5,9.829045
78.65,-5,9.451062
79.200005,-5,9.090656
79.75,-5,8.750005
80.3,-5,8.431491
80.85,-5,8.137726
81.4,-5,7.8714705
81.950005,-5,7.6356087
82.5,-5,7.433037
83.05,-5,7.266534
83.6,-5,7.138629
84.15,-5,6.761634
84.700005,-5,6.22205
85.25,-5,5.68314
85.8,-5,5.144979
86.35,-5,4.607698
86.9,-5,4.071408
87.450005,-5,3.536293
88,-5,3.0025885
88.55,-5,2.4706023
89.1,-5,1.9407967
89.65,-5,1.4138377
90.200005,-5,0.89069825
90.75,-5,0.3725666
91.3,-5,-0.13991804
91.85,-5,-0.64917815
92.4,-5,-1.164126
92.950005,-5,-0.77238274
93.5,-5,-0.26586357
94.05,-5,0.24232174
94.6,-5,0.7567808
95.15,-5,1.2774099
95.700005,-5,1.8028744
96.25,-5,2.3318655
96.8,-5,2.863165
97.35,-5,3.3952687
97.9,-5,3.9252782
98.450005,-5,4.44589
99,-5,4.9384856
99.55,-5,5.363131
100.1,-5,5.665675
100.65,-5,5.8261304
101.200005,-5,5.876433
101.75,-5,5.8422236
102.3,-5,5.704902
102.85,-5,5.4285216
103.4,-5,5.0221744
103.950005,-5,4.5381875
104.5,-5,4.020776
105.05,-5,3.4917045
105.600006,-5,2.9596765
106.15,-5,2.4281042
106.700005,-5,1.8986019
107.25,-5,1.3724248
107.8,-5,0.85084915
108.350006,-5,0.33525229
108.9,-5,-0.17384587
109.450005,-5,-0.6798907
110,-5,-1.1935865
110.55,-5,-0.742103
111.100006,-5,-0.23259576
111.65,-5,0.27903083
112.200005,-5,0.7961945
112.75,-5,1.3185291
113.3,-5,1.844865
113.850006,-5,2.3740742
114.4,-5,2.9050815
114.950005,-5,3.4364944
115.5,-5,3.9652958
116.05,-5,4.483751
116.600006,-5,4.972136
117.15,-5,5.3889823
117.700005,-5,5.6807504
118.25,-5,5.831085
118.8,-5,5.8722277
119.350006,-5,5.8246374
119.9,-5,5.6649146
120.450005,-5,5.3623595
121,-5,4.9375887
121.55,-5,4.4449096
122.100006,-5,3.9242675
122.65,-5,3.3942554
123.200005,-5,2.8621442
123.75,-5,2.3308556
124.3,-5,1.8018638
124.850006,-5,1.2764081
125.4,-5,0.7557964
125.950005,-5,0.24134287
126.5,-5,-0.26682544
127.05,-5,-0.77335805
127.600006,-5,-1.1631271
128.15001,-5,-0.64820164
128.7,-5,-0.13894887
129.25,-5,0.3735458
129.8,-5,0.89169496
130.35,-5,1.4148428
130.90001,-5,1.9418079
131.45,-5,2.4716108
132,-5,3.0036006
132.55,-5,3.5373142
133.1,-5,4.0724306
133.65001,-5,4.6087213
134.2,-5,5.1459956
134.75,-5,5.6841555
135.3,-5,6.223072
135.85,-5,6.7626543
