x,z,d
70,-10,15.722271
70.5,-10,15.301635
71,-10,14.884782
71.5,-10,14.471479
72,-10,14.0619
72.5,-10,13.656221
73,-10,13.256273
73.5,-10,12.860916
74,-10,12.470336
74.5,-10,12.08477
75,-10,11.705078
75.5,-10,11.332656
76,-10,10.966396
76.5,-10,10.606614
77,-10,10.253444
77.5,-10,9.907613
78,-10,9.566395
78.5,-10,9.244282
79,-10,8.941269
79.5,-10,8.65074
80,-10,8.368501
80.5,-10,8.093259
81,-10,7.825098
81.5,-10,7.5642314
82,-10,7.311443
82.5,-10,7.068032
83,-10,6.831275
83.5,-10,6.6003437
84,-10,6.3743467
84.5,-10,6.1528597
85,-10,5.941492
85.5,-10,5.7333603
86,-10,5.525943
86.5,-10,5.317809
87,-10,5.111575
87.5,-10,4.909634
88,-10,4.713821
88.5,-10,4.526139
89,-10,4.3495855
89.5,-10,4.1914897
90,-10,4.0510187
90.5,-10,3.93045
91,-10,3.8319604
91.5,-10,3.7625413
92,-10,3.7251751
92.5,-10,3.7156308
93,-10,3.7340147
93.5,-10,3.7800944
94,-10,3.8602977
94.5,-10,3.965966
95,-10,4.0946517
95.5,-10,4.246936
96,-10,4.4256716
96.5,-10,4.6352468
97,-10,4.865807
97.5,-10,5.1160035
98,-10,5.3845286
98.5,-10,5.672514
99,-10,5.9787045
99.5,-10,6.2985454
100,-10,6.6206307
100.5,-10,6.925377
101,-10,7.1246758
101.5,-10,7.2247186
102,-10,7.2371197
102.5,-10,7.161775
103,-10,6.9944963
103.5,-10,6.7842026
104,-10,6.550837
104.5,-10,6.29653
105,-10,6.0235395
105.5,-10,5.733027
106,-10,5.4511523
106.5,-10,5.189756
107,-10,4.952588
107.5,-10,4.741692
108,-10,4.567445
108.5,-10,4.429302
109,-10,4.3254437
109.5,-10,4.2572203
110,-10,4.2257743
110.5,-10,4.245816
111,-10,4.302922
111.5,-10,4.396103
112,-10,4.524139
112.5,-10,4.6890497
113,-10,4.8915896
113.5,-10,5.1211834
114,-10,5.37577
114.5,-10,5.6519203
115,-10,5.9406166
115.5,-10,6.2134175
116,-10,6.468534
116.5,-10,6.703512
117,-10,6.9161887
117.5,-10,7.0909595
118,-10,7.1814013
118.5,-10,7.18571
119,-10,7.1004624
119.5,-10,6.9127803
120,-10,6.619205
120.5,-10,6.3011913
121,-10,5.981774
121.5,-10,5.676039
122,-10,5.388551
122.5,-10,5.12056
123,-10,4.870938
123.5,-10,4.6409855
124,-10,4.432051
124.5,-10,4.253995
125,-10,4.1024156
125.5,-10,3.9744418
126,-10,3.8694766
126.5,-10,3.7899508
127,-10,3.7444942
127.5,-10,3.7266753
128,-10,3.7367167
128.5,-10,3.7745025
129,-10,3.84424
129.5,-10,3.9429376
130,-10,4.063625
130.5,-10,4.2041264
131,-10,4.3621616
131.5,-10,4.538554
132,-10,4.726008
132.5,-10,4.921536
133,-10,5.123139
133.5,-10,5.328986
134,-10,5.5366907
134.5,-10,5.7436643
135,-10,5.951403
135.5,-10,6.1628165
136,-10,6.386432
136.5,-10,6.615705
137,-10,6.846738
137.5,-10,7.0803056
138,-10,7.3182335
138.5,-10,7.564241
139,-10,7.818438
139.5,-10,8.080639
140,-10,8.351087
140.5,-10,8.630171
141,-10,8.920356
141.5,-10,9.225484
142,-10,9.551693
142.5,-10,9.898277
143,-10,10.249461
143.5,-10,10.605451
144,-10,10.966284
144.5,-10,11.332645
145,-10,11.705065
145.5,-10,12.084751
146,-10,12.470318
146.5,-10,12.860906
147,-10,13.256264
147.5,-10,13.656206
148,-10,14.061878
148.5,-10,14.471462
149,-10,14.8847685
149.5,-10,15.301623
150,-10,15.722256
70,-9.75,15.593234
70.5,-9.75,15.169986
71,-9.75,14.750436
71.5,-9.75,14.33436
72,-9.75,13.921929
72.5,-9.75,13.513322
73,-9.75,13.1103325
73.5,-9.75,12.711853
74,-9.75,12.3180685
74.5,-9.75,11.9292145
75,-9.75,11.546142
75.5,-9.75,11.170232
76,-9.75,10.800402
76.5,-9.75,10.436969
77,-9.75,10.080222
77.5,-9.75,9.731953
78,-9.75,9.389459
78.5,-9.75,9.058701
79,-9.75,8.74557
79.5,-9.75,8.455347
80,-9.75,8.173338
80.5,-9.75,7.8983483
81,-9.75,7.630518
81.5,-9.75,7.370119
82,-9.75,7.118019
82.5,-9.75,6.875676
83,-9.75,6.6403503
83.5,-9.75,6.4112477
84,-9.75,6.18738
84.5,-9.75,5.9676847
85,-9.75,5.7565064
85.5,-9.75,5.5481772
86,-9.75,5.340289
86.5,-9.75,5.131229
87,-9.75,4.92345
87.5,-9.75,4.719494
88,-9.75,4.521254
88.5,-9.75,4.330781
89,-9.75,4.15112
89.5,-9.75,3.9897223
90,-9.75,3.8459845
90.5,-9.75,3.7223294
91,-9.75,3.6210835
91.5,-9.75,3.5495262
92,-9.75,3.5108821
92.5,-9.75,3.5008714
93,-9.75,3.5196157
93.5,-9.75,3.5668676
94,-9.75,3.6491468
94.5,-9.75,3.7574186
95,-9.75,3.889107
95.5,-9.75,4.0447783
96,-9.75,4.22735
96.5,-9.75,4.4411783
97,-9.75,4.6762066
97.5,-9.75,4.931036
98,-9.75,5.204311
98.5,-9.75,5.497126
99,-9.75,5.808164
