x,z,d
0,-8,16.99
0.55,-8,13.650179
1.1,-8,13.107613
1.6500001,-8,12.578348
2.2,-8,12.052447
2.75,-8,11.527894
3.3000002,-8,11.004017
3.8500001,-8,10.501385
4.4,-8,10.023948
4.9500003,-8,9.546599
5.5,-8,9.069313
6.05,-8,8.592073
6.6000004,-8,8.11487
7.15,-8,7.637696
7.7000003,-8,7.160542
8.25,-8,6.689633
8.8,-8,6.2353315
9.35,-8,5.7810388
9.900001,-8,5.3267508
10.45,-8,4.872468
11,-8,4.4181895
11.55,-8,3.963914
12.1,-8,3.5096421
12.650001,-8,3.0553732
13.200001,-8,2.6011076
13.75,-8,2.1588762
14.3,-8,1.7310859
14.85,-8,1.303295
15.400001,-8,0.87550235
15.950001,-8,0.44771156
16.5,-8,0.019921333
17.050001,-8,-0.39212903
17.6,-8,0.035660744
18.15,-8,0.4634518
18.7,-8,0.8912433
19.25,-8,1.3190343
19.800001,-8,1.7468262
20.35,-8,2.15865
20.9,-8,2.570474
21.45,-8,2.9822993
22,-8,3.3941233
22.550001,-8,3.8059485
23.1,-8,4.2177725
23.65,-8,4.6295958
24.2,-8,5.0414214
24.75,-8,5.4532437
25.300001,-8,5.8650713
25.85,-8,6.276894
26.400002,-8,6.6887197
26.95,-8,7.100543
27.5,-8,7.50214
28.050001,-8,7.9027185
28.6,-8,8.303289
29.150002,-8,8.703866
29.7,-8,9.104439
30.25,-8,9.5050125
30.800001,-8,9.905588
31.35,-8,10.306163
31.900002,-8,10.706737
32.45,-8,11.107314
33,-8,11.507887
33.55,-8,11.90846
34.100002,-8,12.309037
34.65,-8,12.613495
35.2,-8,12.896591
35.75,-8,13.17969
36.3,-8,13.462789
36.850002,-8,13.745888
37.4,-8,14.028986
37.95,-8,14.312083
38.5,-8,14.595184
39.05,-8,14.878282
39.600002,-8,15.161382
40.15,-8,15.44448
40.7,-8,15.685761
41.25,-8,15.853864
41.8,-8,16.021967
42.350002,-8,16.19007
42.9,-8,16.358168
43.45,-8,16.526272
44,-8,16.69437
44.55,-8,16.862473
45.100002,-8,17.012436
45.65,-8,17.080776
46.2,-8,17.149118
46.75,-8,17.217459
47.3,-8,17.285797
47.850002,-8,17.35414
48.4,-8,17.42248
48.95,-8,17.490818
49.5,-8,17.55916
50.05,-8,17.627504
50.600002,-8,17.695845
51.15,-8,17.764185
51.7,-8,17.832525
52.25,-8,17.900866
52.800003,-8,17.969206
53.350002,-8,18.037552
53.9,-8,18.10589
54.45,-8,18.174229
55,-8,18.24257
55.550003,-8,18.310911
56.100002,-8,18.379253
56.65,-8,18.44759
