y,z,d
-60,-40,26.738668
-59,-40,26.14991
-58,-40,25.565617
-57,-40,24.986332
-56,-40,24.411377
-55,-40,23.840857
-54,-40,23.274881
-53,-40,22.71363
-52,-40,22.158611
-51,-40,21.608599
-50,-40,21.06372
-49,-40,20.524113
-48,-40,19.989902
-47,-40,19.462519
-46,-40,18.941376
-45,-40,18.426178
-44,-40,17.917076
-43,-40,17.414227
-42,-40,16.91866
-41,-40,16.4309
-40,-40,15.950013
-39,-40,15.476171
-38,-40,15.009545
-37,-40,14.5506115
-36,-40,14.101352
-35,-40,13.660005
-34,-40,13.226757
-33,-40,12.801801
-32,-40,12.385329
-31,-40,11.979789
-30,-40,11.5837555
-29,-40,11.196971
-28,-40,10.819636
-27,-40,10.451956
-26,-40,10.095742
-25,-40,9.7512045
-24,-40,9.41711
-23,-40,9.093667
-22,-40,8.781077
-21,-40,8.480292
-20,-40,8.193566
-19,-40,7.9184656
-18,-40,7.6551867
-17,-40,7.403918
-16,-40,7.1648498
-15,-40,6.941674
-14,-40,6.7315307
-13,-40,6.534258
-12,-40,6.350014
-11,-40,6.1789546
-10,-40,6.023719
-9,-40,5.8836417
-8,-40,5.757256
-7,-40,5.644672
-6,-40,5.5459905
-5,-40,5.462603
-4,-40,5.3962984
-3,-40,5.3441815
-2,-40,5.3062987
-1,-40,5.2826867
0,-40,5.2733684
1,-40,5.2826867
2,-40,5.306299
3,-40,5.3441815
4,-40,5.396299
5,-40,5.462604
6,-40,5.545991
7,-40,5.644673
8,-40,5.7572565
9,-40,5.883643
10,-40,6.0237203
11,-40,6.178955
12,-40,6.3500175
13,-40,6.5342603
14,-40,6.7315326
15,-40,6.941675
16,-40,7.164852
17,-40,7.4039197
18,-40,7.6551876
19,-40,7.9184694
20,-40,8.193571
21,-40,8.480298
22,-40,8.781083
23,-40,9.093673
24,-40,9.417115
25,-40,9.751209
26,-40,10.09575
27,-40,10.451963
28,-40,10.819642
29,-40,11.196978
30,-40,11.583762
31,-40,11.97979
32,-40,12.385331
33,-40,12.801805
34,-40,13.226764
35,-40,13.660009
36,-40,14.1013565
37,-40,14.550619
38,-40,15.009548
39,-40,15.476177
40,-40,15.950024
41,-40,16.43091
42,-40,16.918667
43,-40,17.414236
44,-40,17.917088
45,-40,18.426182
46,-40,18.941378
47,-40,19.462524
48,-40,19.989908
49,-40,20.524115
50,-40,21.063728
51,-40,21.60861
52,-40,22.158619
53,-40,22.713638
54,-40,23.27489
