y,z,d
-60,-5,12.0664835
-59.625,-5,11.7764845
-59.25,-5,11.48651
-58.875,-5,11.196556
-58.5,-5,10.906624
-58.125,-5,10.616712
-57.75,-5,10.326825
-57.375,-5,10.0369625
-57,-5,9.747117
-56.625,-5,9.457301
-56.25,-5,9.167509
-55.875,-5,8.877743
-55.5,-5,8.588001
-55.125,-5,8.298285
-54.75,-5,8.008594
-54.375,-5,7.7189307
-54,-5,7.4292927
-53.625,-5,7.1396885
-53.25,-5,6.850109
-52.875,-5,6.560563
-52.5,-5,6.2710376
-52.125,-5,5.9815493
-51.75,-5,5.692095
-51.375,-5,5.402669
-51,-5,5.1132727
-50.625,-5,4.8239174
-50.25,-5,4.5345874
-49.875,-5,4.2452946
-49.5,-5,3.9560397
-49.125,-5,3.6668217
-48.75,-5,3.3776371
-48.375,-5,3.088494
-48,-5,2.7993884
-47.625,-5,2.5103204
-47.25,-5,2.2212977
-46.875,-5,1.9323169
-46.5,-5,1.6433775
-46.125,-5,1.3544798
-45.75,-5,1.0656278
-45.375,-5,0.77682143
-45,-5,0.4880608
-44.625,-5,0.19935007
-44.25,-5,-0.089310795
-43.875,-5,-0.37792385
-43.5,-5,-0.13351923
-43.125,-5,0.15498789
-42.75,-5,0.44343883
-42.375,-5,0.7318358
-42,-5,1.0201724
-41.625,-5,1.3084509
-41.25,-5,1.5966711
-40.875,-5,1.8848273
-40.5,-5,2.1729205
-40.125,-5,2.4609475
-39.75,-5,2.7489078
-39.375,-5,3.0367978
-39,-5,3.324619
-38.625,-5,3.6123636
-38.25,-5,3.9000351
-37.875,-5,4.1876297
-37.5,-5,4.475143
-37.125,-5,4.7625737
-36.75,-5,5.0499234
-36.375,-5,5.337181
-36,-5,5.624352
-35.625,-5,5.9114313
-35.25,-5,6.198413
-34.875,-5,6.4852967
-34.5,-5,6.772081
-34.125,-5,7.058759
-33.75,-5,7.3453293
-33.375,-5,7.6302567
-33,-5,7.5518084
-32.625,-5,7.3631883
-32.25,-5,7.1809287
-31.875,-5,7.00323
-31.5,-5,6.8297014
-31.125,-5,6.6600366
-30.75,-5,6.493591
-30.375,-5,6.3293223
-30,-5,6.16594
-29.625,-5,6.0021105
-29.25,-5,5.836734
-28.875,-5,5.66925
-28.5,-5,5.499842
-28.125,-5,5.329501
-27.75,-5,5.159888
-27.375,-5,4.9930844
-27,-5,4.8312798
-26.625,-5,4.676498
-26.25,-5,4.5310297
-25.875,-5,4.396733
-25.5,-5,4.272529
-25.125,-5,4.1580067
-24.75,-5,4.051837
-24.375,-5,3.951784
-24,-5,3.8549297
-23.625,-5,3.7582085
-23.25,-5,3.6591687
-22.875,-5,3.5567496
-22.5,-5,3.4517674
-22.125,-5,3.3468068
-21.75,-5,3.245629
-21.375,-5,3.1524467
-21,-5,3.0712352
-20.625,-5,3.0052419
-20.25,-5,2.957029
-19.875,-5,2.928433
-19.5,-5,2.9172473
-19.125,-5,2.9215808
-18.75,-5,2.9381092
-18.375,-5,2.9624417
-18,-5,2.989739
-17.625,-5,3.0157368
-17.25,-5,3.037804
-16.875,-5,3.0557373
-16.5,-5,3.0718024
-16.125,-5,3.0899615
-15.75,-5,3.1147945
-15.375,-5,3.1504586
-15,-5,3.2000656
-14.625,-5,3.2654362
-14.25,-5,3.3492799
-13.875,-5,3.4586549
-13.5,-5,3.592768
-13.125,-5,3.749838
-12.75,-5,3.9279335
-12.375,-5,4.1250825
-12,-5,4.339339
-11.625,-5,4.56878
-11.25,-5,4.8114524
-10.875,-5,5.0653605
-10.5,-5,5.3284354
-10.125,-5,5.598193
-9.75,-5,5.8711457
-9.375,-5,6.141706
-9,-5,6.4000936
-8.625,-5,6.628629
-8.25,-5,6.7976193
-7.875,-5,6.869216
-7.5,-5,6.8207774
-7.125,-5,6.6669364
-6.75,-5,6.444707
-6.375,-5,6.1866393
-6,-5,5.9128823
-5.625,-5,5.634579
-5.25,-5,5.3579507
-4.875,-5,5.086756
-4.5,-5,4.8235703
-4.125,-5,4.570432
-3.75,-5,4.329179
-3.375,-5,4.1016374
-3,-5,3.8897433
-2.625,-5,3.6955256
-2.25,-5,3.5210845
-1.875,-5,3.3685658
-1.5,-5,3.2400997
-1.125,-5,3.1377006
-0.75,-5,3.0631382
-0.375,-5,3.017803
0,-5,3.002589
0.375,-5,3.017803
0.75,-5,3.0631382
1.125,-5,3.1377006
1.5,-5,3.2400997
1.875,-5,3.3685658
2.25,-5,3.5210845
2.625,-5,3.6955256
3,-5,3.8897433
3.375,-5,4.1016374
3.75,-5,4.329179
4.125,-5,4.570432
4.5,-5,4.8235703
4.875,-5,5.086756
5.25,-5,5.3579507
5.625,-5,5.634579
6,-5,5.9128823
6.375,-5,6.1866393
6.75,-5,6.444707
7.125,-5,6.6669364
7.5,-5,6.8207774
7.875,-5,6.869216
8.25,-5,6.7976193
8.625,-5,6.628629
9,-5,6.4000936
9.375,-5,6.141706
9.75,-5,5.8711457
10.125,-5,5.598193
10.5,-5,5.3284354
10.875,-5,5.0653605
11.25,-5,4.8114524
11.625,-5,4.56878
12,-5,4.339339
12.375,-5,4.1250825
12.75,-5,3.9279335
13.125,-5,3.749838
13.5,-5,3.592768
13.875,-5,3.4586549
14.25,-5,3.3492799
14.625,-5,3.2654362
15,-5,3.2000656
15.375,-5,3.1504586
15.75,-5,3.1147945
16.125,-5,3.0899615
16.5,-5,3.0718024
16.875,-5,3.0557373
17.25,-5,3.037804
17.625,-5,3.0157368
18,-5,2.989739
18.375,-5,2.9624417
18.75,-5,2.9381092
19.125,-5,2.9215808
19.5,-5,2.9172473
19.875,-5,2.928433
20.25,-5,2.957029
20.625,-5,3.0052419
21,-5,3.0712352
21.375,-5,3.1524467
21.75,-5,3.245629
22.125,-5,3.3468068
22.5,-5,3.4517674
22.875,-5,3.5567496
23.25,-5,3.6591687
23.625,-5,3.7582085
24,-5,3.8549297
24.375,-5,3.951784
24.75,-5,4.051837
25.125,-5,4.1580067
25.5,-5,4.272529
25.875,-5,4.396733
26.25,-5,4.5310297
26.625,-5,4.676498
27,-5,4.8312798
27.375,-5,4.9930844
27.75,-5,5.159888
28.125,-5,5.329501
28.5,-5,5.499842
28.875,-5,5.66925
29.25,-5,5.836734
29.625,-5,6.0021105
30,-5,6.16594
30.375,-5,6.3293223
30.75,-5,6.493591
31.125,-5,6.6600366
31.5,-5,6.8297014
31.875,-5,7.00323
32.25,-5,7.1809287
32.625,-5,7.3631883
33,-5,7.5518084
33.375,-5,7.6302567
33.75,-5,7.3453293
34.125,-5,7.058759
34.5,-5,6.772081
34.875,-5,6.4852967
35.25,-5,6.198413
35.625,-5,5.9114313
36,-5,5.624352
36.375,-5,5.337181
36.75,-5,5.0499234
37.125,-5,4.7625737
37.5,-5,4.475143
37.875,-5,4.1876297
38.25,-5,3.9000351
38.625,-5,3.6123636
39,-5,3.324619
39.375,-5,3.0367978
39.75,-5,2.7489078
40.125,-5,2.4609475
40.5,-5,2.1729205
40.875,-5,1.8848273
41.25,-5,1.5966711
41.625,-5,1.3084509
42,-5,1.0201724
42.375,-5,0.7318358
42.75,-5,0.44343883
43.125,-5,0.15498789
43.5,-5,-0.13351923
43.875,-5,-0.37792385
44.25,-5,-0.089310795
44.625,-5,0.19935007
45,-5,0.4880608
45.375,-5,0.77682143
45.75,-5,1.0656278
46.125,-5,1.3544798
46.5,-5,1.6433775
46.875,-5,1.9323169
47.25,-5,2.2212977
47.625,-5,2.5103204
48,-5,2.7993884
48.375,-5,3.088494
48.75,-5,3.3776371
49.125,-5,3.6668217
49.5,-5,3.9560397
49.875,-5,4.2452946
50.25,-5,4.5345874
50.625,-5,4.8239174
51,-5,5.1132727
51.375,-5,5.402669
51.75,-5,5.692095
52.125,-5,5.9815493
52.5,-5,6.2710376
52.875,-5,6.560563
53.25,-5,6.850109
53.625,-5,7.1396885
54,-5,7.4292927
54.375,-5,7.7189307
54.75,-5,8.008594
55.125,-5,8.298285
55.5,-5,8.588001
55.875,-5,8.877743
56.25,-5,9.167509
56.625,-5,9.457301
57,-5,9.747117
57.375,-5,10.0369625
57.75,-5,10.326825
58.125,-5,10.616712
58.5,-5,10.906624
58.875,-5,11.196556
59.25,-5,11.48651
59.625,-5,11.7764845
60,-5,12.0664835
-60,-4.734375,12.03893
-59.625,-4.734375,11.748756
-59.25,-4.734375,11.4586115
-58.875,-4.734375,11.168479
-58.5,-4.734375,10.878367
-58.125,-4.734375,10.588282
-57.75,-4.734375,10.298211
-57.375,-4.734375,10.0081625
-57,-4.734375,9.71813
-56.625,-4.734375,9.4281225
-56.25,-4.734375,9.13814
-55.875,-4.734375,8.848178
-55.5,-4.734375,8.558237
-55.125,-4.734375,8.268325
-54.75,-4.734375,7.978425
-54.375,-4.734375,7.688559
-54,-4.734375,7.398718
-53.625,-4.734375,7.108897
-53.25,-4.734375,6.8191056
-52.875,-4.734375,6.5293393
-52.5,-4.734375,6.239598
-52.125,-4.734375,5.9498854
-51.75,-4.734375,5.660206
-51.375,-4.734375,5.370548
-51,-4.734375,5.0809226
-50.625,-4.734375,4.7913303
-50.25,-4.734375,4.5017595
-49.875,-4.734375,4.2122254
-49.5,-4.734375,3.9227252
-49.125,-4.734375,3.6332538
-48.75,-4.734375,3.3438199
-48.375,-4.734375,3.054419
-48,-4.734375,2.7650476
-47.625,-4.734375,2.4757175
-47.25,-4.734375,2.1864207
-46.875,-4.734375,1.8971654
-46.5,-4.734375,1.6079476
-46.125,-4.734375,1.3187672
-45.75,-4.734375,1.0296283
-45.375,-4.734375,0.74053097
-45,-4.734375,0.45147526
-44.625,-4.734375,0.1624611
-44.25,-4.734375,-0.12650527
-43.875,-4.734375,-0.38457203
-43.5,-4.734375,-0.09569502
-43.125,-4.734375,0.19313209
-42.75,-4.734375,0.48191136
-42.375,-4.734375,0.7706409
-42,-4.734375,1.0593162
-41.625,-4.734375,1.3479418
-41.25,-4.734375,1.6365114
-40.875,-4.734375,1.9250246
-40.5,-4.734375,2.2134817
-40.125,-4.734375,2.5018787
-39.75,-4.734375,2.7902172
-39.375,-4.734375,3.0784895
-39,-4.734375,3.3667014
-38.625,-4.734375,3.654845
-38.25,-4.734375,3.9429219
-37.875,-4.734375,4.23093
-37.5,-4.734375,4.518863
-37.125,-4.734375,4.806724
-36.75,-4.734375,5.09451
-36.375,-4.734375,5.382217
-36,-4.734375,5.6698427
-35.625,-4.734375,5.9573855
-35.25,-4.734375,6.244841
-34.875,-4.734375,6.5322113
-34.5,-4.734375,6.819488
-34.125,-4.734375,7.1066694
-33.75,-4.734375,7.3937554
-33.375,-4.734375,7.6807103
-33,-4.734375,7.744342
-32.625,-4.734375,7.5571017
-32.25,-4.734375,7.375356
-31.875,-4.734375,7.19747
-31.5,-4.734375,7.0233088
-31.125,-4.734375,6.852444
-30.75,-4.734375,6.6841154
-30.375,-4.734375,6.51724
-30,-4.734375,6.3505907
-29.625,-4.734375,6.1830163
-29.25,-4.734375,6.013705
-28.875,-4.734375,5.842434
-28.5,-4.734375,5.6697006
-28.125,-4.734375,5.4967074
-27.75,-4.734375,5.3251777
-27.375,-4.734375,5.157108
-27,-4.734375,4.994484
-26.625,-4.734375,4.8390527
-26.25,-4.734375,4.693818
-25.875,-4.734375,4.558273
-25.5,-4.734375,4.431982
-25.125,-4.734375,4.3141904
-24.75,-4.734375,4.203266
-24.375,-4.734375,4.0967846
-24,-4.734375,3.9918709
-23.625,-4.734375,3.8857877
-23.25,-4.734375,3.776682
-22.875,-4.734375,3.6642666
-22.5,-4.734375,3.5500464
-22.125,-4.734375,3.437014
