y,z,d
-60,-8,12.442214
-59.625,-8,12.154766
-59.25,-8,11.8673725
-58.875,-8,11.580033
-58.5,-8,11.292744
-58.125,-8,11.005512
-57.75,-8,10.718335
-57.375,-8,10.43122
-57,-8,10.1441555
-56.625,-8,9.857158
-56.25,-8,9.570217
-55.875,-8,9.283336
-55.5,-8,8.99652
-55.125,-8,8.709772
-54.75,-8,8.423085
-54.375,-8,8.136466
-54,-8,7.849917
-53.625,-8,7.5634346
-53.25,-8,7.2770314
-52.875,-8,6.9906945
-52.5,-8,6.7044287
-52.125,-8,6.418242
-51.75,-8,6.132134
-51.375,-8,5.8461013
-51,-8,5.5601516
-50.625,-8,5.2742805
-50.25,-8,4.9884973
-49.875,-8,4.7027974
-49.5,-8,4.417185
-49.125,-8,4.131664
-48.75,-8,3.846234
-48.375,-8,3.560896
-48,-8,3.2756577
-47.625,-8,2.9905152
-47.25,-8,2.7054727
-46.875,-8,2.4205298
-46.5,-8,2.1356955
-46.125,-8,1.850969
-45.75,-8,1.5663466
-45.375,-8,1.2818408
-45,-8,0.9974473
-44.625,-8,0.7131745
-44.25,-8,0.4290182
-43.875,-8,0.14499088
-43.5,-8,-0.13891578
-43.125,-8,-0.37731072
-42.75,-8,-0.09366828
-42.375,-8,0.18983681
-42,-8,0.47320455
-41.625,-8,0.7564247
-41.25,-8,1.0395012
-40.875,-8,1.322428
-40.5,-8,1.6051986
-40.125,-8,1.8878111
-39.75,-8,2.1702616
-39.375,-8,2.4525433
-39,-8,2.7346523
-38.625,-8,3.0165868
-38.25,-8,3.29834
-37.875,-8,3.5799062
-37.5,-8,3.861283
-37.125,-8,4.142462
-36.75,-8,4.4234347
-36.375,-8,4.704204
-36,-8,4.984757
-35.625,-8,5.2650914
-35.25,-8,5.5449867
-34.875,-8,5.549549
-34.5,-8,5.366642
-34.125,-8,5.1794996
-33.75,-8,4.987409
-33.375,-8,4.7896605
-33,-8,4.586043
-32.625,-8,4.3772507
-32.25,-8,4.164928
-31.875,-8,3.9514956
-31.5,-8,3.7398326
-31.125,-8,3.5328526
-30.75,-8,3.3332984
-30.375,-8,3.1451051
-30,-8,2.9702282
-29.625,-8,2.8075943
-29.25,-8,2.6568525
-28.875,-8,2.5161183
-28.5,-8,2.3818736
-28.125,-8,2.2493343
-27.75,-8,2.1134443
-27.375,-8,1.9703287
-27,-8,1.8185356
-26.625,-8,1.6594374
-26.25,-8,1.4968332
-25.875,-8,1.336313
-25.5,-8,1.1847599
-25.125,-8,1.0499825
-24.75,-8,0.94003767
-24.375,-8,0.8620725
-24,-8,0.8206835
-23.625,-8,0.814747
-23.25,-8,0.8394521
-22.875,-8,0.88685054
-22.5,-8,0.9483716
-22.125,-8,1.0168363
-21.75,-8,1.087154
-21.375,-8,1.1560107
-21,-8,1.2216872
-20.625,-8,1.2846565
-20.25,-8,1.3482372
-19.875,-8,1.4181968
-19.5,-8,1.5010284
-19.125,-8,1.6018274
-18.75,-8,1.7229853
-18.375,-8,1.8620077
-18,-8,2.0144083
-17.625,-8,2.178334
-17.25,-8,2.3481357
-16.875,-8,2.5180085
-16.5,-8,2.6811664
-16.125,-8,2.832279
-15.75,-8,2.9682915
-15.375,-8,3.0887501
-15,-8,3.1953435
-14.625,-8,3.2907188
-14.25,-8,3.3771758
-13.875,-8,3.4558952
-13.5,-8,3.5268505
-13.125,-8,3.5892413
-12.75,-8,3.6446888
-12.375,-8,3.708783
-12,-8,3.7867544
-11.625,-8,3.8803487
-11.25,-8,3.990683
-10.875,-8,4.118253
-10.5,-8,4.2630134
-10.125,-8,4.424499
-9.75,-8,4.6019034
-9.375,-8,4.7940955
-9,-8,4.9993787
-8.625,-8,5.214498
-8.25,-8,5.431367
-7.875,-8,5.6275773
-7.5,-8,5.7489944
-7.125,-8,5.7189345
