x,z,d
70,-10,17.734304
70.5,-10,17.280632
71,-10,16.829306
71.5,-10,16.3805
72,-10,15.934401
72.5,-10,15.491219
73,-10,15.05118
73.5,-10,14.614532
74,-10,14.181555
74.5,-10,13.752546
75,-10,13.327841
75.5,-10,12.907806
76,-10,12.492849
76.5,-10,12.083419
77,-10,11.68001
77.5,-10,11.283173
78,-10,10.893512
78.5,-10,10.526163
79,-10,10.220083
79.5,-10,9.929758
80,-10,9.656609
80.5,-10,9.402132
81,-10,9.167882
81.5,-10,8.955448
82,-10,8.766417
82.5,-10,8.602328
83,-10,8.464635
83.5,-10,8.354642
84,-10,8.273453
84.5,-10,8.221923
85,-10,8.20061
85.5,-10,8.200001
86,-10,8.200001
86.5,-10,8.200001
87,-10,8.200001
87.5,-10,8.200001
88,-10,8.200001
88.5,-10,8.200001
89,-10,8.200001
89.5,-10,8.200001
90,-10,8.200001
90.5,-10,8.200001
91,-10,8.200001
91.5,-10,8.200001
92,-10,8.200001
92.5,-10,8.200001
93,-10,8.200001
93.5,-10,8.200001
94,-10,8.200001
94.5,-10,8.200001
95,-10,8.20061
95.5,-10,8.221922
96,-10,8.273451
96.5,-10,8.354639
97,-10,8.464631
97.5,-10,8.602324
98,-10,8.766412
98.5,-10,8.955442
99,-10,9.167875
99.5,-10,9.402124
100,-10,9.6566
100.5,-10,9.9297495
101,-10,10.220074
101.5,-10,10.526154
102,-10,10.8935
102.5,-10,11.28316
103,-10,11.679997
103.5,-10,12.0834055
104,-10,12.492837
104.5,-10,12.907794
105,-10,13.327827
105.5,-10,13.752533
106,-10,14.181541
106.5,-10,14.614521
107,-10,15.051167
107.5,-10,15.491205
108,-10,15.934387
108.5,-10,16.380486
109,-10,16.829292
109.5,-10,17.280619
110,-10,17.734291
110.5,-10,17.280626
111,-10,16.8293
111.5,-10,16.380493
112,-10,15.934395
112.5,-10,15.491211
113,-10,15.051172
113.5,-10,14.614527
114,-10,14.181547
114.5,-10,13.75254
115,-10,13.327834
115.5,-10,12.9078
116,-10,12.492844
116.5,-10,12.083412
117,-10,11.680003
117.5,-10,11.283166
118,-10,10.893506
118.5,-10,10.526158
119,-10,10.220078
119.5,-10,9.929754
120,-10,9.656605
120.5,-10,9.402127
121,-10,9.167879
121.5,-10,8.955445
122,-10,8.766414
122.5,-10,8.602325
123,-10,8.464633
123.5,-10,8.35464
124,-10,8.273452
124.5,-10,8.221923
125,-10,8.20061
125.5,-10,8.200001
126,-10,8.200001
126.5,-10,8.200001
127,-10,8.200001
127.5,-10,8.200001
128,-10,8.200001
128.5,-10,8.200001
129,-10,8.200001
129.5,-10,8.200001
130,-10,8.200001
130.5,-10,8.200001
131,-10,8.200001
131.5,-10,8.200001
132,-10,8.200001
132.5,-10,8.200001
133,-10,8.200001
133.5,-10,8.200001
134,-10,8.200001
134.5,-10,8.200001
135,-10,8.20061
135.5,-10,8.221923
136,-10,8.273452
136.5,-10,8.35464
137,-10,8.464633
137.5,-10,8.602325
138,-10,8.766414
138.5,-10,8.955445
139,-10,9.167879
139.5,-10,9.402127
140,-10,9.656605
140.5,-10,9.929754
141,-10,10.220078
141.5,-10,10.526158
142,-10,10.893506
142.5,-10,11.283166
143,-10,11.680003
143.5,-10,12.083412
144,-10,12.492844
144.5,-10,12.9078
145,-10,13.327834
145.5,-10,13.75254
146,-10,14.181547
146.5,-10,14.614527
147,-10,15.051172
147.5,-10,15.491211
148,-10,15.934395
148.5,-10,16.380493
149,-10,16.8293
149.5,-10,17.280626
150,-10,17.734299
70,-9.75,17.631742
70.5,-9.75,17.175644
71,-9.75,16.721786
71.5,-9.75,16.270338
72,-9.75,15.821484
72.5,-9.75,15.37542
73,-9.75,14.932373
73.5,-9.75,14.49258
74,-9.75,14.056313
74.5,-9.75,13.623866
75,-9.75,13.195565
75.5,-9.75,12.77177
76,-9.75,12.3528805
76.5,-9.75,11.939339
77,-9.75,11.531635
77.5,-9.75,11.130314
78,-9.75,10.735978
78.5,-9.75,10.349298
79,-9.75,10.020609
79.5,-9.75,9.724329
80,-9.75,9.445241
80.5,-9.75,9.18491
81,-9.75,8.944974
81.5,-9.75,8.727117
82,-9.75,8.533028
82.5,-9.75,8.364362
83,-9.75,8.222684
83.5,-9.75,8.10941
84,-9.75,8.025741
84.5,-9.75,7.97261
85,-9.75,7.950629
85.5,-9.75,7.9500003
86,-9.75,7.9500003
86.5,-9.75,7.9500003
87,-9.75,7.9500003
87.5,-9.75,7.9500003
88,-9.75,7.9500003
88.5,-9.75,7.9500003
89,-9.75,7.9500003
89.5,-9.75,7.9500003
90,-9.75,7.9500003
90.5,-9.75,7.9500003
91,-9.75,7.9500003
91.5,-9.75,7.9500003
92,-9.75,7.9500003
92.5,-9.75,7.9500003
93,-9.75,7.9500003
93.5,-9.75,7.9500003
94,-9.75,7.9500003
94.5,-9.75,7.9500003
95,-9.75,7.9506288
95.5,-9.75,7.9726086
96,-9.75,8.025739
96.5,-9.75,8.109407
97,-9.75,8.22268
97.5,-9.75,8.364357
98,-9.75,8.533021
98.5,-9.75,8.72711
99,-9.75,8.944967
99.5,-9.75,9.184902
100,-9.75,9.445232
100.5,-9.75,9.72432
101,-9.75,10.020599
101.5,-9.75,10.349285
102,-9.75,10.735967
102.5,-9.75,11.130302
103,-9.75,11.531623
103.5,-9.75,11.939326
104,-9.75,12.352868
104.5,-9.75,12.771757
105,-9.75,13.195552
105.5,-9.75,13.623854
106,-9.75,14.056299
106.5,-9.75,14.492567
107,-9.75,14.932358
107.5,-9.75,15.375406
108,-9.75,15.821468
108.5,-9.75,16.270325
109,-9.75,16.721771
109.5,-9.75,17.17563
110,-9.75,17.631727
110.5,-9.75,17.175636
111,-9.75,16.721779
111.5,-9.75,16.270332
112,-9.75,15.821476
112.5,-9.75,15.375414
113,-9.75,14.932365
113.5,-9.75,14.492575
114,-9.75,14.056307
114.5,-9.75,13.623859
115,-9.75,13.195559
115.5,-9.75,12.771764
116,-9.75,12.352874
116.5,-9.75,11.939332
117,-9.75,11.53163
117.5,-9.75,11.130308
118,-9.75,10.735972
118.5,-9.75,10.349292
119,-9.75,10.020603
119.5,-9.75,9.724325
120,-9.75,9.445237
120.5,-9.75,9.184906
121,-9.75,8.94497
121.5,-9.75,8.727113
122,-9.75,8.533024
122.5,-9.75,8.364359
123,-9.75,8.222682
123.5,-9.75,8.109408
124,-9.75,8.02574
124.5,-9.75,7.9726095
125,-9.75,7.9506288
125.5,-9.75,7.9500003
126,-9.75,7.9500003
126.5,-9.75,7.9500003
127,-9.75,7.9500003
127.5,-9.75,7.9500003
128,-9.75,7.9500003
128.5,-9.75,7.9500003
129,-9.75,7.9500003
129.5,-9.75,7.9500003
130,-9.75,7.9500003
130.5,-9.75,7.9500003
131,-9.75,7.9500003
131.5,-9.75,7.9500003
132,-9.75,7.9500003
132.5,-9.75,7.9500003
133,-9.75,7.9500003
133.5,-9.75,7.9500003
134,-9.75,7.9500003
134.5,-9.75,7.9500003
135,-9.75,7.9506288
135.5,-9.75,7.9726095
136,-9.75,8.02574
136.5,-9.75,8.109408
137,-9.75,8.222682
137.5,-9.75,8.364359
138,-9.75,8.533024
138.5,-9.75,8.727113
139,-9.75,8.94497
139.5,-9.75,9.184906
140,-9.75,9.445237
140.5,-9.75,9.724325
141,-9.75,10.020603
141.5,-9.75,10.349292
142,-9.75,10.735972
142.5,-9.75,11.130308
143,-9.75,11.53163
143.5,-9.75,11.939332
144,-9.75,12.352874
144.5,-9.75,12.771764
145,-9.75,13.195559
145.5,-9.75,13.623859
146,-9.75,14.056307
146.5,-9.75,14.492575
147,-9.75,14.932365
147.5,-9.75,15.375414
148,-9.75,15.821476
148.5,-9.75,16.270332
149,-9.75,16.721779
149.5,-9.75,17.175636
150,-9.75,17.631735
70,-9.5,17.53184
70.5,-9.5,17.073353
71,-9.5,16.617002
71.5,-9.5,16.16295
72,-9.5,15.711372
72.5,-9.5,15.262466
73,-9.5,14.8164425
73.5,-9.5,14.373537
74,-9.5,13.934011
74.5,-9.5,13.498152
75,-9.5,13.066277
75.5,-9.5,12.63874
76,-9.5,12.21593
76.5,-9.5,11.798285
77,-9.5,11.386287
77.5,-9.5,10.980472
78,-9.5,10.581441
78.5,-9.5,10.189858
79,-9.5,9.823446
79.5,-9.5,9.521033
80,-9.5,9.235804
80.5,-9.5,8.969397
81,-9.5,8.723535
81.5,-9.5,8.500004
82,-9.5,8.300606
82.5,-9.5,8.127117
83,-9.5,7.9812303
83.5,-9.5,7.864479
84,-9.5,7.778176
84.5,-9.5,7.723342
85,-9.5,7.7006497
85.5,-9.5,7.7000003
86,-9.5,7.7000003
86.5,-9.5,7.7000003
87,-9.5,7.7000003
87.5,-9.5,7.7000003
88,-9.5,7.7000003
88.5,-9.5,7.7000003
89,-9.5,7.7000003
89.5,-9.5,7.7000003
90,-9.5,7.7000003
90.5,-9.5,7.7000003
91,-9.5,7.7000003
91.5,-9.5,7.7000003
92,-9.5,7.7000003
92.5,-9.5,7.7000003
93,-9.5,7.7000003
93.5,-9.5,7.7000003
94,-9.5,7.7000003
94.5,-9.5,7.7000003
95,-9.5,7.7006493
95.5,-9.5,7.7233405
96,-9.5,7.778174
96.5,-9.5,7.8644757
97,-9.5,7.9812264
97.5,-9.5,8.127112
98,-9.5,8.3006
98.5,-9.5,8.499996
99,-9.5,8.723528
99.5,-9.5,8.969389
100,-9.5,9.235796
100.5,-9.5,9.521025
101,-9.5,9.823437
101.5,-9.5,10.189846
102,-9.5,10.581429
102.5,-9.5,10.98046
103,-9.5,11.386274
103.5,-9.5,11.798272
104,-9.5,12.215918
104.5,-9.5,12.638726
105,-9.5,13.066264
105.5,-9.5,13.498138
106,-9.5,13.933998
106.5,-9.5,14.373524
107,-9.5,14.816429
107.5,-9.5,15.262451
108,-9.5,15.711359
108.5,-9.5,16.162937
109,-9.5,16.61699
109.5,-9.5,17.07334
110,-9.5,17.531826
110.5,-9.5,17.073345
111,-9.5,16.616995
111.5,-9.5,16.162943
112,-9.5,15.711367
112.5,-9.5,15.262459
113,-9.5,14.816437
113.5,-9.5,14.373529
114,-9.5,13.934005
114.5,-9.5,13.498145
115,-9.5,13.06627
115.5,-9.5,12.638732
116,-9.5,12.215924
116.5,-9.5,11.798279
117,-9.5,11.38628
117.5,-9.5,10.980466
118,-9.5,10.581434
118.5,-9.5,10.189852
119,-9.5,9.8234415
119.5,-9.5,9.521029
120,-9.5,9.2358
120.5,-9.5,8.969393
121,-9.5,8.723532
121.5,-9.5,8.5
122,-9.5,8.300603
122.5,-9.5,8.127115
123,-9.5,7.9812284
123.5,-9.5,7.864477
124,-9.5,7.778175
124.5,-9.5,7.7233415
125,-9.5,7.7006493
125.5,-9.5,7.7000003
126,-9.5,7.7000003
126.5,-9.5,7.7000003
127,-9.5,7.7000003
127.5,-9.5,7.7000003
128,-9.5,7.7000003
128.5,-9.5,7.7000003
129,-9.5,7.7000003
129.5,-9.5,7.7000003
130,-9.5,7.7000003
130.5,-9.5,7.7000003
131,-9.5,7.7000003
131.5,-9.5,7.7000003
132,-9.5,7.7000003
132.5,-9.5,7.7000003
133,-9.5,7.7000003
133.5,-9.5,7.7000003
134,-9.5,7.7000003
134.5,-9.5,7.7000003
135,-9.5,7.7006493
135.5,-9.5,7.7233415
136,-9.5,7.778175
136.5,-9.5,7.864477
137,-9.5,7.9812284
137.5,-9.5,8.127115
138,-9.5,8.300603
138.5,-9.5,8.5
139,-9.5,8.723532
139.5,-9.5,8.969393
140,-9.5,9.2358
140.5,-9.5,9.521029
141,-9.5,9.8234415
141.5,-9.5,10.189852
142,-9.5,10.581434
142.5,-9.5,10.980466
143,-9.5,11.38628
143.5,-9.5,11.798279
144,-9.5,12.215924
144.5,-9.5,12.638732
145,-9.5,13.06627
145.5,-9.5,13.498145
146,-9.5,13.934005
146.5,-9.5,14.373529
147,-9.5,14.816437
147.5,-9.5,15.262459
148,-9.5,15.711367
148.5,-9.5,16.162943
149,-9.5,16.616995
149.5,-9.5,17.073345
150,-9.5,17.531834
70,-9.25,17.43464
70.5,-9.25,16.973806
71,-9.25,16.515001
71.5,-9.25,16.058386
72,-9.25,15.604126
72.5,-9.25,15.152412
73,-9.25,14.703449
73.5,-9.25,14.257465
74,-9.25,13.814714
74.5,-9.25,13.375474
75,-9.25,12.940053
75.5,-9.25,12.508797
76,-9.25,12.082087
76.5,-9.25,11.66035
77,-9.25,11.244061
77.5,-9.25,10.833751
78,-9.25,10.43001
78.5,-9.25,10.033501
79,-9.25,9.644961
79.5,-9.25,9.32001
80,-9.25,9.028432
80.5,-9.25,8.755716
81,-9.25,8.503679
81.5,-9.25,8.27421
82,-9.25,8.069235
82.5,-9.25,7.8906617
83,-9.25,7.740319
83.5,-9.25,7.619877
84,-9.25,7.5307713
84.5,-9.25,7.4741225
85,-9.25,7.450671
85.5,-9.25,7.45
86,-9.25,7.45
86.5,-9.25,7.45
87,-9.25,7.45
87.5,-9.25,7.45
88,-9.25,7.45
88.5,-9.25,7.45
89,-9.25,7.45
89.5,-9.25,7.45
90,-9.25,7.45
90.5,-9.25,7.45
91,-9.25,7.45
91.5,-9.25,7.45
92,-9.25,7.45
92.5,-9.25,7.45
93,-9.25,7.45
93.5,-9.25,7.45
94,-9.25,7.45
94.5,-9.25,7.45
95,-9.25,7.450671
95.5,-9.25,7.4741216
96,-9.25,7.5307693
96.5,-9.25,7.6198735
97,-9.25,7.7403145
97.5,-9.25,7.8906565
98,-9.25,8.069229
98.5,-9.25,8.274203
99,-9.25,8.503672
99.5,-9.25,8.755709
100,-9.25,9.028422
100.5,-9.25,9.320002
101,-9.25,9.64495
101.5,-9.25,10.033488
102,-9.25,10.429997
102.5,-9.25,10.833738
103,-9.25,11.244049
103.5,-9.25,11.660337
104,-9.25,12.082074
104.5,-9.25,12.508783
105,-9.25,12.940041
105.5,-9.25,13.375461
106,-9.25,13.814701
106.5,-9.25,14.257452
107,-9.25,14.703436
107.5,-9.25,15.152399
108,-9.25,15.604111
108.5,-9.25,16.05837
109,-9.25,16.514988
109.5,-9.25,16.973791
110,-9.25,17.434628
110.5,-9.25,16.973799
111,-9.25,16.514994
111.5,-9.25,16.058378
112,-9.25,15.604118
112.5,-9.25,15.152405
113,-9.25,14.703444
113.5,-9.25,14.25746
114,-9.25,13.814708
114.5,-9.25,13.375467
115,-9.25,12.940047
115.5,-9.25,12.50879
116,-9.25,12.08208
116.5,-9.25,11.660343
117,-9.25,11.244056
117.5,-9.25,10.833744
118,-9.25,10.430004
118.5,-9.25,10.033494
119,-9.25,9.644956
119.5,-9.25,9.320005
120,-9.25,9.028427
120.5,-9.25,8.7557125
121,-9.25,8.503675
121.5,-9.25,8.274207
122,-9.25,8.069232
122.5,-9.25,7.890659
123,-9.25,7.7403164
123.5,-9.25,7.6198754
124,-9.25,7.5307703
124.5,-9.25,7.474122
125,-9.25,7.450671
125.5,-9.25,7.45
126,-9.25,7.45
126.5,-9.25,7.45
127,-9.25,7.45
127.5,-9.25,7.45
128,-9.25,7.45
128.5,-9.25,7.45
129,-9.25,7.45
129.5,-9.25,7.45
130,-9.25,7.45
130.5,-9.25,7.45
131,-9.25,7.45
131.5,-9.25,7.45
132,-9.25,7.45
132.5,-9.25,7.45
133,-9.25,7.45
133.5,-9.25,7.45
134,-9.25,7.45
134.5,-9.25,7.45
135,-9.25,7.450671
135.5,-9.25,7.474122
136,-9.25,7.5307703
136.5,-9.25,7.6198754
137,-9.25,7.7403164
137.5,-9.25,7.890659
138,-9.25,8.069232
138.5,-9.25,8.274207
139,-9.25,8.503675
139.5,-9.25,8.7557125
140,-9.25,9.028427
140.5,-9.25,9.320005
141,-9.25,9.644956
141.5,-9.25,10.033494
142,-9.25,10.430004
142.5,-9.25,10.833744
143,-9.25,11.244056
143.5,-9.25,11.660343
144,-9.25,12.08208
144.5,-9.25,12.50879
145,-9.25,12.940047
145.5,-9.25,13.375467
146,-9.25,13.814708
146.5,-9.25,14.25746
147,-9.25,14.703444
147.5,-9.25,15.152405
148,-9.25,15.604118
148.5,-9.25,16.058378
149,-9.25,16.514994
149.5,-9.25,16.973799
150,-9.25,17.434635
70,-9,17.340187
70.5,-9,16.877045
71,-9,16.41583
71.5,-9,15.956692
72,-9,15.499792
72.5,-9,15.045313
73,-9,14.593454
73.5,-9,14.144432
74,-9,13.698494
74.5,-9,13.255907
75,-9,12.816973
75.5,-9,12.382027
76,-9,11.95144
76.5,-9,11.52563
77,-9,11.1050625
77.5,-9,10.690259
78,-9,10.281801
78.5,-9,9.880346
79,-9,9.4866295
79.5,-9,9.121408
80,-9,8.823269
80.5,-9,8.544008
81,-9,8.285533
81.5,-9,8.049849
82,-9,7.8390083
82.5,-9,7.6550665
83,-9,7.500002
83.5,-9,7.3756375
84,-9,7.2835445
84.5,-9,7.2249575
85,-9,7.200695
85.5,-9,7.2000003
86,-9,7.2000003
86.5,-9,7.2000003
87,-9,7.2000003
87.5,-9,7.2000003
88,-9,7.2000003
88.5,-9,7.2000003
89,-9,7.2000003
89.5,-9,7.2000003
90,-9,7.2000003
90.5,-9,7.2000003
91,-9,7.2000003
91.5,-9,7.2000003
92,-9,7.2000003
92.5,-9,7.2000003
93,-9,7.2000003
93.5,-9,7.2000003
94,-9,7.2000003
94.5,-9,7.2000003
95,-9,7.2006946
95.5,-9,7.224956
96,-9,7.283542
96.5,-9,7.375634
97,-9,7.499998
97.5,-9,7.6550612
98,-9,7.839002
98.5,-9,8.049842
99,-9,8.285526
99.5,-9,8.544
100,-9,8.82326
100.5,-9,9.121399
101,-9,9.486617
101.5,-9,9.880335
102,-9,10.281789
102.5,-9,10.690246
103,-9,11.10505
103.5,-9,11.525618
104,-9,11.9514265
104.5,-9,12.382013
105,-9,12.816959
105.5,-9,13.255894
106,-9,13.698481
106.5,-9,14.144419
107,-9,14.593441
107.5,-9,15.0453
108,-9,15.499779
108.5,-9,15.956678
109,-9,16.415815
109.5,-9,16.87703
110,-9,17.340172
110.5,-9,16.877037
111,-9,16.415823
111.5,-9,15.956684
112,-9,15.499784
112.5,-9,15.045307
113,-9,14.593447
113.5,-9,14.144424
114,-9,13.698487
114.5,-9,13.2559
115,-9,12.816966
115.5,-9,12.38202
116,-9,11.951433
116.5,-9,11.525624
117,-9,11.105056
117.5,-9,10.690252
118,-9,10.2817955
118.5,-9,9.880341
119,-9,9.486623
119.5,-9,9.121404
120,-9,8.823265
120.5,-9,8.5440035
121,-9,8.285529
121.5,-9,8.049845
122,-9,7.8390055
122.5,-9,7.6550636
123,-9,7.5
123.5,-9,7.375636
124,-9,7.283543
124.5,-9,7.224957
125,-9,7.2006946
125.5,-9,7.2000003
126,-9,7.2000003
126.5,-9,7.2000003
127,-9,7.2000003
127.5,-9,7.2000003
128,-9,7.2000003
128.5,-9,7.2000003
129,-9,7.2000003
129.5,-9,7.2000003
130,-9,7.2000003
130.5,-9,7.2000003
131,-9,7.2000003
131.5,-9,7.2000003
132,-9,7.2000003
132.5,-9,7.2000003
133,-9,7.2000003
133.5,-9,7.2000003
134,-9,7.2000003
134.5,-9,7.2000003
135,-9,7.2006946
135.5,-9,7.224957
136,-9,7.283543
136.5,-9,7.375636
137,-9,7.5
137.5,-9,7.6550636
138,-9,7.8390055
138.5,-9,8.049845
139,-9,8.285529
139.5,-9,8.5440035
140,-9,8.823265
140.5,-9,9.121404
141,-9,9.486623
141.5,-9,9.880341
142,-9,10.2817955
142.5,-9,10.690252
143,-9,11.105056
143.5,-9,11.525624
144,-9,11.951433
144.5,-9,12.38202
145,-9,12.816966
145.5,-9,13.2559
146,-9,13.698487
146.5,-9,14.144424
147,-9,14.593447
147.5,-9,15.045307
148,-9,15.499784
148.5,-9,15.956684
149,-9,16.415823
149.5,-9,16.877037
150,-9,17.34018
70,-8.75,17.248514
70.5,-8.75,16.783112
71,-8.75,16.319532
71.5,-8.75,15.85792
72,-8.75,15.398426
72.5,-8.75,14.941229
73,-8.75,14.486517
73.5,-8.75,14.0345
74,-8.75,13.585417
74.5,-8.75,13.139524
75,-8.75,12.697115
75.5,-8.75,12.2585125
76,-8.75,11.8240795
76.5,-8.75,11.394222
77,-8.75,10.969394
77.5,-8.75,10.550106
78,-8.75,10.136933
78.5,-8.75,9.730522
79,-8.75,9.331598
79.5,-8.75,8.940984
80,-8.75,8.620475
80.5,-8.75,8.334421
81,-8.75,8.069236
81.5,-8.75,7.82704
82,-8.75,7.6100297
82.5,-8.75,7.420414
83,-8.75,7.2603397
83.5,-8.75,7.1317973
84,-8.75,7.0365133
84.5,-8.75,6.975852
85,-8.75,6.95072
85.5,-8.75,6.9500003
86,-8.75,6.9500003
86.5,-8.75,6.9500003
87,-8.75,6.9500003
87.5,-8.75,6.9500003
88,-8.75,6.9500003
88.5,-8.75,6.9500003
89,-8.75,6.9500003
89.5,-8.75,6.9500003
90,-8.75,6.9500003
90.5,-8.75,6.9500003
91,-8.75,6.9500003
