x,z,d
0,-8,86.141045
0.55,-8,85.59224
1.1,-8,85.04346
1.6500001,-8,84.49468
2.2,-8,83.94594
2.75,-8,83.397194
3.3000002,-8,82.84847
3.8500001,-8,82.29977
4.4,-8,81.751076
4.9500003,-8,81.202415
5.5,-8,80.653755
6.05,-8,80.10512
6.6000004,-8,79.55651
7.15,-8,79.007904
7.7000003,-8,78.459335
8.25,-8,77.91077
8.8,-8,77.36223
9.35,-8,76.81371
9.900001,-8,76.265205
10.45,-8,75.716736
11,-8,75.16828
11.55,-8,74.61984
12.1,-8,74.07144
12.650001,-8,73.52305
13.200001,-8,72.97468
13.75,-8,72.426346
14.3,-8,71.87803
14.85,-8,71.32974
15.400001,-8,70.78147
15.950001,-8,70.23323
16.5,-8,69.68503
17.050001,-8,69.13684
17.6,-8,68.58869
18.15,-8,68.040565
18.7,-8,67.49246
19.25,-8,66.944405
19.800001,-8,66.39637
20.35,-8,65.848366
20.9,-8,65.30039
21.45,-8,64.75246
22,-8,64.20456
22.550001,-8,63.656685
23.1,-8,63.108856
23.65,-8,62.561058
24.2,-8,62.013306
24.75,-8,61.465588
25.300001,-8,60.917908
25.85,-8,60.370274
26.400002,-8,59.822674
26.95,-8,59.27512
27.5,-8,58.72762
28.050001,-8,58.180153
28.6,-8,57.63274
29.150002,-8,57.08537
29.7,-8,56.538048
30.25,-8,55.990784
30.800001,-8,55.44356
31.35,-8,54.896404
31.900002,-8,54.349297
32.45,-8,53.802242
33,-8,53.255257
33.55,-8,52.70833
34.100002,-8,52.161457
34.65,-8,51.614647
35.2,-8,51.06791
35.75,-8,50.52124
36.3,-8,49.974644
36.850002,-8,49.428112
37.4,-8,48.881657
37.95,-8,48.33528
38.5,-8,47.788986
39.05,-8,47.24278
39.600002,-8,46.696644
40.15,-8,46.1506
40.7,-8,45.60465
41.25,-8,45.0588
41.8,-8,44.513046
42.350002,-8,43.96739
42.9,-8,43.421833
43.45,-8,42.87639
44,-8,42.331066
44.55,-8,41.785854
45.100002,-8,41.24076
45.65,-8,40.69579
46.2,-8,40.150955
46.75,-8,39.60626
47.3,-8,39.0617
47.850002,-8,38.51729
48.4,-8,37.97303
48.95,-8,37.428932
49.5,-8,36.885
50.05,-8,36.34124
50.600002,-8,35.797657
51.15,-8,35.25427
51.7,-8,34.711075
52.25,-8,34.168087
52.800003,-8,33.625313
53.350002,-8,33.082764
53.9,-8,32.540455
54.45,-8,31.99839
55,-8,31.456585
55.550003,-8,30.915047
56.100002,-8,30.373798
56.65,-8,29.832851
57.2,-8,29.29222
57.75,-8,28.751919
58.300003,-8,28.211966
58.850002,-8,27.672384
59.4,-8,27.133192
59.95,-8,26.594412
60.5,-8,26.056068
61.050003,-8,25.51818
61.600002,-8,24.980785
62.15,-8,24.44391
62.7,-8,23.907583
63.25,-8,23.371843
63.800003,-8,22.836723
64.35,-8,22.302273
64.9,-8,21.768526
65.450005,-8,21.235537
66,-8,20.703367
66.55,-8,20.17206
67.1,-8,19.641693
67.65,-8,19.112326
68.200005,-8,18.58404
68.75,-8,18.056927
69.3,-8,17.53107
69.85,-8,17.006588
70.4,-8,16.483582
70.950005,-8,15.962187
71.5,-8,15.442556
72.05,-8,14.924837
72.6,-8,14.409229
73.15,-8,13.895917
73.700005,-8,13.385141
74.25,-8,12.877171
74.8,-8,12.372287
75.35,-8,11.870841
75.9,-8,11.373206
76.450005,-8,10.879831
77,-8,10.391233
77.55,-8,9.907985
78.1,-8,9.430778
78.65,-8,8.960388
79.200005,-8,8.497741
79.75,-8,8.04391
80.3,-8,7.600134
80.85,-8,7.1904507
81.4,-8,6.8796835
81.950005,-8,6.600191
82.5,-8,6.356103
83.05,-8,6.1516275
83.6,-8,5.990829
84.15,-8,5.877288
84.700005,-8,5.8137774
85.25,-8,5.8
85.8,-8,5.8
86.35,-8,5.8
86.9,-8,5.8
87.450005,-8,5.8
88,-8,5.8
88.55,-8,5.8
89.1,-8,5.8
89.65,-8,5.8
90.200005,-8,5.8
90.75,-8,5.8
91.3,-8,5.8
91.85,-8,5.8
92.4,-8,5.8
92.950005,-8,5.8
93.5,-8,5.8
94.05,-8,5.8
94.6,-8,5.8
95.15,-8,5.8053856
95.700005,-8,5.8549123
96.25,-8,5.9550385
96.8,-8,6.1032767
97.35,-8,6.2962255
97.9,-8,6.529928
98.450005,-8,6.8001823
99,-8,7.1028123
99.55,-8,7.4810305
100.1,-8,7.921812
100.65,-8,8.373037
101.200005,-8,8.833395
101.75,-8,9.301764
102.3,-8,9.777199
102.85,-8,10.258866
103.4,-8,10.746072
103.950005,-8,11.238199
104.5,-8,11.734712
105.05,-8,12.235164
105.600006,-8,12.739147
106.15,-8,13.246305
106.700005,-8,13.756345
107.25,-8,14.268982
107.8,-8,14.783991
108.350006,-8,15.301155
108.9,-8,15.820278
109.450005,-8,16.34121
110,-8,16.863781
110.55,-8,16.341215
111.100006,-8,15.820286
111.65,-8,15.301163
112.200005,-8,14.7839985
112.75,-8,14.268995
113.3,-8,13.756352
113.850006,-8,13.246312
114.4,-8,12.739154
114.950005,-8,12.23517
115.5,-8,11.734726
116.05,-8,11.238206
116.600006,-8,10.7460785
117.15,-8,10.25888
117.700005,-8,9.777205
118.25,-8,9.301776
118.8,-8,8.833401
119.350006,-8,8.373043
119.9,-8,7.9218245
120.450005,-8,7.481036
121,-8,7.102821
121.55,-8,6.800186
122.100006,-8,6.529932
122.65,-8,6.2962317
123.200005,-8,6.103279
123.75,-8,5.955042
124.3,-8,5.854913
124.850006,-8,5.8053856
125.4,-8,5.8
125.950005,-8,5.8
126.5,-8,5.8
127.05,-8,5.8
127.600006,-8,5.8
128.15001,-8,5.8
128.7,-8,5.8
129.25,-8,5.8
129.8,-8,5.8
130.35,-8,5.8
130.90001,-8,5.8
131.45,-8,5.8
132,-8,5.8
132.55,-8,5.8
133.1,-8,5.8
133.65001,-8,5.8
134.2,-8,5.8
134.75,-8,5.8
135.3,-8,5.8137765
135.85,-8,5.877287
136.40001,-8,5.990827
136.95,-8,6.151623
137.5,-8,6.3560967
138.05,-8,6.6001873
138.6,-8,6.8796797
139.15001,-8,7.190446
139.7,-8,7.6001215
140.25,-8,8.043897
140.8,-8,8.497734
141.35,-8,8.960382
141.90001,-8,9.430772
142.45,-8,9.907971
143,-8,10.39122
143.55,-8,10.879825
144.1,-8,11.373199
144.65001,-8,11.870834
145.2,-8,12.3722725
145.75,-8,12.877156
146.3,-8,13.385135
146.85,-8,13.895909
147.40001,-8,14.409222
147.95,-8,14.924824
148.5,-8,15.442543
149.05,-8,15.962179
149.6,-8,16.483574
150.15001,-8,17.00658
150.7,-8,17.531055
151.25,-8,18.056913
151.8,-8,18.584032
152.35,-8,19.112318
152.90001,-8,19.641687
153.45,-8,20.172045
154,-8,20.703352
154.55,-8,21.235529
155.1,-8,21.768518
155.65001,-8,22.302265
156.2,-8,22.836708
156.75,-8,23.371828
157.3,-8,23.907574
157.85,-8,24.443903
158.40001,-8,24.980783
158.95,-8,25.518166
159.5,-8,26.056053
160.05,-8,26.594402
160.6,-8,27.133186
161.15001,-8,27.67238
161.7,-8,28.21195
162.25,-8,28.751904
162.8,-8,29.292208
163.35,-8,29.832844
163.90001,-8,30.373795
164.45,-8,30.915031
165,-8,31.45657
165.55,-8,31.998379
166.1,-8,32.540447
166.65001,-8,33.08276
167.2,-8,33.625298
167.75,-8,34.16807
168.3,-8,34.711063
168.85,-8,35.25426
169.40001,-8,35.797653
169.95,-8,36.34122
170.5,-8,36.884983
171.05,-8,37.42892
171.6,-8,37.973022
172.15001,-8,38.51728
172.7,-8,39.061684
173.25,-8,39.606243
173.8,-8,40.150944
174.35,-8,40.69578
174.90001,-8,41.240753
175.45,-8,41.78583
176,-8,42.33105
176.55,-8,42.87638
