y,z,d
-60,-8,41.339848
-59.625,-8,40.968254
-59.25,-8,40.596714
-58.875,-8,40.22524
-58.5,-8,39.853825
-58.125,-8,39.482475
-57.75,-8,39.11119
-57.375,-8,38.73998
-57,-8,38.36883
-56.625,-8,37.997757
-56.25,-8,37.62676
-55.875,-8,37.255836
-55.5,-8,36.88499
-55.125,-8,36.51423
-54.75,-8,36.143547
-54.375,-8,35.77295
-54,-8,35.402443
-53.625,-8,35.032024
-53.25,-8,34.661697
-52.875,-8,34.29147
-52.5,-8,33.921337
-52.125,-8,33.55131
-51.75,-8,33.18139
-51.375,-8,32.811573
-51,-8,32.44187
-50.625,-8,32.072285
-50.25,-8,31.70282
-49.875,-8,31.333477
-49.5,-8,30.964264
-49.125,-8,30.59518
-48.75,-8,30.22623
-48.375,-8,29.857428
-48,-8,29.488768
-47.625,-8,29.120262
-47.25,-8,28.751911
-46.875,-8,28.383724
-46.5,-8,28.015705
-46.125,-8,27.647861
-45.75,-8,27.2802
-45.375,-8,26.912725
-45,-8,26.545446
-44.625,-8,26.178373
-44.25,-8,25.81151
-43.875,-8,25.444866
-43.5,-8,25.078451
-43.125,-8,24.712275
-42.75,-8,24.346348
-42.375,-8,23.980679
-42,-8,23.61528
-41.625,-8,23.250162
-41.25,-8,22.885338
-40.875,-8,22.520823
-40.5,-8,22.156626
-40.125,-8,21.792767
-39.75,-8,21.429256
-39.375,-8,21.066114
-39,-8,20.70336
-38.625,-8,20.34101
-38.25,-8,19.979082
-37.875,-8,19.617601
-37.5,-8,19.256588
-37.125,-8,18.896069
-36.75,-8,18.536066
-36.375,-8,18.176613
-36,-8,17.817734
-35.625,-8,17.459461
-35.25,-8,17.101833
-34.875,-8,16.744884
-34.5,-8,16.388653
-34.125,-8,16.033182
-33.75,-8,15.678518
-33.375,-8,15.324713
-33,-8,14.971815
-32.625,-8,14.619886
-32.25,-8,14.26899
-31.875,-8,13.91919
-31.5,-8,13.570565
-31.125,-8,13.223193
-30.75,-8,12.877163
-30.375,-8,12.532571
-30,-8,12.189521
-29.625,-8,11.848126
-29.25,-8,11.508515
-28.875,-8,11.170825
-28.5,-8,10.835205
-28.125,-8,10.501824
-27.75,-8,10.170867
-27.375,-8,9.842534
-27,-8,9.517053
-26.625,-8,9.194669
-26.25,-8,8.875661
-25.875,-8,8.560333
-25.5,-8,8.249024
-25.125,-8,7.942114
-24.75,-8,7.6400204
-24.375,-8,7.343213
-24,-8,7.05221
-23.625,-8,6.7675896
-23.25,-8,6.489994
-22.875,-8,6.2201357
-22.5,-8,5.9588003
-22.125,-8,5.706856
-21.75,-8,5.465253
-21.375,-8,5.235028
-21,-8,5.0173
-20.625,-8,4.8132687
-20.25,-8,4.6241984
-19.875,-8,4.451405
-19.5,-8,4.2962294
-19.125,-8,4.160002
-18.75,-8,4.0440054
-18.375,-8,3.9494228
-18,-8,3.877287
-17.625,-8,3.8284326
-17.25,-8,3.8034477
-16.875,-8,3.8000002
-16.5,-8,3.8000002
-16.125,-8,3.8000002
-15.75,-8,3.8000002
-15.375,-8,3.8000002
-15,-8,3.8000002
-14.625,-8,3.8000002
-14.25,-8,3.8000002
-13.875,-8,3.8000002
-13.5,-8,3.8000002
-13.125,-8,3.8000002
-12.75,-8,3.8034477
-12.375,-8,3.8284326
-12,-8,3.877287
-11.625,-8,3.9494228
-11.25,-8,4.0440054
-10.875,-8,4.160002
-10.5,-8,4.2962294
-10.125,-8,4.451405
-9.75,-8,4.6241984
-9.375,-8,4.8132687
-9,-8,5.0173
-8.625,-8,5.235028
-8.25,-8,5.465253
-7.875,-8,5.706856
-7.5,-8,5.9588003
-7.125,-8,6.2201357
-6.75,-8,6.489994
-6.375,-8,6.7675896
-6,-8,7.05221
-5.625,-8,7.343213
-5.25,-8,7.6400204
-4.875,-8,7.942114
-4.5,-8,8.249024
-4.125,-8,8.560333
-3.75,-8,8.875661
-3.375,-8,9.194669
-3,-8,9.517053
-2.625,-8,9.842534
-2.25,-8,10.170867
-1.875,-8,10.501824
-1.5,-8,10.835205
-1.125,-8,11.170825
-0.75,-8,11.508515
-0.375,-8,11.848126
0,-8,12.189521
0.375,-8,11.848126
0.75,-8,11.508515
1.125,-8,11.170825
1.5,-8,10.835205
1.875,-8,10.501824
2.25,-8,10.170867
2.625,-8,9.842534
3,-8,9.517053
3.375,-8,9.194669
3.75,-8,8.875661
4.125,-8,8.560333
4.5,-8,8.249024
4.875,-8,7.942114
5.25,-8,7.6400204
5.625,-8,7.343213
6,-8,7.05221
6.375,-8,6.7675896
6.75,-8,6.489994
7.125,-8,6.2201357
7.5,-8,5.9588003
7.875,-8,5.706856
8.25,-8,5.465253
8.625,-8,5.235028
9,-8,5.0173
9.375,-8,4.8132687
9.75,-8,4.6241984
10.125,-8,4.451405
10.5,-8,4.2962294
10.875,-8,4.160002
11.25,-8,4.0440054
11.625,-8,3.9494228
12,-8,3.877287
12.375,-8,3.8284326
12.75,-8,3.8034477
13.125,-8,3.8000002
13.5,-8,3.8000002
13.875,-8,3.8000002
14.25,-8,3.8000002
14.625,-8,3.8000002
15,-8,3.8000002
15.375,-8,3.8000002
15.75,-8,3.8000002
16.125,-8,3.8000002
16.5,-8,3.8000002
16.875,-8,3.8000002
17.25,-8,3.8034477
17.625,-8,3.8284326
18,-8,3.877287
18.375,-8,3.9494228
18.75,-8,4.0440054
19.125,-8,4.160002
19.5,-8,4.2962294
19.875,-8,4.451405
20.25,-8,4.6241984
20.625,-8,4.8132687
21,-8,5.0173
21.375,-8,5.235028
21.75,-8,5.465253
22.125,-8,5.706856
22.5,-8,5.9588003
22.875,-8,6.2201357
23.25,-8,6.489994
23.625,-8,6.7675896
24,-8,7.05221
24.375,-8,7.343213
24.75,-8,7.6400204
25.125,-8,7.942114
25.5,-8,8.249024
25.875,-8,8.560333
26.25,-8,8.875661
26.625,-8,9.194669
27,-8,9.517053
27.375,-8,9.842534
27.75,-8,10.170867
28.125,-8,10.501824
28.5,-8,10.835205
28.875,-8,11.170825
29.25,-8,11.508515
29.625,-8,11.848126
30,-8,12.189521
30.375,-8,12.532571
30.75,-8,12.877163
31.125,-8,13.223193
31.5,-8,13.570565
31.875,-8,13.91919
32.25,-8,14.26899
32.625,-8,14.619886
33,-8,14.971815
33.375,-8,15.324713
33.75,-8,15.678518
34.125,-8,16.033182
34.5,-8,16.388653
34.875,-8,16.744884
35.25,-8,17.101833
35.625,-8,17.459461
36,-8,17.817734
36.375,-8,18.176613
36.75,-8,18.536066
37.125,-8,18.896069
37.5,-8,19.256588
37.875,-8,19.617601
38.25,-8,19.979082
38.625,-8,20.34101
39,-8,20.70336
39.375,-8,21.066114
39.75,-8,21.429256
40.125,-8,21.792767
40.5,-8,22.156626
40.875,-8,22.520823
41.25,-8,22.885338
41.625,-8,23.250162
42,-8,23.61528
42.375,-8,23.980679
42.75,-8,24.346348
43.125,-8,24.712275
43.5,-8,25.078451
43.875,-8,25.444866
44.25,-8,25.81151
44.625,-8,26.178373
45,-8,26.545446
45.375,-8,26.912725
45.75,-8,27.2802
46.125,-8,27.647861
46.5,-8,28.015705
46.875,-8,28.383724
47.25,-8,28.751911
47.625,-8,29.120262
48,-8,29.488768
48.375,-8,29.857428
48.75,-8,30.22623
49.125,-8,30.59518
49.5,-8,30.964264
49.875,-8,31.333477
50.25,-8,31.70282
50.625,-8,32.072285
51,-8,32.44187
51.375,-8,32.811573
51.75,-8,33.18139
52.125,-8,33.55131
52.5,-8,33.921337
52.875,-8,34.29147
53.25,-8,34.661697
53.625,-8,35.032024
54,-8,35.402443
54.375,-8,35.77295
54.75,-8,36.143547
55.125,-8,36.51423
55.5,-8,36.88499
55.875,-8,37.255836
56.25,-8,37.62676
56.625,-8,37.997757
57,-8,38.36883
57.375,-8,38.73998
57.75,-8,39.11119
58.125,-8,39.482475
58.5,-8,39.853825
58.875,-8,40.22524
59.25,-8,40.596714
59.625,-8,40.968254
60,-8,41.339848
-60,-7.9175,41.328884
-59.625,-7.9175,40.957195
-59.25,-7.9175,40.58556
-58.875,-7.9175,40.213985
-58.5,-7.9175,39.842472
-58.125,-7.9175,39.47102
-57.75,-7.9175,39.099636
-57.375,-7.9175,38.728313
-57,-7.9175,38.35706
-56.625,-7.9175,37.985878
-56.25,-7.9175,37.61477
-55.875,-7.9175,37.243732
-55.5,-7.9175,36.872772
-55.125,-7.9175,36.50189
-54.75,-7.9175,36.13109
-54.375,-7.9175,35.76037
-54,-7.9175,35.389736
-53.625,-7.9175,35.01919
-53.25,-7.9175,34.648735
-52.875,-7.9175,34.278374
-52.5,-7.9175,33.908108
-52.125,-7.9175,33.537945
-51.75,-7.9175,33.16788
