x,z,d
0,-50,49.19
0.55,-50,48.66748
1.1,-50,48.144966
1.6500001,-50,47.622448
2.2,-50,47.09993
2.75,-50,46.57741
3.3000002,-50,46.054893
3.8500001,-50,45.55306
4.4,-50,45.076046
4.9500003,-50,44.599033
5.5,-50,44.12202
6.05,-50,43.64501
6.6000004,-50,43.168
7.15,-50,42.690983
7.7000003,-50,42.213974
8.25,-50,41.74317
8.8,-50,41.288933
9.35,-50,40.834698
9.900001,-50,40.38046
10.45,-50,39.92622
11,-50,39.471985
11.55,-50,39.017746
12.1,-50,38.563507
12.650001,-50,38.10927
13.200001,-50,37.65503
13.75,-50,37.212814
14.3,-50,36.785027
14.85,-50,36.35723
15.400001,-50,35.929443
15.950001,-50,35.50165
16.5,-50,35.07386
17.050001,-50,34.64607
17.6,-50,34.21828
18.15,-50,33.79049
18.7,-50,33.362698
19.25,-50,32.934906
19.800001,-50,32.50711
20.35,-50,32.09529
20.9,-50,31.683464
21.45,-50,31.27164
22,-50,30.859814
22.550001,-50,30.447992
23.1,-50,30.036165
23.65,-50,29.624344
24.2,-50,29.212517
24.75,-50,28.800694
25.300001,-50,28.388865
25.85,-50,27.977045
26.400002,-50,27.56522
26.95,-50,27.153395
27.5,-50,26.751799
28.050001,-50,26.351221
28.6,-50,25.950645
29.150002,-50,25.550072
29.7,-50,25.149496
30.25,-50,24.748924
30.800001,-50,24.348347
31.35,-50,23.947775
31.900002,-50,23.547201
32.45,-50,23.146624
33,-50,22.74605
33.55,-50,22.345476
34.100002,-50,21.9449
34.65,-50,21.64044
35.2,-50,21.357344
35.75,-50,21.074245
36.3,-50,20.791147
36.850002,-50,20.508049
37.4,-50,20.22495
37.95,-50,19.94185
38.5,-50,19.658754
39.05,-50,19.375656
39.600002,-50,19.092556
40.15,-50,18.809458
40.7,-50,18.568176
41.25,-50,18.400074
41.8,-50,18.231974
42.350002,-50,18.063873
42.9,-50,17.895773
43.45,-50,17.72767
44,-50,17.55957
44.55,-50,17.391464
45.100002,-50,17.2415
45.65,-50,17.173159
46.2,-50,17.104822
46.75,-50,17.036478
47.3,-50,16.96814
47.850002,-50,16.899797
48.4,-50,16.831459
48.95,-50,16.763117
49.5,-50,16.694777
50.05,-50,16.626434
50.600002,-50,16.558092
51.15,-50,16.489756
51.7,-50,16.421415
52.25,-50,16.353073
52.800003,-50,16.284733
53.350002,-50,16.216389
53.9,-50,16.148048
54.45,-50,16.079706
55,-50,16.01137
55.550003,-50,15.943027
56.100002,-50,15.874684
56.65,-50,15.806346
57.2,-50,15.738
57.75,-50,15.6696615
58.300003,-50,15.601323
58.850002,-50,15.532979
59.4,-50,15.464641
59.95,-50,15.396298
60.5,-50,15.327956
61.050003,-50,15.259618
61.600002,-50,15.191277
62.15,-50,15.122934
62.7,-50,15.054596
63.25,-50,14.986256
63.800003,-50,14.91791
64.35,-50,14.849569
64.9,-50,14.78123
65.450005,-50,14.760271
66,-50,14.749847
66.55,-50,14.739417
67.1,-50,14.728986
67.65,-50,14.718564
68.200005,-50,14.708135
68.75,-50,14.697704
69.3,-50,14.687276
69.85,-50,14.676848
70.4,-50,14.666419
70.950005,-50,14.6559925
71.5,-50,14.645566
72.05,-50,14.635135
72.6,-50,14.624709
73.15,-50,14.61428
73.700005,-50,14.60385
74.25,-50,14.593426
74.8,-50,14.582994
75.35,-50,14.572566
75.9,-50,14.5621395
76.450005,-50,14.55171
77,-50,14.541284
77.55,-50,14.530854
78.1,-50,14.520427
78.65,-50,14.509997
79.200005,-50,14.499571
79.75,-50,14.489144
80.3,-50,14.478713
80.85,-50,14.468288
81.4,-50,14.45786
81.950005,-50,14.447431
82.5,-50,14.437003
83.05,-50,14.426573
83.6,-50,14.416145
84.15,-50,14.40572
84.700005,-50,14.395291
85.25,-50,14.384858
85.8,-50,14.374434
86.35,-50,14.364004
86.9,-50,14.353578
87.450005,-50,14.343152
88,-50,14.33272
88.55,-50,14.32229
89.1,-50,14.311868
89.65,-50,14.301437
90.200005,-50,14.291007
90.75,-50,14.280581
91.3,-50,14.270154
91.85,-50,14.259722
