y,z,d
-60,-40,26.73879
-58.8,-40,26.032572
-57.6,-40,25.33373
-56.4,-40,24.641226
-55.2,-40,23.955109
-54,-40,23.275587
-52.8,-40,22.602865
-51.6,-40,21.937473
-50.4,-40,21.28105
-49.2,-40,20.632261
-48,-40,19.99135
-46.8,-40,19.358564
-45.6,-40,18.734158
-44.4,-40,18.11937
-43.199997,-40,17.515072
-42,-40,16.92017
-40.8,-40,16.334957
-39.6,-40,15.759735
-38.4,-40,15.194808
-37.199997,-40,14.642414
-36,-40,14.102176
-34.8,-40,13.573434
-33.6,-40,13.056527
-32.4,-40,12.551801
-31.199999,-40,12.059602
-29.999998,-40,11.583507
-28.8,-40,11.121274
-27.599998,-40,10.672913
-26.399998,-40,10.238789
-25.199997,-40,9.819272
-24,-40,9.41532
-22.8,-40,9.03041
-21.599998,-40,8.661481
-20.399998,-40,8.308899
-19.199997,-40,7.973021
-18,-40,7.6542
-16.8,-40,7.3546286
-15.599998,-40,7.0758877
-14.399998,-40,6.8154454
-13.199997,-40,6.5736036
-12,-40,6.3506556
-10.799999,-40,6.1468744
-9.599998,-40,5.9658637
-8.399998,-40,5.8065977
-7.199997,-40,5.667368
-5.999996,-40,5.548353
-4.799999,-40,5.449715
-3.5999985,-40,5.3715954
-2.3999977,-40,5.3189597
-1.199997,-40,5.287761
0.0000038146973,-40,5.277358
1.2000008,-40,5.287761
2.4000015,-40,5.31896
3.6000023,-40,5.371596
4.800003,-40,5.449716
6,-40,5.5483537
7.2000046,-40,5.6673684
8.400002,-40,5.8065987
9.600006,-40,5.965865
10.800003,-40,6.1468763
12,-40,6.3506565
13.200005,-40,6.573606
14.400002,-40,6.8154464
15.600006,-40,7.075891
16.800003,-40,7.354631
18,-40,7.6542015
19.200005,-40,7.973024
20.400002,-40,8.308901
21.600006,-40,8.661484
22.800003,-40,9.030408
24,-40,9.415318
25.200005,-40,9.819276
26.400002,-40,10.238792
27.600006,-40,10.672915
28.800003,-40,11.121276
30,-40,11.583508
31.200005,-40,12.059606
32.4,-40,12.551805
33.600006,-40,13.05653
34.800003,-40,13.573438
36,-40,14.102176
37.200005,-40,14.642423
38.4,-40,15.194813
39.600006,-40,15.759739
40.800003,-40,16.334963
42.000008,-40,16.920172
43.200005,-40,17.515078
44.4,-40,18.119375
45.600006,-40,18.734158
46.800003,-40,19.358564
48.000008,-40,19.991352
49.200005,-40,20.632265
50.4,-40,21.281052
51.600006,-40,21.937477
52.800003,-40,22.602867
54.000008,-40,23.275589
55.200005,-40,23.955114
56.4,-40,24.641228
57.600006,-40,25.333736
58.800003,-40,26.032574
60.000008,-40,26.73879
-60,-39.2,26.221098
-58.8,-39.2,25.508825
-57.6,-39.2,24.803827
-56.4,-39.2,24.105078
-55.2,-39.2,23.412634
-54,-39.2,22.726702
-52.8,-39.2,22.04749
-51.6,-39.2,21.375523
-50.4,-39.2,20.712435
-49.2,-39.2,20.056906
-48,-39.2,19.409184
-46.8,-39.2,18.769522
-45.6,-39.2,18.138172
-44.4,-39.2,17.516376
-43.199997,-39.2,16.90501
-42,-39.2,16.302994
-40.8,-39.2,15.710625
-39.6,-39.2,15.128211
-38.4,-39.2,14.556062
-37.199997,-39.2,13.996424
-36,-39.2,13.448933
-34.8,-39.2,12.912941
-33.6,-39.2,12.388794
-32.4,-39.2,11.876849
-31.199999,-39.2,11.377462
-29.999998,-39.2,10.894239
-28.8,-39.2,10.424946
-27.599998,-39.2,9.969602
-26.399998,-39.2,9.528586
-25.199997,-39.2,9.102285
-24,-39.2,8.691675
-22.8,-39.2,8.300282
-21.599998,-39.2,7.9250364
-20.399998,-39.2,7.5663185
-19.199997,-39.2,7.224503
-18,-39.2,6.899959
-16.8,-39.2,6.5949235
-15.599998,-39.2,6.31102
-14.399998,-39.2,6.0456924
-13.199997,-39.2,5.7992606
-12,-39.2,5.572035
-10.799999,-39.2,5.364302
-9.599998,-39.2,5.179743
-8.399998,-39.2,5.017326
-7.199997,-39.2,4.8753223
-5.999996,-39.2,4.7539225
-4.799999,-39.2,4.6532965
-3.5999985,-39.2,4.573595
-2.3999977,-39.2,4.51989
-1.199997,-39.2,4.4880557
0.0000038146973,-39.2,4.47744
1.2000008,-39.2,4.4880557
2.4000015,-39.2,4.5198903
3.6000023,-39.2,4.5735955
4.800003,-39.2,4.6532974
6,-39.2,4.753923
7.2000046,-39.2,4.875323
8.400002,-39.2,5.017327
9.600006,-39.2,5.1797442
10.800003,-39.2,5.3643036
12,-39.2,5.5720353
13.200005,-39.2,5.7992635
14.400002,-39.2,6.045694
15.600006,-39.2,6.311023
16.800003,-39.2,6.594926
18,-39.2,6.8999605
19.200005,-39.2,7.224506
20.400002,-39.2,7.5663214
21.600006,-39.2,7.92504
22.800003,-39.2,8.300282
24,-39.2,8.691672
25.200005,-39.2,9.102288
26.400002,-39.2,9.52859
27.600006,-39.2,9.9696045
28.800003,-39.2,10.424948
30,-39.2,10.89424
31.200005,-39.2,11.377466
32.4,-39.2,11.876853
33.600006,-39.2,12.388797
34.800003,-39.2,12.912945
36,-39.2,13.448934
37.200005,-39.2,13.996432
38.4,-39.2,14.5560665
39.600006,-39.2,15.128214
40.800003,-39.2,15.710629
42.000008,-39.2,16.302996
43.200005,-39.2,16.905018
44.4,-39.2,17.516386
45.600006,-39.2,18.138174
46.800003,-39.2,18.769522
48.000008,-39.2,19.409185
49.200005,-39.2,20.05691
50.4,-39.2,20.712435
51.600006,-39.2,21.375526
52.800003,-39.2,22.047491
54.000008,-39.2,22.726704
55.200005,-39.2,23.41264
56.4,-39.2,24.10508
57.600006,-39.2,24.803835
58.800003,-39.2,25.50883
60.000008,-39.2,26.221098
-60,-38.4,25.709248
-58.8,-38.4,24.99089
-57.6,-38.4,24.279703
-56.4,-38.4,23.574669
-55.2,-38.4,22.875853
-54,-38.4,22.183464
-52.8,-38.4,21.497707
-51.6,-38.4,20.819109
-50.4,-38.4,20.149294
-49.2,-38.4,19.486956
-48,-38.4,18.83235
-46.8,-38.4,18.18573
-45.6,-38.4,17.547354
-44.4,-38.4,16.918459
-43.199997,-38.4,16.299927
-42,-38.4,15.69069
-40.8,-38.4,15.091054
-39.6,-38.4,14.50133
-38.4,-38.4,13.921837
-37.199997,-38.4,13.354823
-36,-38.4,12.799943
-34.8,-38.4,12.256556
-33.6,-38.4,11.7250185
-32.4,-38.4,11.205702
-31.199999,-38.4,10.698968
-29.999998,-38.4,10.208449
-28.8,-38.4,9.731923
-27.599998,-38.4,9.269419
-26.399998,-38.4,8.821332
-25.199997,-38.4,8.388064
-24,-38.4,7.9706097
-22.8,-38.4,7.572547
-21.599998,-38.4,7.190797
-20.399998,-38.4,6.825756
-19.199997,-38.4,6.4778166
-18,-38.4,6.1473656
-16.8,-38.4,5.836685
-15.599998,-38.4,5.5474434
-14.399998,-38.4,5.2770624
-13.199997,-38.4,5.025879
-12,-38.4,4.7942214
-10.799999,-38.4,4.5823946
-9.599998,-38.4,4.3941526
-8.399998,-38.4,4.228467
-7.199997,-38.4,4.0835853
-5.999996,-38.4,3.9597087
-4.799999,-38.4,3.8570173
-3.5999985,-38.4,3.7756717
-2.3999977,-38.4,3.7208552
-1.199997,-38.4,3.6883602
0.0000038146973,-38.4,3.677524
1.2000008,-38.4,3.6883605
2.4000015,-38.4,3.7208557
3.6000023,-38.4,3.7756722
4.800003,-38.4,3.8570185
6,-38.4,3.9597092
7.2000046,-38.4,4.0835857
8.400002,-38.4,4.228468
9.600006,-38.4,4.3941545
10.800003,-38.4,4.582394
12,-38.4,4.794222
13.200005,-38.4,5.025882
14.400002,-38.4,5.2770634
15.600006,-38.4,5.5474467
16.800003,-38.4,5.836688
18,-38.4,6.147367
19.200005,-38.4,6.4778185
20.400002,-38.4,6.8257585
21.600006,-38.4,7.190801
22.800003,-38.4,7.5725484
24,-38.4,7.9706078
25.200005,-38.4,8.388066
26.400002,-38.4,8.821336
27.600006,-38.4,9.269422
28.800003,-38.4,9.731926
30,-38.4,10.208452
31.200005,-38.4,10.698973
32.4,-38.4,11.205705
33.600006,-38.4,11.725021
34.800003,-38.4,12.256559
36,-38.4,12.799944
37.200005,-38.4,13.354833
38.4,-38.4,13.92184
39.600006,-38.4,14.501333
40.800003,-38.4,15.091059
42.000008,-38.4,15.690691
43.200005,-38.4,16.299932
44.4,-38.4,16.918468
45.600006,-38.4,17.547358
46.800003,-38.4,18.18573
48.000008,-38.4,18.832352
49.200005,-38.4,19.48696
50.4,-38.4,20.149294
51.600006,-38.4,20.819115
52.800003,-38.4,21.49771
54.000008,-38.4,22.183464
55.200005,-38.4,22.875858
56.4,-38.4,23.574669
57.600006,-38.4,24.27971
58.800003,-38.4,24.990896
60.000008,-38.4,25.70925
-60,-37.6,25.203533
-58.8,-37.6,24.479065
-57.6,-37.6,23.761648
-56.4,-37.6,23.050293
-55.2,-37.6,22.345062
-54,-37.6,21.64617
-52.8,-37.6,20.953821
-51.6,-37.6,20.268538
-50.4,-37.6,19.591925
-49.2,-37.6,18.92271
-48,-37.6,18.261147
-46.8,-37.6,17.607489
-45.6,-37.6,16.962002
-44.4,-37.6,16.325918
-43.199997,-37.6,15.700116
-42,-37.6,15.083551
-40.8,-37.6,14.476533
-39.6,-37.6,13.879378
-38.4,-37.6,13.292414
-37.199997,-37.6,12.717894
-36,-37.6,12.1554785
-34.8,-37.6,11.604548
-33.6,-37.6,11.065467
-32.4,-37.6,10.538611
-31.199999,-37.6,10.024364
-29.999998,-37.6,9.526374
-28.8,-37.6,9.042432
-27.599998,-37.6,8.572583
-26.399998,-37.6,8.117235
-25.199997,-37.6,7.6768045
-24,-37.6,7.2523093
-22.8,-37.6,6.8473806
-21.599998,-37.6,6.4589252
-20.399998,-37.6,6.0873585
-19.199997,-37.6,5.7330956
-18,-37.6,5.3965425
-16.8,-37.6,5.080025
-15.599998,-37.6,4.7852564
-14.399998,-37.6,4.5096397
-13.199997,-37.6,4.253531
-12,-37.6,4.017276
-10.799999,-37.6,3.8011968
-9.599998,-37.6,3.6091335
-8.399998,-37.6,3.4400523
-7.199997,-37.6,3.2921767
-5.999996,-37.6,3.1657226
-4.799999,-37.6,3.060884
-3.5999985,-37.6,2.977828
-2.3999977,-37.6,2.921854
-1.199997,-37.6,2.888672
0.0000038146973,-37.6,2.8776069
1.2000008,-37.6,2.8886724
2.4000015,-37.6,2.9218545
3.6000023,-37.6,2.9778287
4.800003,-37.6,3.0608852
6,-37.6,3.165723
7.2000046,-37.6,3.292176
8.400002,-37.6,3.440051
9.600006,-37.6,3.6091335
10.800003,-37.6,3.8011985
12,-37.6,4.017277
13.200005,-37.6,4.2535343
14.400002,-37.6,4.509641
15.600006,-37.6,4.7852597
16.800003,-37.6,5.080028
18,-37.6,5.396544
19.200005,-37.6,5.7330985
20.400002,-37.6,6.087361
