y,z,d
-70,-20,43.092403
-69.5625,-20,42.86018
-69.125,-20,42.63097
-68.6875,-20,42.404816
-68.25,-20,42.181763
-67.8125,-20,41.961864
-67.375,-20,41.745163
-66.9375,-20,41.531708
-66.5,-20,41.32154
-66.0625,-20,41.11471
-65.625,-20,40.911266
-65.1875,-20,40.5375
-64.75,-20,40.1
-64.3125,-20,39.6625
-63.875,-20,39.225
-63.4375,-20,38.7875
-63,-20,38.35
-62.5625,-20,37.9125
-62.125,-20,37.475
-61.6875,-20,37.0375
-61.25,-20,36.6
-60.8125,-20,36.1625
-60.375,-20,35.725
-59.9375,-20,35.2875
-59.5,-20,34.85
-59.0625,-20,34.4125
-58.625,-20,33.975
-58.1875,-20,33.5375
-57.75,-20,33.1
-57.3125,-20,32.6625
-56.875,-20,32.225
-56.4375,-20,31.787498
-56,-20,31.349998
-55.5625,-20,30.912498
-55.125,-20,30.474998
-54.6875,-20,30.037498
-54.25,-20,29.599998
-53.8125,-20,29.162498
-53.375,-20,28.725
-52.9375,-20,28.2875
-52.5,-20,27.85
-52.0625,-20,27.4125
-51.625,-20,26.975
-51.1875,-20,26.5375
-50.75,-20,26.1
-50.3125,-20,25.6625
-49.875,-20,25.225
-49.4375,-20,24.7875
-49,-20,24.35
-48.5625,-20,23.9125
-48.125,-20,23.475
-47.6875,-20,23.0375
-47.25,-20,22.6
-46.8125,-20,22.1625
-46.375,-20,21.725
-45.9375,-20,21.2875
-45.5,-20,20.85
-45.0625,-20,20.4125
-44.625,-20,19.975
-44.1875,-20,19.5375
-43.75,-20,19.1
-43.3125,-20,18.6625
-42.875,-20,18.225
-42.4375,-20,17.7875
-42,-20,17.35
-41.5625,-20,16.9125
-41.125,-20,16.475
-40.6875,-20,16.0375
-40.25,-20,15.6
-39.8125,-20,15.1625
-39.375,-20,14.725
-38.9375,-20,14.2875
-38.5,-20,13.85
-38.0625,-20,13.4125
-37.625,-20,12.975
-37.1875,-20,12.5375
-36.75,-20,12.1
-36.3125,-20,11.6625
-35.875,-20,11.225
-35.4375,-20,10.7875
-35,-20,10.35
-34.5625,-20,9.9125
-34.125,-20,9.475
-33.6875,-20,9.0375
-33.25,-20,8.6
-32.8125,-20,8.1625
-32.375,-20,7.7250004
-31.9375,-20,7.2875004
-31.5,-20,6.8500004
-31.0625,-20,6.4125004
-30.625,-20,5.9750004
-30.1875,-20,5.5375004
-29.75,-20,5.1000004
-29.3125,-20,4.6625
-28.875,-20,4.225
-28.4375,-20,3.7875
-28,-20,3.35
-27.5625,-20,2.9125
-27.125,-20,2.475
-26.6875,-20,2.0375
-26.25,-20,1.5999999
-25.8125,-20,1.1624999
-25.375,-20,0.7249999
-24.9375,-20,0.2874999
-24.5,-20,-0.1500001
-24.0625,-20,-0.43425682
-23.625,-20,-0.06597955
-23.1875,-20,0.2060951
-22.75,-20,0.35222313
-22.3125,-20,0.35881364
-21.875,-20,0.2249999
-21.4375,-20,-0.2125001
-21,-20,-0.6500001
-20.5625,-20,-1.0875001
-20.125,-20,-1.5250001
-19.6875,-20,-1.6500001
-19.25,-20,-1.6500001
-18.8125,-20,-1.6500001
-18.375,-20,-1.6500001
-17.9375,-20,-1.6500001
-17.5,-20,-1.6500001
-17.0625,-20,-1.6500001
-16.625,-20,-1.6500001
-16.1875,-20,-1.6500001
-15.75,-20,-1.6500001
-15.3125,-20,-1.6500001
-14.875,-20,-1.6500001
-14.4375,-20,-1.6500001
-14,-20,-1.6500001
-13.5625,-20,-1.6500001
-13.125,-20,-1.6500001
-12.6875,-20,-1.6500001
-12.25,-20,-1.6500001
-11.8125,-20,-1.6500001
-11.375,-20,-1.6500001
-10.9375,-20,-1.6500001
-10.5,-20,-1.6500001
-10.0625,-20,-1.6500001
-9.625,-20,-1.2750001
-9.1875,-20,-0.8375001
-8.75,-20,-0.4000001
-8.3125,-20,0.037499905
-7.875,-20,0.29032636
-7.4375,-20,0.37268788
-7,-20,0.31365177
-6.5625,-20,0.11695226
-6.125,-20,-0.19644769
-5.6875,-20,-0.3375001
-5.25,-20,0.099999905
-4.8125,-20,0.35000753
-4.375,-20,0.35000753
-3.9375,-20,0.35000753
-3.5,-20,0.35000753
-3.0625,-20,0.5323781
-2.625,-20,0.58626616
-2.1875,-20,0.4663921
-1.75,-20,0.35000753
-1.3125,-20,0.35000753
-0.875,-20,0.35000753
-0.4375,-20,0.35000753
0,-20,0.35000753
0.4375,-20,0.35000753
0.875,-20,0.51060873
1.3125,-20,0.5892813
1.75,-20,0.49383926
2.1875,-20,0.35000753
2.625,-20,0.35000753
3.0625,-20,0.35000753
3.5,-20,0.35000753
3.9375,-20,0.35000753
4.375,-20,0.35000753
4.8125,-20,0.48544103
5.25,-20,0.099999905
5.6875,-20,-0.3375001
6.125,-20,-0.14789978
6.5625,-20,0.15702324
7,-20,0.33594534
7.4375,-20,0.36582038
7.875,-20,0.23987426
8.3125,-20,-0.032781035
8.75,-20,-0.43192294
9.1875,-20,-0.8558447
9.625,-20,-1.2750001
10.0625,-20,-1.6500001
10.5,-20,-1.6500001
10.9375,-20,-1.6500001
11.375,-20,-1.6500001
11.8125,-20,-1.6500001
12.25,-20,-1.6500001
12.6875,-20,-1.6500001
13.125,-20,-1.6500001
13.5625,-20,-1.6500001
14,-20,-1.6500001
14.4375,-20,-1.6500001
14.875,-20,-1.6500001
15.3125,-20,-1.6500001
15.75,-20,-1.6500001
16.1875,-20,-1.6500001
16.625,-20,-1.6500001
17.0625,-20,-1.6500001
17.5,-20,-1.6500001
17.9375,-20,-1.6500001
18.375,-20,-1.6500001
18.8125,-20,-1.6500001
19.25,-20,-1.6500001
19.6875,-20,-1.6500001
20.125,-20,-1.5250001
20.5625,-20,-1.0875001
21,-20,-0.8617473
21.4375,-20,-0.34359318
21.875,-20,0.03923359
22.3125,-20,0.2826638
22.75,-20,0.3728459
23.1875,-20,0.30612642
23.625,-20,0.0940561
24.0625,-20,-0.23627824
24.5,-20,-0.1500001
24.9375,-20,0.2874999
25.375,-20,0.7249999
25.8125,-20,1.1624999
26.25,-20,1.5999999
26.6875,-20,2.0375
27.125,-20,2.475
27.5625,-20,2.9125
28,-20,3.35
28.4375,-20,3.7875
28.875,-20,4.225
29.3125,-20,4.6625
29.75,-20,5.1000004
30.1875,-20,5.5375004
