y,z,d
-70,-50,62.12304
-69.5625,-50,61.958878
-69.125,-50,61.797264
-68.6875,-50,61.6382
-68.25,-50,61.481712
-67.8125,-50,61.327827
-67.375,-50,61.17655
-66.9375,-50,61.02791
-66.5,-50,60.881912
-66.0625,-50,60.73859
-65.625,-50,60.59795
-65.1875,-50,60.46002
-64.75,-50,60.324806
-64.3125,-50,60.192333
-63.875,-50,60.06262
-63.4375,-50,59.935677
-63,-50,59.811527
-62.5625,-50,59.690186
-62.125,-50,59.571667
-61.6875,-50,59.455986
-61.25,-50,59.343163
-60.8125,-50,59.23321
-60.375,-50,59.126144
-59.9375,-50,59.02198
-59.5,-50,58.92073
-59.0625,-50,58.822414
-58.625,-50,58.72704
-58.1875,-50,58.63462
-57.75,-50,58.545177
-57.3125,-50,58.458717
-56.875,-50,58.375256
-56.4375,-50,58.294804
-56,-50,58.217365
-55.5625,-50,58.142967
-55.125,-50,58.07161
-54.6875,-50,58.003307
-54.25,-50,57.93807
-53.8125,-50,57.875904
-53.375,-50,57.816822
-52.9375,-50,57.760838
-52.5,-50,57.70795
-52.0625,-50,57.658173
-51.625,-50,57.61151
-51.1875,-50,57.567978
-50.75,-50,57.527573
-50.3125,-50,57.490307
-49.875,-50,57.24154
-49.4375,-50,56.892433
-49,-50,56.544495
-48.5625,-50,56.19774
-48.125,-50,55.852196
-47.6875,-50,55.50788
-47.25,-50,55.164825
-46.8125,-50,54.823036
-46.375,-50,54.482548
-45.9375,-50,54.14338
-45.5,-50,53.805557
-45.0625,-50,53.469105
-44.625,-50,53.134045
-44.1875,-50,52.8004
-43.75,-50,52.4682
-43.3125,-50,52.137474
-42.875,-50,51.808243
-42.4375,-50,51.480534
-42,-50,51.154377
-41.5625,-50,50.8298
-41.125,-50,50.50683
-40.6875,-50,50.185497
-40.25,-50,49.865837
-39.8125,-50,49.54787
-39.375,-50,49.231632
-38.9375,-50,48.917152
-38.5,-50,48.604473
-38.0625,-50,48.293613
-37.625,-50,47.984615
-37.1875,-50,47.677505
-36.75,-50,47.372326
-36.3125,-50,47.06911
-35.875,-50,46.767895
-35.4375,-50,46.46871
-35,-50,46.1716
-34.5625,-50,45.876602
-34.125,-50,45.58375
-33.6875,-50,45.293087
-33.25,-50,45.00465
-32.8125,-50,44.718483
-32.375,-50,44.43462
-31.9375,-50,44.15311
-31.5,-50,43.873993
-31.0625,-50,43.597313
-30.625,-50,43.32311
-30.1875,-50,43.051434
-29.75,-50,42.782326
-29.3125,-50,42.51583
-28.875,-50,42.251995
-28.4375,-50,41.990868
-28,-50,41.732494
-27.5625,-50,41.47693
-27.125,-50,41.22421
-26.6875,-50,40.97439
-26.25,-50,40.727524
-25.8125,-50,40.483654
-25.375,-50,40.24284
-24.9375,-50,40.005127
-24.5,-50,39.770565
-24.0625,-50,39.53921
-23.625,-50,39.311115
-23.1875,-50,39.086334
-22.75,-50,38.864918
-22.3125,-50,38.646915
-21.875,-50,38.432392
-21.4375,-50,38.221394
-21,-50,38.013977
-20.5625,-50,37.810196
-20.125,-50,37.610104
-19.6875,-50,37.41376
-19.25,-50,37.221214
-18.8125,-50,37.032528
-18.375,-50,36.847748
-17.9375,-50,36.666935
-17.5,-50,36.49014
-17.0625,-50,36.31742
-16.625,-50,36.148827
-16.1875,-50,35.984413
-15.75,-50,35.824234
-15.3125,-50,35.668343
-14.875,-50,35.51679
-14.4375,-50,35.369625
-14,-50,35.226906
-13.5625,-50,35.088673
-13.125,-50,34.95498
-12.6875,-50,34.82588
-12.25,-50,34.70141
-11.8125,-50,34.581623
-11.375,-50,34.46656
-10.9375,-50,34.356266
-10.5,-50,34.25079
-10.0625,-50,34.15016
-9.625,-50,34.05443
-9.1875,-50,33.963627
-8.75,-50,33.87779
-8.3125,-50,33.79695
-7.875,-50,33.721153
-7.4375,-50,33.65042
-7,-50,33.58478
-6.5625,-50,33.524265
-6.125,-50,33.4689
-5.6875,-50,33.418705
-5.25,-50,33.373703
-4.8125,-50,33.333916
-4.375,-50,33.299355
-3.9375,-50,33.27004
-3.5,-50,33.245983
-3.0625,-50,33.227192
-2.625,-50,33.21368
-2.1875,-50,33.20545
-1.75,-50,33.202503
-1.3125,-50,33.202496
-0.875,-50,33.202496
-0.4375,-50,33.202496
0,-50,33.202496
0.4375,-50,33.202496
0.875,-50,33.202496
1.3125,-50,33.202496
1.75,-50,33.202503
2.1875,-50,33.20545
2.625,-50,33.21368
3.0625,-50,33.227192
3.5,-50,33.245983
3.9375,-50,33.27004
4.375,-50,33.299355
4.8125,-50,33.333916
5.25,-50,33.373703
5.6875,-50,33.418705
6.125,-50,33.4689
6.5625,-50,33.524265
7,-50,33.58478
7.4375,-50,33.65042
7.875,-50,33.721153
8.3125,-50,33.79695
8.75,-50,33.87779
9.1875,-50,33.963627
9.625,-50,34.05443
10.0625,-50,34.15016
10.5,-50,34.25079
10.9375,-50,34.356266
11.375,-50,34.46656
11.8125,-50,34.581623
12.25,-50,34.70141
12.6875,-50,34.82588
13.125,-50,34.95498
13.5625,-50,35.088673
14,-50,35.226906
14.4375,-50,35.369625
14.875,-50,35.51679
15.3125,-50,35.668343
15.75,-50,35.824234
16.1875,-50,35.984413
16.625,-50,36.148827
17.0625,-50,36.31742
17.5,-50,36.49014
17.9375,-50,36.666935
18.375,-50,36.847748
18.8125,-50,37.032528
19.25,-50,37.221214
19.6875,-50,37.41376
20.125,-50,37.610104
20.5625,-50,37.810196
21,-50,38.013977
21.4375,-50,38.221394
21.875,-50,38.432392
22.3125,-50,38.646915
22.75,-50,38.864918
23.1875,-50,39.086334
23.625,-50,39.311115
24.0625,-50,39.53921
24.5,-50,39.770565
24.9375,-50,40.005127
25.375,-50,40.24284
25.8125,-50,40.483654
26.25,-50,40.727524
26.6875,-50,40.97439
27.125,-50,41.22421
27.5625,-50,41.47693
28,-50,41.732494
28.4375,-50,41.990868
28.875,-50,42.251995
29.3125,-50,42.51583
29.75,-50,42.782326
30.1875,-50,43.051434
30.625,-50,43.32311
31.0625,-50,43.597313
31.5,-50,43.873993
31.9375,-50,44.15311
32.375,-50,44.43462
32.8125,-50,44.718483
33.25,-50,45.00465
33.6875,-50,45.293087
34.125,-50,45.58375
34.5625,-50,45.876602
35,-50,46.1716
35.4375,-50,46.46871
35.875,-50,46.767895
36.3125,-50,47.06911
36.75,-50,47.372326
37.1875,-50,47.677505
37.625,-50,47.984615
38.0625,-50,48.293613
38.5,-50,48.604473
38.9375,-50,48.917152
39.375,-50,49.231632
39.8125,-50,49.54787
40.25,-50,49.865837
40.6875,-50,50.185497
41.125,-50,50.50683
41.5625,-50,50.8298
42,-50,51.154377
42.4375,-50,51.480534
42.875,-50,51.808243
43.3125,-50,52.137474
43.75,-50,52.4682
44.1875,-50,52.8004
44.625,-50,53.134045
45.0625,-50,53.469105
45.5,-50,53.805557
45.9375,-50,54.14338
46.375,-50,54.482548
46.8125,-50,54.823036
47.25,-50,55.164825
47.6875,-50,55.50788
48.125,-50,55.852196
48.5625,-50,56.19774
49,-50,56.544495
49.4375,-50,56.892433
49.875,-50,57.24154
50.3125,-50,57.490307
50.75,-50,57.527573
51.1875,-50,57.567978
51.625,-50,57.61151
52.0625,-50,57.658173
52.5,-50,57.70795
52.9375,-50,57.760838
53.375,-50,57.816822
53.8125,-50,57.875904
54.25,-50,57.93807
54.6875,-50,58.003307
55.125,-50,58.07161
55.5625,-50,58.142967
56,-50,58.217365
56.4375,-50,58.294804
56.875,-50,58.375256
