x,z,d
-30,-5,7.071068
-29.8125,-5,6.939752
-29.625,-5,6.811066
-29.4375,-5,6.685163
-29.25,-5,6.5622025
-29.0625,-5,6.442353
-28.875,-5,6.3257904
-28.6875,-5,6.2127013
-28.5,-5,6.1032777
-28.3125,-5,5.9977207
-28.125,-5,5.8962383
-27.9375,-5,5.7990437
-27.75,-5,5.706356
-27.5625,-5,5.6183987
-27.375,-5,5.5353975
-27.1875,-5,5.4575777
-27,-5,5.3851647
-26.8125,-5,5.318379
-26.625,-5,5.2574353
-26.4375,-5,5.2025385
-26.25,-5,5.153882
-26.0625,-5,5.1116443
-25.875,-5,5.075985
-25.6875,-5,5.0470443
-25.5,-5,5.0249376
-25.3125,-5,5.009756
-25.125,-5,5.001562
-24.9375,-5,5
-24.75,-5,5
-24.5625,-5,5
-24.375,-5,5
-24.1875,-5,5
-24,-5,5
-23.8125,-5,5
-23.625,-5,5
-23.4375,-5,5
-23.25,-5,5
-23.0625,-5,5
-22.875,-5,5
-22.6875,-5,5
-22.5,-5,5
-22.3125,-5,5
-22.125,-5,5
-21.9375,-5,5
-21.75,-5,5
-21.5625,-5,5
-21.375,-5,5
-21.1875,-5,5
-21,-5,5
-20.8125,-5,5
-20.625,-5,5
-20.4375,-5,5
-20.25,-5,5
-20.0625,-5,5
-19.875,-5,5
-19.6875,-5,5
-19.5,-5,5
-19.3125,-5,5
-19.125,-5,5
-18.9375,-5,5
-18.75,-5,5
-18.5625,-5,5
-18.375,-5,5
-18.1875,-5,5
-18,-5,5
-17.8125,-5,5
-17.625,-5,5
-17.4375,-5,5
-17.25,-5,5
-17.0625,-5,5
-16.875,-5,5
-16.6875,-5,5
-16.5,-5,5
-16.3125,-5,5
-16.125,-5,5
-15.9375,-5,5
-15.75,-5,5
-15.5625,-5,5
-15.375,-5,5
-15.1875,-5,5
-15,-5,5
-14.8125,-5,5
-14.625,-5,5
-14.4375,-5,5
-14.25,-5,5
-14.0625,-5,5
-13.875,-5,5
-13.6875,-5,5
-13.5,-5,5
-13.3125,-5,5
-13.125,-5,5
-12.9375,-5,5
-12.75,-5,5
-12.5625,-5,5
-12.375,-5,5
-12.1875,-5,5
-12,-5,5
-11.8125,-5,5
-11.625,-5,5
-11.4375,-5,5
-11.25,-5,5
-11.0625,-5,5
-10.875,-5,5
-10.6875,-5,5
-10.5,-5,5
-10.3125,-5,5
-10.125,-5,5
-9.9375,-5,5
-9.75,-5,5
-9.5625,-5,5
-9.375,-5,5
-9.1875,-5,5
-9,-5,5
-8.8125,-5,5
-8.625,-5,5
-8.4375,-5,5
-8.25,-5,5
-8.0625,-5,5
-7.875,-5,5
-7.6875,-5,5
-7.5,-5,5
-7.3125,-5,5
-7.125,-5,5
-6.9375,-5,5
-6.75,-5,5
-6.5625,-5,5
-6.375,-5,5
-6.1875,-5,5
-6,-5,5
-5.8125,-5,5
-5.625,-5,5
-5.4375,-5,5
-5.25,-5,5
-5.0625,-5,5
-4.875,-5,5
-4.6875,-5,5
-4.5,-5,5
-4.3125,-5,5
-4.125,-5,5
-3.9375,-5,5
-3.75,-5,5
-3.5625,-5,5
-3.375,-5,5
-3.1875,-5,5
-3,-5,5
-2.8125,-5,5
-2.625,-5,5
-2.4375,-5,5
-2.25,-5,5
-2.0625,-5,5
-1.875,-5,5
-1.6875,-5,5
-1.5,-5,5
-1.3125,-5,5
-1.125,-5,5
-0.9375,-5,5
-0.75,-5,5
-0.5625,-5,5
-0.375,-5,5
-0.1875,-5,5
0,-5,5
0.1875,-5,5
0.375,-5,5
0.5625,-5,5
0.75,-5,5
0.9375,-5,5
1.125,-5,5
1.3125,-5,5
1.5,-5,5
1.6875,-5,5
1.875,-5,5
2.0625,-5,5
2.25,-5,5
2.4375,-5,5
2.625,-5,5
2.8125,-5,5
3,-5,5
3.1875,-5,5
3.375,-5,5
3.5625,-5,5
3.75,-5,5
3.9375,-5,5
4.125,-5,5
4.3125,-5,5
4.5,-5,5
4.6875,-5,5
4.875,-5,5
5.0625,-5,5
5.25,-5,5
5.4375,-5,5
5.625,-5,5
5.8125,-5,5
6,-5,5
6.1875,-5,5
6.375,-5,5
6.5625,-5,5
6.75,-5,5
6.9375,-5,5
7.125,-5,5
7.3125,-5,5
7.5,-5,5
7.6875,-5,5
7.875,-5,5
8.0625,-5,5
8.25,-5,5
8.4375,-5,5
8.625,-5,5
8.8125,-5,5
9,-5,5
9.1875,-5,5
9.375,-5,5
9.5625,-5,5
9.75,-5,5
9.9375,-5,5
10.125,-5,5
10.3125,-5,5
10.5,-5,5
10.6875,-5,5
10.875,-5,5
11.0625,-5,5
11.25,-5,5
11.4375,-5,5
11.625,-5,5
11.8125,-5,5
12,-5,5
12.1875,-5,5
12.375,-5,5
12.5625,-5,5
12.75,-5,5
