y,z,d
-70,-10,51.41984
-69.5625,-10,50.994522
-69.125,-10,50.569412
-68.6875,-10,50.144516
-68.25,-10,49.71984
-67.8125,-10,49.295387
-67.375,-10,48.871162
-66.9375,-10,48.447178
-66.5,-10,48.023434
-66.0625,-10,47.599937
-65.625,-10,47.176697
-65.1875,-10,46.75372
-64.75,-10,46.33101
-64.3125,-10,45.90858
-63.875,-10,45.486435
-63.4375,-10,45.06458
-63,-10,44.64303
-62.5625,-10,44.221786
-62.125,-10,43.800865
-61.6875,-10,43.38027
-61.25,-10,42.96001
-60.8125,-10,42.5401
-60.375,-10,42.12055
-59.9375,-10,41.701366
-59.5,-10,41.282562
-59.0625,-10,40.86415
-58.625,-10,40.446144
-58.1875,-10,40.028553
-57.75,-10,39.611393
-57.3125,-10,39.194675
-56.875,-10,38.778416
-56.4375,-10,38.36263
-56,-10,37.94733
-55.5625,-10,37.53254
-55.125,-10,37.118267
-54.6875,-10,36.704533
-54.25,-10,36.291355
-53.8125,-10,35.878757
-53.375,-10,35.466755
-52.9375,-10,35.05537
-52.5,-10,34.644623
-52.0625,-10,34.234543
-51.625,-10,33.82515
-51.1875,-10,33.416466
-50.75,-10,33.008522
-50.3125,-10,32.601345
-49.875,-10,32.19496
-49.4375,-10,31.789408
-49,-10,31.38471
-48.5625,-10,30.980904
-48.125,-10,30.578026
-47.6875,-10,30.176111
-47.25,-10,29.7752
-46.8125,-10,29.375332
-46.375,-10,28.976553
-45.9375,-10,28.578907
-45.5,-10,28.182442
-45.0625,-10,27.787207
-44.625,-10,27.39326
-44.1875,-10,27.00065
-43.75,-10,26.609444
-43.3125,-10,26.2197
-42.875,-10,25.831486
-42.4375,-10,25.44487
-42,-10,25.059929
-41.5625,-10,24.676739
-41.125,-10,24.295383
-40.6875,-10,23.91595
-40.25,-10,23.538532
-39.8125,-10,23.163229
-39.375,-10,22.790144
-38.9375,-10,22.419386
-38.5,-10,22.051077
-38.0625,-10,21.685339
-37.625,-10,21.322304
-37.1875,-10,20.962112
-36.75,-10,20.604914
-36.3125,-10,20.250868
-35.875,-10,19.90014
-35.4375,-10,19.552914
-35,-10,19.209373
-34.5625,-10,18.869722
-34.125,-10,18.534174
-33.6875,-10,18.202957
-33.25,-10,17.87631
-32.8125,-10,17.554491
-32.375,-10,17.237768
-31.9375,-10,16.926426
-31.5,-10,16.62077
-31.0625,-10,16.32112
