x,z,d
70,-10,17.709906
70.5,-10,17.32229
71,-10,16.940386
71.5,-10,16.56385
72,-10,16.192959
72.5,-10,15.827992
73,-10,15.471758
73.5,-10,15.122535
74,-10,14.780617
74.5,-10,14.446377
75,-10,14.121133
75.5,-10,13.807023
76,-10,13.502342
76.5,-10,13.207557
77,-10,12.923143
77.5,-10,12.652251
78,-10,12.395008
78.5,-10,12.150308
79,-10,11.918694
79.5,-10,11.700713
80,-10,11.502145
80.5,-10,11.31941
81,-10,11.152567
81.5,-10,11.002118
82,-10,10.87006
82.5,-10,10.760718
83,-10,10.669571
83.5,-10,10.59693
84,-10,10.54307
84.5,-10,10.51213
85,-10,10.502493
85.5,-10,10.5
86,-10,10.5
86.5,-10,10.5
87,-10,10.5
87.5,-10,10.5
88,-10,10.5
88.5,-10,10.5
89,-10,10.5
89.5,-10,10.5
90,-10,10.5
90.5,-10,10.5
91,-10,10.5
91.5,-10,10.5
92,-10,10.5
92.5,-10,10.5
93,-10,10.5
93.5,-10,10.5
94,-10,10.5
94.5,-10,10.5
95,-10,10.5
95.5,-10,10.5
96,-10,10.5
96.5,-10,10.5
97,-10,10.5
97.5,-10,10.5
98,-10,10.5
98.5,-10,10.5
99,-10,10.5
99.5,-10,10.5
100,-10,10.5
100.5,-10,10.5
101,-10,10.5
101.5,-10,10.5
102,-10,10.5
102.5,-10,10.5
103,-10,10.5
103.5,-10,10.5
104,-10,10.5
104.5,-10,10.5
105,-10,10.5
105.5,-10,10.5
106,-10,10.5
106.5,-10,10.5
107,-10,10.5
107.5,-10,10.5
108,-10,10.5
108.5,-10,10.5
109,-10,10.5
109.5,-10,10.5
110,-10,10.5
110.5,-10,10.5
111,-10,10.5
111.5,-10,10.5
112,-10,10.5
112.5,-10,10.5
113,-10,10.5
113.5,-10,10.5
114,-10,10.5
114.5,-10,10.5
115,-10,10.5
115.5,-10,10.5
116,-10,10.5
116.5,-10,10.5
117,-10,10.5
117.5,-10,10.5
118,-10,10.5
118.5,-10,10.5
119,-10,10.5
119.5,-10,10.5
120,-10,10.5
120.5,-10,10.5
121,-10,10.5
121.5,-10,10.5
122,-10,10.5
122.5,-10,10.5
123,-10,10.5
123.5,-10,10.5
124,-10,10.5
124.5,-10,10.5
125,-10,10.5
125.5,-10,10.5
126,-10,10.5
126.5,-10,10.5
127,-10,10.5
127.5,-10,10.5
128,-10,10.5
128.5,-10,10.5
129,-10,10.5
129.5,-10,10.5
130,-10,10.5
130.5,-10,10.5
131,-10,10.5
131.5,-10,10.5
132,-10,10.5
132.5,-10,10.5
133,-10,10.5
133.5,-10,10.5
134,-10,10.5
134.5,-10,10.5
135,-10,10.502493
135.5,-10,10.512129
136,-10,10.543069
136.5,-10,10.596928
137,-10,10.669569
137.5,-10,10.7607155
138,-10,10.870055
138.5,-10,11.002111
139,-10,11.152559
139.5,-10,11.319405
140,-10,11.502139
140.5,-10,11.7007065
141,-10,11.918682
141.5,-10,12.150296
142,-10,12.395001
142.5,-10,12.6522455
143,-10,12.923133
143.5,-10,13.207546
144,-10,13.502334
144.5,-10,13.807014
145,-10,14.121122
145.5,-10,14.446361
146,-10,14.780601
146.5,-10,15.122524
147,-10,15.471749
147.5,-10,15.827979
148,-10,16.192938
148.5,-10,16.563833
149,-10,16.940372
149.5,-10,17.32228
150,-10,17.70989
70,-9.75,17.55473
70.5,-9.75,17.16389
71,-9.75,16.778664
71.5,-9.75,16.398722
72,-9.75,16.024345
72.5,-9.75,15.655814
73,-9.75,15.295907
73.5,-9.75,14.94294
74,-9.75,14.597209
74.5,-9.75,14.259094
75,-9.75,13.929913
75.5,-9.75,13.61181
76,-9.75,13.303105
76.5,-9.75,13.004277
77,-9.75,12.715816
77.5,-9.75,12.440891
78,-9.75,12.179661
78.5,-9.75,11.931037
79,-9.75,11.695585
79.5,-9.75,11.473873
80,-9.75,11.271766
80.5,-9.75,11.085682
81,-9.75,10.915702
81.5,-9.75,10.762355
82,-9.75,10.62769
82.5,-9.75,10.516139
83,-9.75,10.423122
83.5,-9.75,10.348973
84,-9.75,10.293983
84.5,-9.75,10.262387
85,-9.75,10.252546
85.5,-9.75,10.249999
86,-9.75,10.249999
86.5,-9.75,10.249999
87,-9.75,10.249999
87.5,-9.75,10.249999
88,-9.75,10.249999
88.5,-9.75,10.249999
89,-9.75,10.249999
89.5,-9.75,10.249999
90,-9.75,10.249999
90.5,-9.75,10.249999
91,-9.75,10.249999
91.5,-9.75,10.249999
92,-9.75,10.249999
92.5,-9.75,10.249999
93,-9.75,10.249999
93.5,-9.75,10.249999
94,-9.75,10.249999
94.5,-9.75,10.249999
95,-9.75,10.249999
95.5,-9.75,10.249999
96,-9.75,10.249999
96.5,-9.75,10.249999
97,-9.75,10.249999
97.5,-9.75,10.249999
98,-9.75,10.249999
98.5,-9.75,10.249999
99,-9.75,10.249999
99.5,-9.75,10.249999
100,-9.75,10.249999
100.5,-9.75,10.249999
101,-9.75,10.249999
101.5,-9.75,10.249999
102,-9.75,10.249999
102.5,-9.75,10.249999
103,-9.75,10.249999
103.5,-9.75,10.249999
104,-9.75,10.249999
104.5,-9.75,10.249999
105,-9.75,10.249999
105.5,-9.75,10.249999
106,-9.75,10.249999
106.5,-9.75,10.249999
107,-9.75,10.249999
107.5,-9.75,10.249999
108,-9.75,10.249999
108.5,-9.75,10.249999
109,-9.75,10.249999
109.5,-9.75,10.249999
110,-9.75,10.249999
110.5,-9.75,10.249999
111,-9.75,10.249999
111.5,-9.75,10.249999
112,-9.75,10.249999
112.5,-9.75,10.249999
113,-9.75,10.249999
113.5,-9.75,10.249999
114,-9.75,10.249999
114.5,-9.75,10.249999
115,-9.75,10.249999
115.5,-9.75,10.249999
116,-9.75,10.249999
116.5,-9.75,10.249999
117,-9.75,10.249999
117.5,-9.75,10.249999
118,-9.75,10.249999
118.5,-9.75,10.249999
119,-9.75,10.249999
119.5,-9.75,10.249999
120,-9.75,10.249999
120.5,-9.75,10.249999
121,-9.75,10.249999
121.5,-9.75,10.249999
122,-9.75,10.249999
122.5,-9.75,10.249999
123,-9.75,10.249999
123.5,-9.75,10.249999
124,-9.75,10.249999
124.5,-9.75,10.249999
125,-9.75,10.249999
125.5,-9.75,10.249999
126,-9.75,10.249999
126.5,-9.75,10.249999
127,-9.75,10.249999
127.5,-9.75,10.249999
128,-9.75,10.249999
128.5,-9.75,10.249999
129,-9.75,10.249999
129.5,-9.75,10.249999
130,-9.75,10.249999
130.5,-9.75,10.249999
131,-9.75,10.249999
131.5,-9.75,10.249999
132,-9.75,10.249999
132.5,-9.75,10.249999
133,-9.75,10.249999
133.5,-9.75,10.249999
134,-9.75,10.249999
134.5,-9.75,10.249999
135,-9.75,10.252546
135.5,-9.75,10.262386
136,-9.75,10.2939825
136.5,-9.75,10.348971
137,-9.75,10.4231205
137.5,-9.75,10.516136
138,-9.75,10.627686
138.5,-9.75,10.762349
139,-9.75,10.915694
139.5,-9.75,11.085676
140,-9.75,11.27176
140.5,-9.75,11.4738655
141,-9.75,11.695574
141.5,-9.75,11.931026
142,-9.75,12.179654
142.5,-9.75,12.440886
143,-9.75,12.715805
143.5,-9.75,13.004267
144,-9.75,13.303097
144.5,-9.75,13.611801
145,-9.75,13.929902
145.5,-9.75,14.259078
146,-9.75,14.597194
146.5,-9.75,14.94293
147,-9.75,15.295898
147.5,-9.75,15.655801
148,-9.75,16.024326
148.5,-9.75,16.398706
149,-9.75,16.77865
149.5,-9.75,17.16388
150,-9.75,17.554718
70,-9.5,17.401588
70.5,-9.5,17.007511
71,-9.5,16.618946
71.5,-9.5,16.23558
72,-9.5,15.857696
72.5,-9.5,15.48557
73,-9.5,15.121956
73.5,-9.5,14.7652025
74,-9.5,14.415614
74.5,-9.5,14.073571
75,-9.5,13.740395
75.5,-9.5,13.418231
76,-9.5,13.105429
76.5,-9.5,12.802477
77,-9.5,12.509881
77.5,-9.5,12.230829
78,-9.5,11.96551
78.5,-9.5,11.712857
79,-9.5,11.473456
79.5,-9.5,11.247899
80,-9.5,11.042137
80.5,-9.5,10.85259
81,-9.5,10.67936
81.5,-9.5,10.523008
82,-9.5,10.385636
82.5,-9.5,10.271787
83,-9.5,10.176826
83.5,-9.5,10.101105
84,-9.5,10.044936
84.5,-9.5,10.012656
85,-9.5,10.002602
85.5,-9.5,9.999999
