y,z,d
-60,-10,40.26183
-59,-10,39.304874
-58,-10,38.35011
-57,-10,37.397938
-56,-10,36.44812
-55,-10,35.50081
-54,-10,34.556175
-53,-10,33.614437
-52,-10,32.67676
-51,-10,31.742569
-50,-10,30.812122
-49,-10,29.885708
-48,-10,28.963627
-47,-10,28.047422
-46,-10,27.137016
-45,-10,26.232498
-44,-10,25.334385
-43,-10,24.443237
-42,-10,23.560816
-41,-10,22.688658
-40,-10,21.826334
-39,-10,20.974833
-38,-10,20.135237
-37,-10,19.309332
-36,-10,18.502628
-35,-10,17.713444
-34,-10,16.943739
-33,-10,16.19569
-32,-10,15.471678
-31,-10,14.782391
-30,-10,14.127204
-29,-10,13.508392
-28,-10,12.929955
-27,-10,12.396141
-26,-10,11.920477
-25,-10,11.510162
-24,-10,11.162658
-23,-10,10.882361
-22,-10,10.673269
-21,-10,10.544039
-20,-10,10.508609
-19,-10,10.5
-18,-10,10.5
-17,-10,10.5
-16,-10,10.5
-15,-10,10.5
-14,-10,10.5
-13,-10,10.5
-12,-10,10.5
-11,-10,10.5
-10,-10,10.5
-9,-10,10.5
-8,-10,10.5
-7,-10,10.5
-6,-10,10.5
-5,-10,10.5
-4,-10,10.5
-3,-10,10.5
-2,-10,10.5
-1,-10,10.5
0,-10,10.5
1,-10,10.5
2,-10,10.5
3,-10,10.5
4,-10,10.5
5,-10,10.5
6,-10,10.5
7,-10,10.5
8,-10,10.5
9,-10,10.5
10,-10,10.5
11,-10,10.5
12,-10,10.5
13,-10,10.5
14,-10,10.5
15,-10,10.5
16,-10,10.5
17,-10,10.5
18,-10,10.5
19,-10,10.5
20,-10,10.50861
21,-10,10.54404
22,-10,10.673272
23,-10,10.882366
24,-10,11.162662
25,-10,11.510167
26,-10,11.920483
27,-10,12.396149
28,-10,12.929958
29,-10,13.508398
30,-10,14.127212
31,-10,14.782393
32,-10,15.471682
33,-10,16.195698
34,-10,16.943752
35,-10,17.713453
36,-10,18.502644
37,-10,19.309347
38,-10,20.135246
39,-10,20.974844
40,-10,21.82635
41,-10,22.688673
42,-10,23.560827
43,-10,24.443253
44,-10,25.3344
45,-10,26.232508
46,-10,27.137024
47,-10,28.047434
48,-10,28.963642
49,-10,29.885712
50,-10,30.812134
51,-10,31.742586
52,-10,32.676773
53,-10,33.61445
54,-10,34.55619
55,-10,35.50082
56,-10,36.44813
57,-10,37.397953
58,-10,38.35012
59,-10,39.304882
60,-10,40.261837
-60,-9.666667,40.167248
-59,-9.666667,39.208076
-58,-9.666667,38.25099
-57,-9.666667,37.29638
-56,-9.666667,36.344
-55,-9.666667,35.39402
-54,-9.666667,34.446587
-53,-9.666667,33.501915
-52,-9.666667,32.561127
-51,-9.666667,31.62366
-50,-9.666667,30.689772
-49,-9.666667,29.759739
-48,-9.666667,28.833855
-47,-9.666667,27.913593
-46,-9.666667,26.99889
-45,-9.666667,26.089834
-44,-9.666667,25.18693
-43,-9.666667,24.290714
-42,-9.666667,23.402895
-41,-9.666667,22.524963
-40,-9.666667,21.656525
-39,-9.666667,20.798542
-38,-9.666667,19.952084
-37,-9.666667,19.118895
-36,-9.666667,18.304367
