y,z,d
-60,-5,38.91089
-59.625,-5,38.54161
-59.25,-5,38.17244
-58.875,-5,37.80338
-58.5,-5,37.43443
-58.125,-5,37.0656
-57.75,-5,36.69689
-57.375,-5,36.328304
-57,-5,35.959846
-56.625,-5,35.591515
-56.25,-5,35.223324
-55.875,-5,34.85527
-55.5,-5,34.48736
-55.125,-5,34.119595
-54.75,-5,33.751984
-54.375,-5,33.384533
-54,-5,33.017242
-53.625,-5,32.65012
-53.25,-5,32.28317
-52.875,-5,31.916397
-52.5,-5,31.549809
-52.125,-5,31.183414
-51.75,-5,30.817215
-51.375,-5,30.451221
-51,-5,30.08544
-50.625,-5,29.719875
-50.25,-5,29.354536
-49.875,-5,28.989433
-49.5,-5,28.624573
-49.125,-5,28.259966
-48.75,-5,27.89562
-48.375,-5,27.531544
-48,-5,27.167751
-47.625,-5,26.804249
-47.25,-5,26.441053
-46.875,-5,26.078173
-46.5,-5,25.71562
-46.125,-5,25.353409
-45.75,-5,24.991554
-45.375,-5,24.63007
-45,-5,24.268972
-44.625,-5,23.908278
-44.25,-5,23.548004
-43.875,-5,23.188168
-43.5,-5,22.828789
-43.125,-5,22.469889
-42.75,-5,22.11149
-42.375,-5,21.753614
-42,-5,21.396288
-41.625,-5,21.039534
-41.25,-5,20.683382
-40.875,-5,20.327864
-40.5,-5,19.973005
-40.125,-5,19.618845
-39.75,-5,19.265415
-39.375,-5,18.912756
-39,-5,18.560907
-38.625,-5,18.209911
-38.25,-5,17.859816
-37.875,-5,17.510672
-37.5,-5,17.162529
-37.125,-5,16.815447
-36.75,-5,16.469486
-36.375,-5,16.124716
-36,-5,15.781204
-35.625,-5,15.439028
-35.25,-5,15.0982685
-34.875,-5,14.759018
-34.5,-5,14.42137
-34.125,-5,14.08543
-33.75,-5,13.751311
-33.375,-5,13.419136
-33,-5,13.089037
-32.625,-5,12.761158
-32.25,-5,12.435656
-31.875,-5,12.112701
-31.5,-5,11.7924795
-31.125,-5,11.475192
-30.75,-5,11.161062
-30.375,-5,10.850329
-30,-5,10.543256
-29.625,-5,10.2401285
-29.25,-5,9.941263
-28.875,-5,9.647001
-28.5,-5,9.357717
-28.125,-5,9.073818
-27.75,-5,8.795752
-27.375,-5,8.524003
-27,-5,8.259099
-26.625,-5,8.001612
-26.25,-5,7.752162
-25.875,-5,7.5114164
-25.5,-5,7.2800913
-25.125,-5,7.0589504
-24.75,-5,6.8488026
-24.375,-5,6.6504984
-24,-5,6.464923
-23.625,-5,6.2929854
-23.25,-5,6.1356072
-22.875,-5,5.9937057
-22.5,-5,5.868175
-22.125,-5,5.759864
-21.75,-5,5.6695538
-21.375,-5,5.5979314
-21,-5,5.545566
-20.625,-5,5.51289
-20.25,-5,5.5001783
-19.875,-5,5.5
-19.5,-5,5.5
-19.125,-5,5.5
-18.75,-5,5.5
-18.375,-5,5.5
-18,-5,5.5
-17.625,-5,5.5
-17.25,-5,5.5
-16.875,-5,5.5
-16.5,-5,5.5
-16.125,-5,5.5
-15.75,-5,5.5
-15.375,-5,5.5
-15,-5,5.5
-14.625,-5,5.5
-14.25,-5,5.5
-13.875,-5,5.5
-13.5,-5,5.5
-13.125,-5,5.5
-12.75,-5,5.5
-12.375,-5,5.5
-12,-5,5.5
-11.625,-5,5.5
-11.25,-5,5.5
-10.875,-5,5.5
-10.5,-5,5.5
-10.125,-5,5.5
-9.75,-5,5.5
-9.375,-5,5.5
-9,-5,5.5
-8.625,-5,5.5
-8.25,-5,5.5
-7.875,-5,5.5
-7.5,-5,5.5
-7.125,-5,5.5
-6.75,-5,5.5
-6.375,-5,5.5
-6,-5,5.5
-5.625,-5,5.5
-5.25,-5,5.5
-4.875,-5,5.5
-4.5,-5,5.5
-4.125,-5,5.5
-3.75,-5,5.5
-3.375,-5,5.5
-3,-5,5.5
-2.625,-5,5.5
-2.25,-5,5.5
-1.875,-5,5.5
-1.5,-5,5.5
-1.125,-5,5.5
-0.75,-5,5.5
-0.375,-5,5.5
0,-5,5.5
0.375,-5,5.5
0.75,-5,5.5
1.125,-5,5.5
1.5,-5,5.5
1.875,-5,5.5
2.25,-5,5.5
2.625,-5,5.5
3,-5,5.5
3.375,-5,5.5
3.75,-5,5.5
4.125,-5,5.5
4.5,-5,5.5
4.875,-5,5.5
5.25,-5,5.5
5.625,-5,5.5
6,-5,5.5
6.375,-5,5.5
6.75,-5,5.5
7.125,-5,5.5
7.5,-5,5.5
7.875,-5,5.5
8.25,-5,5.5
8.625,-5,5.5
9,-5,5.5
9.375,-5,5.5
9.75,-5,5.5
