x,z,d
100,20,-47.006107
100.333336,20,-47.23358
100.666664,20,-47.46106
101,20,-47.688538
101.333336,20,-47.916008
101.666664,20,-48.14348
102,20,-48.37096
102.333336,20,-48.598434
102.666664,20,-48.8259
103,20,-49.053375
103.333336,20,-49.28085
103.666664,20,-49.508324
104,20,-49.735806
104.333336,20,-49.963276
104.666664,20,-50.190746
105,20,-50.418217
105.333336,20,-50.6457
105.666664,20,-50.87317
106,20,-51.10065
106.333336,20,-51.328125
106.666664,20,-51.555588
107,20,-51.783066
107.333336,20,-52.01054
107.666664,20,-52.238018
108,20,-52.46549
108.333336,20,-52.638046
108.666664,20,-52.810596
109,20,-52.983147
109.333336,20,-53.155704
109.666664,20,-53.328247
110,20,-53.500813
110.333336,20,-53.673363
110.666664,20,-53.84591
111,20,-54.018463
111.333336,20,-54.191017
111.666664,20,-54.363564
112,20,-54.536118
112.333336,20,-54.708675
112.666664,20,-54.88123
113,20,-55.053772
113.333336,20,-55.22633
113.666664,20,-55.39888
114,20,-55.571438
114.333336,20,-55.743984
114.666664,20,-55.916534
115,20,-56.089096
115.333336,20,-56.26164
115.666664,20,-56.434196
116,20,-56.60675
116.333336,20,-56.779305
116.66667,20,-56.951862
117,20,-57.1244
117.333336,20,-57.29696
117.66667,20,-57.469513
118,20,-57.64206
118.333336,20,-57.814613
118.66667,20,-57.987167
119,20,-58.159718
119.333336,20,-58.332275
119.66667,20,-58.50483
120,20,-58.677372
120.333336,20,-58.719284
120.66667,20,-58.7612
121,20,-58.803112
121.333336,20,-58.845013
121.66667,20,-58.88693
122,20,-58.92884
122.333336,20,-58.97075
122.66667,20,-59.012657
123,20,-59.054565
123.333336,20,-59.096474
123.66667,20,-59.13839
124,20,-59.180298
124.333336,20,-59.222206
124.66667,20,-59.264114
125,20,-59.30603
125.333336,20,-59.34794
125.66667,20,-59.389843
126,20,-59.43175
126.333336,20,-59.473667
126.66667,20,-59.51558
127,20,-59.557484
127.333336,20,-59.599407
127.66667,20,-59.64131
128,20,-59.683224
128.33333,20,-59.72513
128.66667,20,-59.767036
129,20,-59.808945
129.33333,20,-59.85086
129.66667,20,-59.892765
130,20,-59.934673
130.33333,20,-59.97659
130.66667,20,-60.0185
131,20,-60.06041
131.33333,20,-60.10232
131.66667,20,-60.144234
132,20,-60.18614
132.33334,20,-60.228046
132.66667,20,-60.26996
133,20,-60.311874
133.33334,20,-60.353783
133.66667,20,-60.395695
134,20,-60.4376
134.33334,20,-60.47951
134.66667,20,-60.52142
135,20,-60.56333
135.33334,20,-60.60524
135.66667,20,-60.64715
136,20,-60.689064
136.33334,20,-60.730972
136.66667,20,-60.772884
137,20,-60.81479
137.33334,20,-60.856705
137.66667,20,-60.898613
138,20,-60.940525
138.33334,20,-60.982437
138.66667,20,-61.024345
139,20,-61.066254
139.33334,20,-61.108162
139.66667,20,-61.15007
140,20,-61.191986
140.33334,20,-61.233894
140.66667,20,-61.275803
141,20,-61.317707
141.33334,20,-61.359627
141.66667,20,-61.401535
142,20,-61.443443
142.33334,20,-61.48535
142.66667,20,-61.527267
143,20,-61.569176
143.33334,20,-61.611084
143.66667,20,-61.652992
144,20,-61.6949
144.33334,20,-61.736816
144.66667,20,-61.778725
145,20,-61.820633
145.33334,20,-61.862553
145.66667,20,-61.904457
146,20,-61.946365
146.33334,20,-61.988274
146.66667,20,-62.03019
147,20,-62.072098
147.33334,20,-62.11401
147.66667,20,-62.155914
148,20,-62.197823
148.33334,20,-62.23974
148.66667,20,-62.281647
149,20,-62.323555
149.33334,20,-62.365463
149.66667,20,-62.40738
150,20,-62.449284
150.33334,20,-62.491196
150.66667,20,-62.533108
151,20,-62.575012
151.33334,20,-62.616924
151.66667,20,-62.658836
152,20,-62.700745
152.33334,20,-62.74266
152.66667,20,-62.78457
153,20,-62.826477
153.33334,20,-62.86838
153.66667,20,-62.9103
154,20,-62.95221
154.33334,20,-62.994118
154.66667,20,-63.036026
155,20,-63.077934
155.33334,20,-63.119846
155.66667,20,-63.16176
156,20,-63.203667
156.33334,20,-63.245583
156.66667,20,-63.28749
157,20,-63.3294
157.33334,20,-63.371307
157.66667,20,-63.413216
158,20,-63.45513
158.33334,20,-63.49704
158.66667,20,-63.538948
159,20,-63.580856
159.33334,20,-63.622772
159.66667,20,-63.66468
160,20,-63.70659
160.33334,20,-63.713776
160.66667,20,-63.720963
161,20,-63.72815
161.33334,20,-63.73533
161.66667,20,-63.74251
162,20,-63.7497
162.33334,20,-63.75689
162.66667,20,-63.764076
163,20,-63.771267
163.33334,20,-63.778442
163.66667,20,-63.785625
164,20,-63.792816
164.33334,20,-63.800003
164.66667,20,-63.80719
165,20,-63.814377
165.33334,20,-63.821556
165.66667,20,-63.828743
166,20,-63.83593
166.33334,20,-63.843117
166.66667,20,-63.850304
167,20,-63.857483
167.33334,20,-63.86467
167.66667,20,-63.871857
168,20,-63.87904
168.33334,20,-63.88623
168.66667,20,-63.893417
169,20,-63.9006
169.33334,20,-63.907784
169.66667,20,-63.91497
170,20,-63.92216
170.33334,20,-63.929344
170.66667,20,-63.93653
171,20,-63.943714
171.33334,20,-63.950897
171.66667,20,-63.95808
172,20,-63.965267
172.33334,20,-63.972454
172.66667,20,-63.97964
173,20,-63.986824
173.33334,20,-63.99401
173.66667,20,-64.0012
174,20,-64.008385
174.33334,20,-64.01557
174.66667,20,-64.02276
175,20,-64.02994
175.33334,20,-64.037125
175.66667,20,-64.04431
176,20,-64.0515
176.33334,20,-64.058685
176.66667,20,-64.06587
177,20,-64.07306
177.33334,20,-64.08024
177.66667,20,-64.087425
178,20,-64.09461
178.33334,20,-64.1018
178.66667,20,-64.108986
179,20,-64.11617
179.33334,20,-64.12335
179.66667,20,-64.13054
180,20,-64.137726
180.33334,20,-64.14491
180.66667,20,-64.1521
181,20,-64.15928
181.33334,20,-64.166466
181.66667,20,-64.17365
182,20,-64.18084
182.33334,20,-64.18803
182.66667,20,-64.19521
183,20,-64.2024
183.33334,20,-64.20958
183.66667,20,-64.21677
184,20,-64.22395
184.33334,20,-64.23114
184.66667,20,-64.23833
185,20,-64.245514
185.33334,20,-64.25269
185.66667,20,-64.25988
186,20,-64.26707
186.33334,20,-64.274254
186.66667,20,-64.28144
187,20,-64.28863
187.33334,20,-64.29581
187.66667,20,-64.30299
188,20,-64.31018
188.33334,20,-64.31737
188.66667,20,-64.324554
189,20,-64.33173
189.33334,20,-64.33892
189.66667,20,-64.34611
190,20,-64.353294
100,20.5,-46.50611
100.333336,20.5,-46.73358
100.666664,20.5,-46.96106
101,20.5,-47.188538
101.333336,20.5,-47.416008
101.666664,20.5,-47.64348
102,20.5,-47.870956
102.333336,20.5,-48.098434
102.666664,20.5,-48.325897
103,20.5,-48.553375
103.333336,20.5,-48.780857
103.666664,20.5,-49.008327
104,20.5,-49.2358
104.333336,20.5,-49.463272
104.666664,20.5,-49.69075
105,20.5,-49.91822
105.333336,20.5,-50.1457
105.666664,20.5,-50.373173
106,20.5,-50.60065
106.333336,20.5,-50.828125
106.666664,20.5,-51.055588
107,20.5,-51.283066
107.333336,20.5,-51.510544
107.666664,20.5,-51.738014
108,20.5,-51.96549
108.333336,20.5,-52.138046
108.666664,20.5,-52.310593
109,20.5,-52.483147
109.333336,20.5,-52.655704
