x,z,d
120,20,-49.421207
120.375,20,-49.462814
120.75,20,-49.504417
121.125,20,-49.54602
121.5,20,-49.587616
121.875,20,-49.62922
122.25,20,-49.670822
122.625,20,-49.712425
123,20,-49.754025
123.375,20,-49.79563
123.75,20,-49.837234
124.125,20,-49.87883
124.5,20,-49.920433
124.875,20,-49.962032
125.25,20,-50.00364
125.625,20,-50.045242
126,20,-50.08685
126.375,20,-50.12845
126.75,20,-50.17005
127.125,20,-50.21165
127.5,20,-50.253254
127.875,20,-50.294853
128.25,20,-50.33646
128.625,20,-50.37806
129,20,-50.419655
129.375,20,-50.461258
129.75,20,-50.50286
130.125,20,-50.544464
130.5,20,-50.58607
130.875,20,-50.62767
131.25,20,-50.66927
131.625,20,-50.710876
132,20,-50.752472
132.375,20,-50.794075
132.75,20,-50.835674
133.125,20,-50.87728
133.5,20,-50.918884
133.875,20,-50.960487
134.25,20,-51.00209
134.625,20,-51.043686
135,20,-51.08529
135.375,20,-51.126892
135.75,20,-51.16849
136.125,20,-51.2101
136.5,20,-51.251698
136.875,20,-51.2933
137.25,20,-51.33491
137.625,20,-51.3765
138,20,-51.418106
138.375,20,-51.459705
138.75,20,-51.50131
139.125,20,-51.54292
139.5,20,-51.584522
139.875,20,-51.626118
140.25,20,-51.667717
140.625,20,-51.70932
141,20,-51.750923
141.375,20,-51.792526
141.75,20,-51.83413
142.125,20,-51.875732
142.5,20,-51.917328
142.875,20,-51.95893
143.25,20,-52.000534
143.625,20,-52.042137
144,20,-52.08374
144.375,20,-52.125343
144.75,20,-52.166946
145.125,20,-52.208546
145.5,20,-52.25015
145.875,20,-52.291748
146.25,20,-52.33335
146.625,20,-52.374954
147,20,-52.416557
147.375,20,-52.45816
147.75,20,-52.499756
148.125,20,-52.54136
148.5,20,-52.58296
148.875,20,-52.62456
149.25,20,-52.66617
149.625,20,-52.70777
150,20,-52.74938
150.375,20,-52.79097
150.75,20,-52.832573
151.125,20,-52.874176
151.5,20,-52.915783
151.875,20,-52.957386
152.25,20,-52.99898
152.625,20,-53.04058
153,20,-53.082188
153.375,20,-53.123787
153.75,20,-53.16539
154.125,20,-53.206993
154.5,20,-53.248596
154.875,20,-53.290195
155.25,20,-53.331802
155.625,20,-53.373398
156,20,-53.415
156.375,20,-53.456604
156.75,20,-53.498207
157.125,20,-53.539806
157.5,20,-53.581413
157.875,20,-53.623016
158.25,20,-53.664608
158.625,20,-53.706215
159,20,-53.747818
159.375,20,-53.78942
159.75,20,-53.831028
160.125,20,-53.861137
160.5,20,-53.86827
160.875,20,-53.8754
161.25,20,-53.88253
161.625,20,-53.889664
162,20,-53.896793
162.375,20,-53.90393
162.75,20,-53.911064
163.125,20,-53.9182
163.5,20,-53.925335
163.875,20,-53.93247
164.25,20,-53.939598
164.625,20,-53.94673
165,20,-53.953857
165.375,20,-53.96099
165.75,20,-53.96813
166.125,20,-53.975254
166.5,20,-53.98239
166.875,20,-53.98953
167.25,20,-53.996655
167.625,20,-54.00379
168,20,-54.01092
168.375,20,-54.01806
168.75,20,-54.025185
169.125,20,-54.032314
169.5,20,-54.039455
169.875,20,-54.046585
170.25,20,-54.053715
170.625,20,-54.060852
171,20,-54.06799
171.375,20,-54.07512
171.75,20,-54.082253
172.125,20,-54.089386
172.5,20,-54.09652
172.875,20,-54.10365
173.25,20,-54.11078
173.625,20,-54.117912
174,20,-54.125042
174.375,20,-54.13218
174.75,20,-54.139313
175.125,20,-54.146446
175.5,20,-54.153576
175.875,20,-54.160713
176.25,20,-54.167847
176.625,20,-54.17498
177,20,-54.182102
177.375,20,-54.189243
177.75,20,-54.196373
178.125,20,-54.203506
178.5,20,-54.21064
178.875,20,-54.217773
179.25,20,-54.224907
179.625,20,-54.23204
180,20,-54.239178
180.375,20,-54.246307
180.75,20,-54.253437
181.125,20,-54.260567
181.5,20,-54.2677
181.875,20,-54.274837
182.25,20,-54.28197
182.625,20,-54.2891
183,20,-54.296234
183.375,20,-54.303368
183.75,20,-54.3105
184.125,20,-54.31764
184.5,20,-54.324764
184.875,20,-54.331898
185.25,20,-54.339024
185.625,20,-54.34616
186,20,-54.35329
186.375,20,-54.360428
186.75,20,-54.367558
187.125,20,-54.374695
187.5,20,-54.38183
187.875,20,-54.388958
188.25,20,-54.396095
188.625,20,-54.403233
189,20,-54.41036
189.375,20,-54.417492
189.75,20,-54.42462
190.125,20,-54.431755
190.5,20,-54.43889
190.875,20,-54.446022
191.25,20,-54.453156
191.625,20,-54.460293
192,20,-54.467422
192.375,20,-54.474552
192.75,20,-54.48169
193.125,20,-54.488815
193.5,20,-54.495945
193.875,20,-54.503082
194.25,20,-54.510216
194.625,20,-54.51735
195,20,-54.524483
195.375,20,-54.531616
195.75,20,-54.53875
196.125,20,-54.545883
196.5,20,-54.553017
196.875,20,-54.560143
197.25,20,-54.567276
197.625,20,-54.574413
198,20,-54.581543
198.375,20,-54.588676
198.75,20,-54.59581
199.125,20,-54.602943
199.5,20,-54.610077
199.875,20,-54.61721
200.25,20,-54.624344
200.625,20,-54.631477
201,20,-54.638603
