x,z,d
120,20,-49.421207
120.34375,20,-49.459347
120.6875,20,-49.497486
121.03125,20,-49.535614
121.375,20,-49.573753
121.71875,20,-49.611885
122.0625,20,-49.65003
122.40625,20,-49.688156
122.75,20,-49.7263
123.09375,20,-49.764427
123.4375,20,-49.80257
123.78125,20,-49.8407
124.125,20,-49.87883
124.46875,20,-49.91697
124.8125,20,-49.9551
125.15625,20,-49.99324
125.5,20,-50.031372
125.84375,20,-50.06951
126.1875,20,-50.107643
126.53125,20,-50.145782
126.875,20,-50.183914
127.21875,20,-50.222057
127.5625,20,-50.260185
127.90625,20,-50.29832
128.25,20,-50.33646
128.59375,20,-50.374588
128.9375,20,-50.412727
129.28125,20,-50.45086
129.625,20,-50.489002
129.96875,20,-50.52713
130.3125,20,-50.56527
130.65625,20,-50.603397
131,20,-50.641533
131.34375,20,-50.679672
131.6875,20,-50.717804
132.03125,20,-50.75594
132.375,20,-50.794075
132.71875,20,-50.832214
133.0625,20,-50.870346
133.40625,20,-50.908485
133.75,20,-50.946617
134.09375,20,-50.984756
134.4375,20,-51.022884
134.78125,20,-51.061028
135.125,20,-51.09916
135.46875,20,-51.137287
135.8125,20,-51.17543
136.15625,20,-51.213562
136.5,20,-51.251698
136.84375,20,-51.289837
137.1875,20,-51.327972
137.53125,20,-51.366104
137.875,20,-51.404243
138.21875,20,-51.442375
138.5625,20,-51.480503
138.90625,20,-51.518646
139.25,20,-51.556778
139.59375,20,-51.594917
139.9375,20,-51.63305
140.28125,20,-51.67119
140.625,20,-51.70932
140.96875,20,-51.747456
141.3125,20,-51.785587
141.65625,20,-51.82373
142,20,-51.861862
142.34375,20,-51.899994
142.6875,20,-51.938133
143.03125,20,-51.97627
143.375,20,-52.014404
143.71875,20,-52.052536
144.0625,20,-52.090675
144.40625,20,-52.128803
144.75,20,-52.166946
145.09375,20,-52.205074
145.4375,20,-52.243214
145.78125,20,-52.28135
146.125,20,-52.31948
146.46875,20,-52.357624
146.8125,20,-52.395752
147.15625,20,-52.43389
147.5,20,-52.472023
147.84375,20,-52.510162
148.1875,20,-52.548298
148.53125,20,-52.586426
148.875,20,-52.62456
149.21875,20,-52.662704
149.5625,20,-52.700836
149.90625,20,-52.73897
150.25,20,-52.777107
150.59375,20,-52.815243
150.9375,20,-52.85338
151.28125,20,-52.89151
151.625,20,-52.929646
151.96875,20,-52.96778
152.3125,20,-53.00592
152.65625,20,-53.04405
153,20,-53.082188
153.34375,20,-53.120323
153.6875,20,-53.158455
154.03125,20,-53.196594
154.375,20,-53.234726
154.71875,20,-53.272865
155.0625,20,-53.311
155.40625,20,-53.34914
155.75,20,-53.387268
156.09375,20,-53.4254
156.4375,20,-53.463543
156.78125,20,-53.50167
157.125,20,-53.539806
157.46875,20,-53.57794
157.8125,20,-53.61608
158.15625,20,-53.654213
158.5,20,-53.692356
158.84375,20,-53.730484
159.1875,20,-53.768612
159.53125,20,-53.806755
159.875,20,-53.844894
160.21875,20,-53.862915
160.5625,20,-53.869453
160.90625,20,-53.87599
161.25,20,-53.88253
161.59375,20,-53.88907
161.9375,20,-53.89561
162.28125,20,-53.90215
162.625,20,-53.908684
162.96875,20,-53.91522
163.3125,20,-53.92176
163.65625,20,-53.928303
164,20,-53.934837
164.34375,20,-53.941376
164.6875,20,-53.947918
165.03125,20,-53.95445
165.375,20,-53.96099
165.71875,20,-53.96753
166.0625,20,-53.974068
166.40625,20,-53.980602
166.75,20,-53.98715
167.09375,20,-53.993683
167.4375,20,-54.00022
167.78125,20,-54.006763
168.125,20,-54.013298
168.46875,20,-54.019833
168.8125,20,-54.026375
169.15625,20,-54.032913
169.5,20,-54.039455
169.84375,20,-54.04599
170.1875,20,-54.05253
170.53125,20,-54.059067
170.875,20,-54.065605
171.21875,20,-54.072144
171.5625,20,-54.078686
171.90625,20,-54.08522
172.25,20,-54.09176
172.59375,20,-54.098293
172.9375,20,-54.104836
173.28125,20,-54.111378
173.625,20,-54.117912
173.96875,20,-54.12445
174.3125,20,-54.130993
174.65625,20,-54.137524
175,20,-54.144066
175.34375,20,-54.150604
175.6875,20,-54.157143
176.03125,20,-54.16368
176.375,20,-54.17022
176.71875,20,-54.176758
177.0625,20,-54.183296
177.40625,20,-54.189835
177.75,20,-54.196373
178.09375,20,-54.20291
178.4375,20,-54.20945
178.78125,20,-54.215992
179.125,20,-54.222527
179.46875,20,-54.229065
179.8125,20,-54.235603
180.15625,20,-54.24214
180.5,20,-54.24868
180.84375,20,-54.25522
181.1875,20,-54.261757
181.53125,20,-54.268295
181.875,20,-54.274837
182.21875,20,-54.281372
182.5625,20,-54.28791
182.90625,20,-54.29445
183.25,20,-54.300987
183.59375,20,-54.307526
183.9375,20,-54.314064
184.28125,20,-54.320602
184.625,20,-54.32714
184.96875,20,-54.33368
185.3125,20,-54.340218
185.65625,20,-54.346756
186,20,-54.35329
186.34375,20,-54.359837
186.6875,20,-54.36637
187.03125,20,-54.37291
187.375,20,-54.37945
187.71875,20,-54.385986
188.0625,20,-54.39252
188.40625,20,-54.399063
188.75,20,-54.4056
189.09375,20,-54.412144
189.4375,20,-54.41868
189.78125,20,-54.425217
190.125,20,-54.431755
190.46875,20,-54.438293
190.8125,20,-54.44483
191.15625,20,-54.451374
191.5,20,-54.457912
191.84375,20,-54.464447
192.1875,20,-54.47098
192.53125,20,-54.477524
192.875,20,-54.484062
193.21875,20,-54.4906
193.5625,20,-54.49714
193.90625,20,-54.503677
194.25,20,-54.510216
194.59375,20,-54.516754
194.9375,20,-54.523293
195.28125,20,-54.52983
