x,z,d
100,-20,116.89571
100.666664,-20,116.6064
101.333336,-20,116.32018
102,-20,116.037094
102.666664,-20,115.75716
103.333336,-20,115.480385
104,-20,115.2068
104.666664,-20,114.93644
105.333336,-20,114.66931
106,-20,114.40545
106.666664,-20,114.144875
107.333336,-20,113.887596
108,-20,113.63365
108.666664,-20,113.383064
109.333336,-20,113.13584
110,-20,112.89201
110.666664,-20,112.65161
111.333336,-20,112.414635
112,-20,112.18114
112.666664,-20,111.95111
113.333336,-20,111.724594
114,-20,111.5016
114.666664,-20,111.28215
115.333336,-20,111.06628
116,-20,110.85399
116.66667,-20,110.64531
117.333336,-20,110.44026
118,-20,110.23886
118.66667,-20,110.04113
119.333336,-20,109.84709
120,-20,109.65677
120.66667,-20,109.47016
121.333336,-20,109.287315
122,-20,109.10823
122.66667,-20,108.93293
123.333336,-20,108.76144
124,-20,108.593765
124.66667,-20,108.42993
125.333336,-20,108.26996
126,-20,108.11386
126.66667,-20,107.96165
127.333336,-20,107.81334
128,-20,107.66896
128.66667,-20,107.52853
129.33333,-20,107.392044
130,-20,107.25952
130.66667,-20,107.131
131.33333,-20,107.00647
132,-20,106.88595
132.66667,-20,106.769455
133.33334,-20,106.657005
134,-20,106.54861
134.66667,-20,106.44427
135.33334,-20,106.34402
136,-20,106.24785
136.66667,-20,106.155785
137.33334,-20,106.067825
138,-20,105.983986
138.66667,-20,105.904274
139.33334,-20,105.82871
140,-20,105.75729
140.66667,-20,105.69003
141.33334,-20,105.62694
142,-20,105.568016
142.66667,-20,105.51327
143.33334,-20,105.46271
144,-20,105.416336
144.66667,-20,105.37417
145.33334,-20,105.336205
146,-20,105.302444
146.66667,-20,105.272896
147.33334,-20,105.24756
148,-20,105.22644
148.66667,-20,105.20955
149.33334,-20,105.19688
150,-20,105.18842
150.66667,-20,105.1842
151.33334,-20,105.18369
152,-20,105.18368
152.66667,-20,105.18368
153.33334,-20,105.18367
154,-20,105.18367
154.66667,-20,105.18368
155.33334,-20,105.18368
156,-20,105.18368
156.66667,-20,105.18367
157.33334,-20,105.18368
158,-20,105.18368
158.66667,-20,105.18368
159.33334,-20,105.18367
160,-20,105.18367
160.66667,-20,105.18367
161.33334,-20,105.18367
162,-20,105.18368
162.66667,-20,105.18368
163.33334,-20,105.183685
164,-20,105.18368
164.66667,-20,105.18368
165.33334,-20,105.1837
166,-20,105.18368
166.66667,-20,105.18369
167.33334,-20,105.18369
168,-20,105.1837
168.66667,-20,105.1837
169.33334,-20,105.183685
170,-20,105.18369
170.66667,-20,105.183685
171.33334,-20,105.18369
172,-20,105.18368
172.66667,-20,105.1837
173.33334,-20,105.183685
174,-20,105.18369
174.66667,-20,105.18368
175.33334,-20,105.18369
176,-20,105.18368
176.66667,-20,105.18369
177.33334,-20,105.18369
178,-20,105.18369
178.66667,-20,105.18369
179.33334,-20,105.18369
180,-20,105.18369
180.66667,-20,105.18369
181.33334,-20,105.18369
182,-20,105.18369
182.66667,-20,105.18369
183.33334,-20,105.18369
184,-20,105.18369
