x,z,d
140,-20,110.86224
140.66667,-20,110.79808
141.33333,-20,110.73789
142,-20,110.68169
142.66667,-20,110.62948
143.33333,-20,110.58126
144,-20,110.53703
144.66667,-20,110.496826
145.33333,-20,110.46062
146,-20,110.42842
146.66667,-20,110.400246
147.33333,-20,110.37609
148,-20,110.35596
148.66667,-20,110.33984
149.33333,-20,110.32776
150,-20,110.3197
150.66667,-20,110.315674
151.33333,-20,110.31519
152,-20,110.31561
152.66667,-20,110.31665
153.33333,-20,110.318146
154,-20,110.32053
154.66667,-20,110.322754
155.33333,-20,110.3268
156,-20,110.330605
156.66667,-20,110.3355
157.33333,-20,110.3409
158,-20,110.34737
158.66667,-20,110.35504
159.33333,-20,110.364204
160,-20,110.372665
160.66667,-20,110.38418
161.33333,-20,110.397385
162,-20,110.409645
162.66667,-20,110.426094
163.33333,-20,110.44369
164,-20,110.45991
164.66667,-20,110.47976
165.33333,-20,110.50269
166,-20,110.52336
166.66667,-20,110.54825
167.33333,-20,110.57462
168,-20,110.60458
168.66667,-20,110.63528
169.33333,-20,110.66971
170,-20,110.705376
170.66667,-20,110.74469
171.33333,-20,110.78532
172,-20,110.82752
172.66667,-20,110.87107
173.33334,-20,110.921585
174,-20,110.97077
174.66667,-20,111.02262
175.33334,-20,111.08509
176,-20,111.145836
176.66667,-20,111.20906
177.33334,-20,111.26633
178,-20,111.33945
178.66667,-20,111.41151
179.33334,-20,111.48433
180,-20,111.56302
180.66667,-20,111.63674
181.33334,-20,111.721405
182,-20,111.80231
182.66667,-20,111.88454
183.33334,-20,111.96796
184,-20,112.06028
184.66667,-20,112.152534
185.33334,-20,112.238686
186,-20,112.33098
186.66667,-20,112.421486
187.33334,-20,105.03376
188,-20,104.53103
188.66667,-20,103.99415
189.33334,-20,103.489105
190,-20,102.96898
190.66667,-20,102.40786
191.33334,-20,101.87509
192,-20,101.33196
192.66667,-20,100.76656
193.33334,-20,100.19891
194,-20,99.638596
194.66667,-20,99.049904
195.33334,-20,98.46422
196,-20,97.86992
196.66667,-20,97.26981
197.33334,-20,96.6591
198,-20,96.04629
198.66667,-20,95.435135
199.33334,-20,94.79887
200,-20,94.14656
200.66667,-20,93.4942
201.33334,-20,92.88217
202,-20,92.18118
202.66667,-20,91.50795
203.33334,-20,90.80726
204,-20,90.14413
204.66667,-20,89.41411
205.33334,-20,88.74158
206,-20,87.98158
206.66667,-20,87.26919
207.33334,-20,86.52476
208,-20,85.791794
208.66667,-20,85.04383
209.33334,-20,84.28163
210,-20,83.49469
210.66667,-20,82.76257
211.33334,-20,81.8361
212,-20,60.941414
212.66667,-20,60.205624
213.33334,-20,59.412327
214,-20,58.738262
214.66667,-20,57.99158
215.33334,-20,57.456703
216,-20,56.80444
216.66667,-20,56.199295
217.33334,-20,55.657143
218,-20,55.17651
218.66667,-20,54.582027
219.33334,-20,54.10431
220,-20,53.598797
220.66667,-20,53.190838
221.33334,-20,52.681236
222,-20,52.184406
222.66667,-20,51.70991
223.33334,-20,51.233154
224,-20,50.83977
224.66667,-20,50.36756
225.33334,-20,50.001358
226,-20,49.532017
226.66667,-20,49.146584
227.33334,-20,48.751503
228,-20,48.348766
228.66667,-20,47.92501
229.33334,-20,47.573727
230,-20,47.165176
230.66667,-20,46.77712
231.33334,-20,46.417156
232,-20,45.949818
232.66667,-20,45.63527
233.33334,-20,45.283405
234,-20,44.909767
234.66667,-20,44.54861
235.33334,-20,44.230232
236,-20,43.877254
236.66667,-20,43.56152
237.33334,-20,43.191822
238,-20,42.790146
238.66667,-20,42.443222
239.33334,-20,42.119682
240,-20,41.83727
240.66667,-20,41.428726
241.33334,-20,41.13159
242,-20,40.783726
242.66667,-20,40.465282
243.33334,-20,40.125336
244,-20,39.83018
244.66667,-20,39.5247
245.33334,-20,39.14436
246,-20,38.849243
246.66667,-20,38.517654
247.33334,-20,38.172974
248,-20,37.899185
248.66667,-20,37.639942
249.33334,-20,37.304794
250,-20,36.954227
250.66667,-20,36.672424
251.33334,-20,36.360886
252,-20,36.004627
252.66667,-20,35.7241
253.33334,-20,35.441387
254,-20,35.151188
254.66667,-20,34.86234
255.33334,-20,34.520065
256,-20,34.29301
256.6667,-20,33.944546
257.33334,-20,33.67681
258,-20,33.37765
258.6667,-20,33.052757
259.33334,-20,32.776096
260,-20,32.482338
260.6667,-20,32.179073
261.33334,-20,31.90038
262,-20,31.642467
262.6667,-20,31.336563
263.33334,-20,31.044357
264,-20,30.778614
264.6667,-20,30.512604
265.33334,-20,30.231594
266,-20,29.938248
266.6667,-20,29.608406
267.33334,-20,29.393562
268,-20,29.11253
268.6667,-20,28.808674
269.33334,-20,28.507607
270,-20,28.248695
270.6667,-20,28.001987
271.33334,-20,27.716232
272,-20,27.461527
272.6667,-20,27.187134
273.33334,-20,26.886063
274,-20,26.635561
274.6667,-20,26.351131
275.33334,-20,26.061094
276,-20,25.806942
276.6667,-20,25.55542
277.33334,-20,25.268211
278,-20,24.961369
278.6667,-20,24.738842
279.33334,-20,24.4869
280,-20,24.206608
280.6667,-20,23.943493
281.33334,-20,23.677631
282,-20,23.39641
282.6667,-20,23.147287
283.33334,-20,22.886757
284,-20,22.639479
284.6667,-20,22.359148
285.33334,-20,22.12072
286,-20,21.83519
286.6667,-20,21.596323
287.33334,-20,21.33871
288,-20,21.073872
288.6667,-20,20.817476
289.33334,-20,20.55213
290,-20,20.28027
290.6667,-20,20.026196
291.33334,-20,19.82121
292,-20,19.531652
292.6667,-20,19.272266
293.33334,-20,19.016937
294,-20,18.771166
294.6667,-20,18.492567
295.33334,-20,18.236526
296,-20,17.989153
296.6667,-20,17.753538
297.33334,-20,17.523874
298,-20,17.246952
298.6667,-20,16.97876
299.33334,-20,16.734907
300,-20,16.479542
300.6667,-20,16.272005
301.33334,-20,16.003515
302,-20,15.753087
302.6667,-20,15.498337
303.33334,-20,15.262262
304,-20,15.004247
304.6667,-20,14.776459
305.33334,-20,14.552419
306,-20,14.264959
306.6667,-20,14.026465
307.33334,-20,13.795104
308,-20,13.532087
308.6667,-20,13.307688
309.33334,-20,13.07017
310,-20,12.820299
310.6667,-20,12.565244
