x,z,d
100,-20,46.20611
100.75,-20,46.71793
101.5,-20,47.22974
102.25,-20,47.74157
103,-20,48.253376
103.75,-20,48.76519
104.5,-20,49.277016
105.25,-20,49.788834
106,-20,50.30065
106.75,-20,50.812458
107.5,-20,51.324284
108.25,-20,51.794903
109,-20,52.183147
109.75,-20,52.571392
110.5,-20,52.959637
111.25,-20,53.347874
112,-20,53.73612
112.75,-20,54.124363
113.5,-20,54.512608
114.25,-20,54.900845
115,-20,55.289097
115.75,-20,55.677334
116.5,-20,56.06558
117.25,-20,56.453823
118,-20,56.84206
118.75,-20,57.2303
119.5,-20,57.61855
120.25,-20,57.90881
121,-20,58.003113
121.75,-20,58.097404
122.5,-20,58.1917
123.25,-20,58.286
124,-20,58.3803
124.75,-20,58.474598
125.5,-20,58.568886
126.25,-20,58.663193
127,-20,58.757484
127.75,-20,58.851788
128.5,-20,58.946087
129.25,-20,59.040386
130,-20,59.134674
130.75,-20,59.228977
131.5,-20,59.323277
132.25,-20,59.417576
133,-20,59.511875
133.75,-20,59.606167
134.5,-20,59.700466
135.25,-20,59.794765
136,-20,59.889065
136.75,-20,59.983356
137.5,-20,60.077656
138.25,-20,60.171955
139,-20,60.266254
139.75,-20,60.360554
140.5,-20,60.454845
141.25,-20,60.549145
142,-20,60.643444
142.75,-20,60.737747
143.5,-20,60.832043
144.25,-20,60.926334
145,-20,61.020634
145.75,-20,61.11493
146.5,-20,61.209232
147.25,-20,61.30353
148,-20,61.397823
148.75,-20,61.492123
149.5,-20,61.586422
150.25,-20,61.680725
151,-20,61.775013
151.75,-20,61.869312
152.5,-20,61.963608
153.25,-20,62.05791
154,-20,62.15221
154.75,-20,62.246513
155.5,-20,62.3408
156.25,-20,62.4351
157,-20,62.5294
157.75,-20,62.6237
158.5,-20,62.71799
159.25,-20,62.81229
160,-20,62.90659
160.75,-20,62.922756
161.5,-20,62.938923
162.25,-20,62.95509
163,-20,62.971268
163.75,-20,62.987427
164.5,-20,63.003597
165.25,-20,63.019764
166,-20,63.03593
166.75,-20,63.052097
167.5,-20,63.068264
168.25,-20,63.08443
169,-20,63.1006
169.75,-20,63.11677
170.5,-20,63.13294
171.25,-20,63.149105
172,-20,63.165268
172.75,-20,63.18144
173.5,-20,63.197605
174.25,-20,63.21377
175,-20,63.22994
175.75,-20,63.246113
176.5,-20,63.26228
177.25,-20,63.278446
178,-20,63.294613
178.75,-20,63.31078
179.5,-20,63.326946
180.25,-20,63.343113
181,-20,63.35928
181.75,-20,63.375454
182.5,-20,63.39162
183.25,-20,63.407787
184,-20,63.423954
184.75,-20,63.44012
185.5,-20,63.456287
186.25,-20,63.472454
187,-20,63.48863
187.75,-20,63.504795
188.5,-20,63.52096
189.25,-20,63.53713
190,-20,63.553295
190.75,-20,63.56946
191.5,-20,63.58563
192.25,-20,63.601795
193,-20,63.61797
193.75,-20,63.634136
194.5,-20,63.650303
195.25,-20,63.66647
196,-20,63.682636
196.75,-20,63.698803
197.5,-20,63.71497
198.25,-20,63.731136
199,-20,63.74731
199.75,-20,63.763477
200.5,-20,63.779644
201.25,-20,63.79581
202,-20,63.811977
202.75,-20,63.828144
203.5,-20,63.84431
204.25,-20,63.860477
205,-20,63.87665
205.75,-20,63.89282
206.5,-20,63.908985
207.25,-20,63.92515
208,-20,63.94132
208.75,-20,63.957485
209.5,-20,63.97365
210.25,-20,63.98982
211,-20,64.00598
211.75,-20,61.337944
212.5,-20,60.401894
213.25,-20,59.523045
214,-20,58.738262
214.75,-20,57.99158
215.5,-20,57.243298
216.25,-20,56.5929
217,-20,55.881557
217.75,-20,55.365772
218.5,-20,54.73371
219.25,-20,54.188965
220,-20,53.598797
220.75,-20,53.055965
221.5,-20,52.531113
222.25,-20,51.976776
223,-20,51.491257
223.75,-20,51.02567
224.5,-20,50.510643
225.25,-20,50.041744
226,-20,49.532017
226.75,-20,49.105446
227.5,-20,48.602814
228.25,-20,48.159565
229,-20,47.780617
229.75,-20,47.262474
230.5,-20,46.843296
231.25,-20,46.416183
232,-20,45.949818
232.75,-20,45.63527
