x,z,d
0,-20,91.648865
0.45,-20,91.23958
0.9,-20,90.83059
1.3499999,-20,90.422
1.8,-20,90.01365
2.25,-20,89.605705
2.6999998,-20,89.1981
3.1499999,-20,88.79073
3.6,-20,88.38379
4.0499997,-20,87.97717
4.5,-20,87.57088
4.95,-20,87.16498
5.3999996,-20,86.75937
5.85,-20,86.35417
6.2999997,-20,85.949295
6.75,-20,85.54476
7.2,-20,85.14064
7.6499996,-20,84.73687
8.099999,-20,84.33348
8.55,-20,83.93049
9,-20,83.52777
9.45,-20,83.1255
9.9,-20,82.7236
10.349999,-20,82.322105
10.799999,-20,81.92096
11.25,-20,81.52027
11.7,-20,81.11992
12.15,-20,80.71996
12.599999,-20,80.320366
13.049999,-20,79.921234
13.5,-20,79.5225
13.95,-20,79.12413
14.4,-20,78.72622
14.849999,-20,78.328674
15.299999,-20,77.931564
15.75,-20,77.53483
16.199999,-20,77.138565
16.65,-20,76.74274
17.1,-20,76.34728
17.55,-20,75.95221
18,-20,75.55773
18.449999,-20,75.16351
18.9,-20,74.76974
19.35,-20,74.376465
19.8,-20,73.98361
20.25,-20,73.59111
20.699999,-20,73.19916
21.15,-20,72.80761
21.599998,-20,72.41651
22.05,-20,72.025764
22.5,-20,71.63553
22.949999,-20,71.24575
23.4,-20,70.856476
23.849998,-20,70.467575
24.3,-20,70.079124
24.75,-20,69.691154
25.199999,-20,69.303635
25.65,-20,68.916626
26.099998,-20,68.529976
26.55,-20,68.143906
27,-20,67.7582
27.449999,-20,67.37307
27.9,-20,66.98833
28.349998,-20,66.60409
28.8,-20,66.22041
29.25,-20,65.83718
29.699999,-20,65.45442
30.15,-20,65.07212
30.599998,-20,64.69039
31.05,-20,64.30912
31.5,-20,63.928444
31.949999,-20,63.548195
32.399998,-20,63.168503
32.85,-20,62.789364
33.3,-20,62.410805
33.75,-20,62.03273
34.2,-20,61.65524
34.649998,-20,61.27838
35.1,-20,60.90205
35.55,-20,60.526398
36,-20,60.151295
36.45,-20,59.776844
36.899998,-20,59.403023
37.35,-20,59.029816
37.8,-20,58.657337
38.25,-20,58.28555
38.7,-20,57.914444
39.149998,-20,57.544086
39.6,-20,57.17442
40.05,-20,56.805576
40.5,-20,56.437515
40.95,-20,56.07023
41.399998,-20,55.703777
41.85,-20,55.338177
42.3,-20,54.973442
42.75,-20,54.60964
43.199997,-20,54.24676
43.649998,-20,53.88481
44.1,-20,53.523838
44.55,-20,53.163918
45,-20,52.804962
45.449997,-20,52.447144
45.899998,-20,52.09039
46.35,-20,51.73479
46.8,-20,51.380352
47.25,-20,51.027027
47.699997,-20,50.675034
48.149998,-20,50.324226
48.6,-20,49.974747
49.05,-20,49.62657
49.5,-20,49.279747
49.949997,-20,48.93441
50.399998,-20,48.590397
50.85,-20,48.247883
51.3,-20,47.906857
51.75,-20,47.56746
52.199997,-20,47.22963
52.649998,-20,46.893448
53.1,-20,46.558838
53.55,-20,46.225975
54,-20,45.894978
54.449997,-20,45.565624
54.899998,-20,45.23825
55.35,-20,44.912643
55.8,-20,44.58901
56.25,-20,44.26734
56.699997,-20,43.94773
57.149998,-20,43.63012
57.6,-20,43.314697
58.05,-20,43.00135
58.5,-20,42.690334
58.949997,-20,42.38149
59.399998,-20,42.074966
59.85,-20,41.770885
60.3,-20,41.469135
60.75,-20,41.16993
61.199997,-20,40.873158
61.649998,-20,40.57905
62.1,-20,40.287575
62.55,-20,39.998756
63,-20,39.71267
63.449997,-20,39.42946
63.899998,-20,39.149094
64.35,-20,38.871685
64.799995,-20,38.597218
65.25,-20,38.325806
65.7,-20,38.057526
66.15,-20,37.792423
66.6,-20,37.530563
67.049995,-20,37.27204
67.5,-20,37.01683
67.95,-20,36.765137
68.4,-20,36.51694
68.85,-20,36.272316
69.299995,-20,36.03132
69.75,-20,35.794018
70.2,-20,35.56048
70.65,-20,35.330826
71.1,-20,35.105076
71.549995,-20,34.883312
72,-20,34.665627
72.45,-20,34.45211
72.9,-20,34.242794
73.35,-20,34.037807
73.799995,-20,33.837193
74.25,-20,33.64097
74.7,-20,33.449272
75.15,-20,33.26218
75.6,-20,33.079716
76.049995,-20,32.90197
76.5,-20,32.728977
76.95,-20,32.560844
77.4,-20,32.397636
77.85,-20,32.23948
78.299995,-20,32.086372
78.75,-20,31.938198
79.2,-20,31.79544
79.65,-20,31.657927
80.1,-20,31.525703
80.549995,-20,31.398912
81,-20,31.277542
81.45,-20,31.161682
81.9,-20,31.051407
82.35,-20,30.946741
82.799995,-20,30.847754
83.25,-20,30.754488
83.7,-20,30.666998
84.15,-20,30.585321
84.6,-20,30.509504
85.049995,-20,30.439587
85.5,-20,30.375603
85.95,-20,30.31759
86.399994,-20,30.265581
86.85,-20,30.219593
87.299995,-20,30.179674
87.75,-20,30.145824
88.2,-20,30.118086
88.649994,-20,30.09645
89.1,-20,30.080942
89.549995,-20,30.071566
90,-20,30.068329
90.45,-20,30.07123
90.899994,-20,30.08027
91.35,-20,30.095442
91.799995,-20,30.116743
92.25,-20,30.144161
92.7,-20,30.177671
93.149994,-20,30.217262
93.6,-20,30.2629
94.049995,-20,30.314579
94.5,-20,30.372236
94.95,-20,30.435884
95.399994,-20,30.505472
95.85,-20,30.580965
96.299995,-20,30.662313
96.75,-20,30.74949
97.2,-20,30.842436
