y,z,d
-140,-20,10.249843
-139.125,-20,9.464728
-138.25,-20,8.695342
-137.375,-20,7.945836
-136.5,-20,7.2217836
-135.625,-20,6.5307326
-134.75,-20,5.8829274
-133.875,-20,5.292179
-133,-20,4.7766495
-132.125,-20,4.358938
-131.25,-20,4.064311
-130.375,-20,3.9158928
-129.5,-20,3.9009597
-128.625,-20,3.9009595
-127.75,-20,3.9009597
-126.875,-20,3.9009585
-126,-20,3.9009597
-125.125,-20,3.9009597
-124.25,-20,3.9009595
-123.375,-20,3.9009597
-122.5,-20,3.9009585
-121.625,-20,3.9009597
-120.75,-20,3.9009614
-119.875,-20,3.9009597
-119,-20,3.9009597
-118.125,-20,3.9009597
-117.25,-20,3.9009597
-116.375,-20,3.9009595
-115.5,-20,3.9009597
-114.625,-20,3.9009597
-113.75,-20,3.9009597
-112.875,-20,3.9009595
-112,-20,3.9009597
-111.125,-20,3.9009604
-110.25,-20,3.9009595
-109.375,-20,3.9009597
-108.5,-20,3.9009597
-107.625,-20,3.9009595
-106.75,-20,3.9009597
-105.875,-20,3.9009597
-105,-20,3.9009597
-104.125,-20,3.9009597
-103.25,-20,3.9009597
-102.375,-20,3.9009597
-101.5,-20,3.9009597
-100.625,-20,3.9009597
-99.75,-20,3.9009597
-98.875,-20,3.9009595
-98,-20,3.9009597
-97.125,-20,3.9009597
-96.25,-20,3.9009595
-95.375,-20,3.9009597
-94.5,-20,3.9009597
-93.625,-20,3.9009595
-92.75,-20,3.9009595
-91.875,-20,3.9009597
-91,-20,3.9009597
-90.125,-20,3.9009597
-89.25,-20,3.9009595
-88.375,-20,3.9009597
-87.5,-20,3.9009597
-86.625,-20,3.9009597
-85.75,-20,3.9009597
-84.875,-20,3.9009595
-84,-20,3.9009597
-83.125,-20,3.9009597
-82.25,-20,3.9009595
-81.375,-20,3.9009597
-80.5,-20,3.9009597
-79.625,-20,3.9009597
-78.75,-20,3.9009595
-77.875,-20,3.9009597
-77,-20,3.9009597
-76.125,-20,3.9009597
-75.25,-20,3.9009595
-74.375,-20,3.9009597
-73.5,-20,3.9009597
-72.625,-20,3.9009597
-71.75,-20,3.9009597
-70.875,-20,3.9009597
-70,-20,3.9009597
-69.125,-20,3.9009597
-68.25,-20,3.9009597
-67.375,-20,3.9009597
-66.5,-20,3.9009597
-65.625,-20,3.9009597
-64.75,-20,3.9009597
-63.875,-20,3.9009597
-63,-20,3.9009597
-62.125,-20,3.9009597
-61.25,-20,3.9009597
-60.375,-20,3.9009597
-59.5,-20,3.9009597
-58.625,-20,3.9009597
-57.75,-20,3.9009597
-56.875,-20,3.9009597
-56,-20,3.9009597
-55.125,-20,3.9009595
-54.25,-20,3.9009597
-53.375,-20,3.9009597
-52.5,-20,3.9009597
-51.625,-20,3.9009597
-50.75,-20,3.9009597
-49.875,-20,3.9009597
-49,-20,3.9009597
-48.125,-20,3.9009595
-47.25,-20,3.9009597
-46.375,-20,3.9009595
-45.5,-20,3.9009597
-44.625,-20,3.9009595
-43.75,-20,3.9009597
-42.875,-20,3.9009597
-42,-20,3.9009597
-41.125,-20,3.9009595
-40.25,-20,3.9009597
-39.375,-20,3.9009597
-38.5,-20,3.9009597
-37.625,-20,3.9009595
-36.75,-20,3.9009597
-35.875,-20,3.9009597
-35,-20,3.9009597
-34.125,-20,3.9009597
-33.25,-20,3.9009595
-32.375,-20,3.9009595
-31.5,-20,3.9009597
