x,z,d
0,-20,12.558154
0.45,-20,12.343577
0.9,-20,12.129386
1.3499999,-20,11.91519
1.8,-20,11.703066
2.25,-20,11.502138
2.6999998,-20,11.304764
3.1499999,-20,11.107388
3.6,-20,10.910012
4.0499997,-20,10.71972
4.5,-20,10.537885
4.95,-20,10.356107
5.3999996,-20,10.17433
5.85,-20,9.994875
6.2999997,-20,9.826495
6.75,-20,9.659199
7.2,-20,9.491903
7.6499996,-20,9.324817
8.099999,-20,9.167672
8.55,-20,9.013848
9,-20,8.8600235
9.45,-20,8.7062
9.9,-20,8.55821
10.349999,-20,8.416949
10.799999,-20,8.275688
11.25,-20,8.134428
11.7,-20,7.995057
12.15,-20,7.8653426
12.599999,-20,7.735823
13.049999,-20,7.606302
13.5,-20,7.4767942
13.95,-20,7.355937
14.4,-20,7.2374177
14.849999,-20,7.1189013
15.299999,-20,7.0003815
15.75,-20,6.8857894
16.199999,-20,6.7776046
16.65,-20,6.669423
17.1,-20,6.56124
17.55,-20,6.4531646
18,-20,6.3536954
18.449999,-20,6.2552423
18.9,-20,6.156791
19.35,-20,6.058339
19.8,-20,5.9631824
20.25,-20,5.873912
20.699999,-20,5.7846413
21.15,-20,5.6953707
21.599998,-20,5.606102
22.05,-20,5.523165
22.5,-20,5.442573
22.949999,-20,5.361983
23.4,-20,5.281391
23.849998,-20,5.2011185
24.3,-20,5.1285434
24.75,-20,5.056172
25.199999,-20,4.9838014
25.65,-20,4.9114294
26.099998,-20,4.840672
26.55,-20,4.7760973
27,-20,4.711523
27.449999,-20,4.6469483
27.9,-20,4.5823736
28.349998,-20,4.5200677
28.8,-20,4.4628954
29.25,-20,4.4057236
29.699999,-20,4.3485518
30.15,-20,4.29138
30.599998,-20,4.236396
31.05,-20,4.186262
31.5,-20,4.136129
31.949999,-20,4.085996
32.399998,-20,4.035862
32.85,-20,3.9871945
33.3,-20,3.9437568
33.75,-20,3.9003193
34.2,-20,3.8568826
34.649998,-20,3.8134453
35.1,-20,3.7702415
35.55,-20,3.7331405
36,-20,3.6960797
36.45,-20,3.6590168
36.899998,-20,3.6219554
37.35,-20,3.584893
37.8,-20,3.5523655
38.25,-20,3.5213768
38.7,-20,3.4903882
39.149998,-20,3.4594014
39.6,-20,3.4284122
40.05,-20,3.3995528
40.5,-20,3.374352
40.95,-20,3.3491485
41.399998,-20,3.3239472
41.85,-20,3.2987466
42.3,-20,3.2735436
42.75,-20,3.2532852
43.199997,-20,3.2335992
43.649998,-20,3.2139134
44.1,-20,3.1942267
44.55,-20,3.174541
45,-20,3.1566083
45.449997,-20,3.1421802
45.899998,-20,3.1277516
46.35,-20,3.1133232
46.8,-20,3.0988948
47.25,-20,3.0844667
47.699997,-20,3.0734582
48.149998,-20,3.0640404
48.6,-20,3.0546207
49.05,-20,3.0452027
49.5,-20,3.035785
49.949997,-20,3.0263658
50.399998,-20,3.0214663
50.85,-20,3.016823
51.3,-20,3.012181
51.75,-20,3.0075383
52.199997,-20,3.0028963
52.649998,-20,2.9988327
53.1,-20,2.9987392
53.55,-20,2.998645
54,-20,2.9985526
54.449997,-20,2.9984586
54.899998,-20,2.9983647
55.35,-20,2.9992683
55.8,-20,3.0035093
56.25,-20,3.0077498
56.699997,-20,3.0119908
57.149998,-20,3.016233
57.6,-20,3.0204735
58.05,-20,3.02578
58.5,-20,3.0341458
58.949997,-20,3.042513
59.399998,-20,3.05088
59.85,-20,3.0592463
60.3,-20,3.0676134
60.75,-20,3.076828
61.199997,-20,3.089125
61.649998,-20,3.1014209
62.1,-20,3.1137168
62.55,-20,3.1260138
63,-20,3.1383097
63.449997,-20,3.1510093
63.899998,-20,3.1670442
64.35,-20,3.1830795
64.799995,-20,3.1991143
65.25,-20,3.2151494
65.7,-20,3.2311847
66.15,-20,3.2472196
66.6,-20,3.2665944
67.049995,-20,3.2861867
67.5,-20,3.305778
67.95,-20,3.32537
68.4,-20,3.3449624
68.85,-20,3.3645542
69.299995,-20,3.3865597
69.75,-20,3.409535
70.2,-20,3.4325097
70.65,-20,3.455483
71.1,-20,3.478458
71.549995,-20,3.5014317
72,-20,3.5258145
72.45,-20,3.552005
72.9,-20,3.578196
73.35,-20,3.6043859
73.799995,-20,3.6305764
74.25,-20,3.6567674
74.7,-20,3.683314
75.15,-20,3.712563
75.6,-20,3.7418094
76.049995,-20,3.7710564
76.5,-20,3.8003032
76.95,-20,3.8295522
77.4,-20,3.8587985
77.85,-20,3.8902423
78.299995,-20,3.9223952
78.75,-20,3.9545486
79.2,-20,3.9867024
79.65,-20,4.018857
80.1,-20,4.05101
80.549995,-20,4.0841594
81,-20,4.119075
81.45,-20,4.15399
81.9,-20,4.188905
82.35,-20,4.2238183
82.799995,-20,4.2587333
83.25,-20,4.2936482
83.7,-20,4.331025
84.15,-20,4.3685646
84.6,-20,4.4061046
85.049995,-20,4.443643
85.5,-20,4.481182
85.95,-20,4.5187216
86.399994,-20,4.557493
86.85,-20,4.597528
87.299995,-20,4.637562
87.75,-20,4.677595
88.2,-20,4.7176294
88.649994,-20,4.757663
89.1,-20,4.7977786
89.549995,-20,4.8401837
90,-20,4.882591
90.45,-20,4.924996
90.899994,-20,4.967401
91.35,-20,5.009808
91.799995,-20,5.052213
92.25,-20,5.095893
92.7,-20,5.140553
93.149994,-20,5.185215
93.6,-20,5.229876
94.049995,-20,5.2745376
94.5,-20,5.3191986
94.95,-20,5.364058
95.399994,-20,5.410866
95.85,-20,5.4576726
96.299995,-20,5.504482
96.75,-20,5.551291
97.2,-20,5.5980988
97.649994,-20,5.644907
98.1,-20,5.692991
98.549995,-20,5.741843
99,-20,5.7906995
99.45,-20,5.839552
99.899994,-20,5.8884044
100.35,-20,5.93726
100.799995,-20,5.9864345
101.25,-20,6.0372376
101.7,-20,6.088041
102.149994,-20,6.1388426
102.6,-20,6.189644
