y,z,d
-140,-40,26.682383
-138.83333,-40,26.27968
-137.66667,-40,25.921886
-136.5,-40,25.610819
-135.33333,-40,25.34815
-134.16667,-40,25.135353
-133,-40,24.973656
-131.83333,-40,24.86403
-130.66667,-40,24.807144
-129.5,-40,24.798464
-128.33333,-40,24.798462
-127.166664,-40,24.798468
-126,-40,24.798464
-124.833336,-40,24.798464
-123.66667,-40,24.798464
-122.5,-40,24.798464
-121.333336,-40,24.798468
-120.16667,-40,24.798464
-119,-40,24.798468
-117.833336,-40,24.798464
-116.66667,-40,24.798464
-115.5,-40,24.798464
-114.333336,-40,24.798464
-113.16667,-40,24.798464
-112,-40,24.798464
-110.833336,-40,24.798464
-109.66667,-40,24.798464
-108.5,-40,24.798464
-107.333336,-40,24.798464
-106.16667,-40,24.798464
-105,-40,24.798468
-103.833336,-40,24.798464
-102.66667,-40,24.798464
-101.5,-40,24.798464
-100.333336,-40,24.798464
-99.16667,-40,24.798464
-98,-40,24.798464
-96.833336,-40,24.79846
-95.66667,-40,24.798464
-94.5,-40,24.798464
-93.333336,-40,24.798464
-92.16667,-40,24.798468
-91,-40,24.798464
-89.833336,-40,24.798464
-88.66667,-40,24.798468
-87.5,-40,24.798464
-86.333336,-40,24.798468
-85.16667,-40,24.798464
-84,-40,24.798468
-82.833336,-40,24.798464
-81.66667,-40,24.798464
-80.5,-40,24.798468
-79.333336,-40,24.798464
-78.16667,-40,24.798462
-77,-40,24.798464
-75.833336,-40,24.798462
-74.66667,-40,24.798464
-73.5,-40,24.798464
-72.333336,-40,24.798464
-71.16667,-40,24.798464
-70,-40,24.798464
-68.833336,-40,24.798464
-67.66667,-40,24.798464
-66.5,-40,24.798464
-65.333336,-40,24.798464
-64.16667,-40,24.798464
-63,-40,24.798464
-61.833336,-40,24.798464
-60.66667,-40,24.798464
-59.5,-40,24.798464
-58.333336,-40,24.798464
-57.16667,-40,24.798464
-56,-40,24.798464
-54.833336,-40,24.798464
-53.66667,-40,24.798464
-52.5,-40,24.798464
-51.333336,-40,24.798464
-50.16667,-40,24.798464
-49,-40,24.798464
-47.833336,-40,24.798464
-46.66667,-40,24.798464
-45.5,-40,24.798464
-44.333336,-40,24.798464
-43.16667,-40,24.798464
-42,-40,24.798464
-40.833336,-40,24.798464
-39.66667,-40,24.798464
-38.5,-40,24.798464
-37.333336,-40,24.798464
-36.16667,-40,24.798464
-35,-40,24.798464
-33.833336,-40,24.798464
-32.66667,-40,24.798464
-31.5,-40,24.798464
-30.333336,-40,24.798464
-29.166672,-40,24.798464
-28,-40,24.798464
-26.833336,-40,24.798464
-25.666672,-40,24.798464
-24.500008,-40,24.798464
-23.333336,-40,24.798464
-22.166672,-40,24.798468
-21.000008,-40,24.798464
-19.833336,-40,24.798464
-18.666672,-40,24.798464
-17.500008,-40,24.798464
-16.333336,-40,24.798464
-15.166672,-40,24.798464
-14.000008,-40,24.798464
-12.833336,-40,24.798464
-11.666672,-40,24.798464
-10.5,-40,24.798464
-9.3333435,-40,24.798464
-8.166672,-40,24.798464
-7,-40,24.798464
-5.8333435,-40,24.798464
-4.6666718,-40,24.798464
-3.5,-40,24.798464
-2.3333435,-40,24.798464
-1.1666718,-40,24.798464
0,-40,24.798464
1.1666565,-40,24.798464
2.3333282,-40,24.798464
3.5,-40,24.798464
4.6666565,-40,24.798468
5.8333282,-40,24.798464
7,-40,24.798464
8.1666565,-40,24.798464
9.333328,-40,24.798462
10.5,-40,24.798468
11.6666565,-40,24.798462
12.833328,-40,24.798468
14,-40,24.798464
15.1666565,-40,24.798464
16.333328,-40,24.798464
17.5,-40,24.798464
18.666656,-40,24.798468
19.833328,-40,24.798464
21,-40,24.798464
22.166656,-40,24.798464
23.333328,-40,24.798464
24.5,-40,24.798464
25.666656,-40,24.798464
26.833328,-40,24.798464
28,-40,24.798464
29.166656,-40,24.798464
30.333328,-40,24.798464
31.5,-40,24.798462
32.666656,-40,24.798464
33.83333,-40,24.798468
35,-40,24.798464
36.166656,-40,24.798464
37.33333,-40,24.798464
38.5,-40,24.798464
39.666656,-40,24.798464
40.83333,-40,24.798464
42,-40,24.798464
43.166656,-40,24.798464
44.33333,-40,24.798464
45.5,-40,24.798468
46.666656,-40,24.798464
47.83333,-40,24.798464
49,-40,24.798464
50.166656,-40,24.798468
51.33333,-40,24.798464
52.5,-40,24.798464
53.666656,-40,24.798464
54.83333,-40,24.798464
56,-40,24.79846
57.166656,-40,24.798464
58.33333,-40,24.798464
59.5,-40,24.798462
60.666656,-40,24.798464
61.83333,-40,24.798464
63,-40,24.798464
64.16666,-40,24.798464
65.33333,-40,24.798464
66.5,-40,24.798464
67.66666,-40,24.798464
68.83333,-40,24.798464
70,-40,24.798464
71.16666,-40,24.798464
72.33333,-40,24.798464
73.5,-40,24.798464
74.66666,-40,24.798464
75.83333,-40,24.798464
77,-40,24.798464
78.16666,-40,24.798464
79.33333,-40,24.798464
80.5,-40,24.798464
81.66666,-40,24.798464
82.83333,-40,24.798464
84,-40,24.798464
85.16666,-40,24.798464
86.33333,-40,24.798464
87.499985,-40,24.798464
88.66666,-40,24.798464
89.83333,-40,24.798464
90.999985,-40,24.798464
92.16666,-40,24.798464
93.33333,-40,24.798464
94.499985,-40,24.798464
95.66666,-40,24.798464
96.83333,-40,24.798464
97.999985,-40,24.798464
99.16666,-40,24.798464
100.33333,-40,24.798464
101.499985,-40,24.798468
102.66666,-40,24.798464
103.83333,-40,24.798464
104.999985,-40,24.798464
106.16666,-40,24.798464
107.33333,-40,24.798464
108.499985,-40,24.798464
109.66666,-40,24.798464
110.83333,-40,24.798464
111.999985,-40,24.798464
113.16666,-40,24.798468
114.33333,-40,24.798464
115.499985,-40,24.798464
116.66666,-40,24.798464
117.83331,-40,24.798464
119,-40,24.798464
120.16666,-40,24.798464
121.33331,-40,24.798464
122.5,-40,24.798464
123.66666,-40,24.798464
124.83331,-40,24.798464
126,-40,24.798464
127.16666,-40,24.798464
128.33331,-40,24.798464
129.5,-40,24.798464
130.66666,-40,24.807144
131.83331,-40,24.864029
133,-40,24.973656
134.16666,-40,25.13535
135.33331,-40,25.348146
136.5,-40,25.610819
137.66666,-40,25.921883
138.83331,-40,26.279675
140,-40,26.682383
-140,-39.444443,26.167711
-138.83333,-39.444443,25.757206
-137.66667,-39.444443,25.392277
-136.5,-39.444443,25.074842
-135.33333,-39.444443,24.806677
-134.16667,-39.444443,24.58934
-133,-39.444443,24.424145
-131.83333,-39.444443,24.31212
-130.66667,-39.444443,24.25398
-129.5,-39.444443,24.24511
-128.33333,-39.444443,24.24511
-127.166664,-39.444443,24.24511
-126,-39.444443,24.24511
-124.833336,-39.444443,24.24511
-123.66667,-39.444443,24.24511
-122.5,-39.444443,24.24511
-121.333336,-39.444443,24.24511
-120.16667,-39.444443,24.24511
-119,-39.444443,24.24511
-117.833336,-39.444443,24.24511
-116.66667,-39.444443,24.24511
-115.5,-39.444443,24.24511
