y,z,d
-140,-20,10.450994
-139.125,-20,9.680959
-138.25,-20,8.928688
-137.375,-20,8.198638
-136.5,-20,7.4966784
-135.625,-20,6.8305635
-134.75,-20,6.2105184
-133.875,-20,5.6498446
-133,-20,5.1653056
-132.125,-20,4.776782
-131.25,-20,4.5054097
-130.375,-20,4.369671
-129.5,-20,4.356052
-128.625,-20,4.3560505
-127.75,-20,4.356052
-126.875,-20,4.3560505
-126,-20,4.356052
-125.125,-20,4.3560524
-124.25,-20,4.356052
-123.375,-20,4.3560524
-122.5,-20,4.356052
-121.625,-20,4.356052
-120.75,-20,4.356052
-119.875,-20,4.356052
-119,-20,4.356052
-118.125,-20,4.356052
-117.25,-20,4.356052
-116.375,-20,4.356052
-115.5,-20,4.356052
-114.625,-20,4.356052
-113.75,-20,4.356052
-112.875,-20,4.3560534
-112,-20,4.3560505
-111.125,-20,4.356052
-110.25,-20,4.3560505
-109.375,-20,4.356052
-108.5,-20,4.3560524
-107.625,-20,4.356052
-106.75,-20,4.356051
-105.875,-20,4.356052
-105,-20,4.3560524
-104.125,-20,4.356052
-103.25,-20,4.356052
-102.375,-20,4.3560505
-101.5,-20,4.356052
-100.625,-20,4.356052
-99.75,-20,4.356052
-98.875,-20,4.356052
-98,-20,4.356051
-97.125,-20,4.356052
-96.25,-20,4.356052
-95.375,-20,4.356052
-94.5,-20,4.3560505
-93.625,-20,4.356052
-92.75,-20,4.356052
-91.875,-20,4.356052
-91,-20,4.356052
-90.125,-20,4.3560505
-89.25,-20,4.356052
-88.375,-20,4.356052
-87.5,-20,4.356052
-86.625,-20,4.356052
-85.75,-20,4.356052
-84.875,-20,4.356052
-84,-20,4.356052
-83.125,-20,4.356052
-82.25,-20,4.356051
-81.375,-20,4.356052
-80.5,-20,4.3560524
-79.625,-20,4.356052
-78.75,-20,4.356052
-77.875,-20,4.356052
-77,-20,4.356052
-76.125,-20,4.3560534
-75.25,-20,4.356052
-74.375,-20,4.3560505
-73.5,-20,4.356052
-72.625,-20,4.356052
-71.75,-20,4.356052
-70.875,-20,4.356052
-70,-20,4.3560505
-69.125,-20,4.356052
-68.25,-20,4.3560524
-67.375,-20,4.356052
-66.5,-20,4.3560505
-65.625,-20,4.356051
-64.75,-20,4.356052
-63.875,-20,4.356052
-63,-20,4.356052
-62.125,-20,4.356052
-61.25,-20,4.356052
-60.375,-20,4.356052
-59.5,-20,4.356052
-58.625,-20,4.356052
-57.75,-20,4.356052
-56.875,-20,4.356052
-56,-20,4.356052
-55.125,-20,4.356052
-54.25,-20,4.356052
-53.375,-20,4.356052
-52.5,-20,4.356052
-51.625,-20,4.356052
-50.75,-20,4.356052
-49.875,-20,4.356052
-49,-20,4.356052
-48.125,-20,4.356052
-47.25,-20,4.356052
-46.375,-20,4.356052
-45.5,-20,4.356052
-44.625,-20,4.356052
-43.75,-20,4.356052
-42.875,-20,4.356052
-42,-20,4.356052
-41.125,-20,4.356052
-40.25,-20,4.356052
-39.375,-20,4.356052
-38.5,-20,4.356052
-37.625,-20,4.356052
-36.75,-20,4.356052
-35.875,-20,4.356052
-35,-20,4.356052
-34.125,-20,4.356052
-33.25,-20,4.356052
-32.375,-20,4.356052
-31.5,-20,4.356052
-30.625,-20,4.3560524
-29.75,-20,4.356052
-28.875,-20,4.356052
-28,-20,4.356052
-27.125,-20,4.356052
-26.25,-20,4.356052
-25.375,-20,4.356052
-24.5,-20,4.356052
-23.625,-20,4.3560534
-22.75,-20,4.356052
-21.875,-20,4.356052
-21,-20,4.3560524
-20.125,-20,4.356052
-19.25,-20,4.356052
-18.375,-20,4.356052
-17.5,-20,4.356052
-16.625,-20,4.356052
-15.75,-20,4.356052
-14.875,-20,4.356052
-14,-20,4.3560505
-13.125,-20,4.356052
-12.25,-20,4.356052
-11.375,-20,4.356052
-10.5,-20,4.356052
-9.625,-20,4.356052
-8.75,-20,4.356051
-7.875,-20,4.356052
-7,-20,4.356052
-6.125,-20,4.356052
-5.25,-20,4.356052
-4.375,-20,4.356052
-3.5,-20,4.356052
-2.625,-20,4.356052
-1.75,-20,4.356052
-0.875,-20,4.356052
0,-20,4.356052
0.875,-20,4.3560524
1.75,-20,4.356052
2.625,-20,4.3560524
3.5,-20,4.356052
4.375,-20,4.356052
5.25,-20,4.356051
6.125,-20,4.356052
7,-20,4.3560534
7.875,-20,4.356052
8.75,-20,4.356052
9.625,-20,4.356052
10.5,-20,4.356052
11.375,-20,4.356051
12.25,-20,4.356052
13.125,-20,4.356052
14,-20,4.3560505
14.875,-20,4.356052
15.75,-20,4.3560505
16.625,-20,4.3560534
17.5,-20,4.3560524
18.375,-20,4.356052
19.25,-20,4.356051
20.125,-20,4.356052
21,-20,4.3560524
21.875,-20,4.356052
22.75,-20,4.356052
23.625,-20,4.356052
24.5,-20,4.356052
25.375,-20,4.356052
26.25,-20,4.356052
27.125,-20,4.356052
28,-20,4.356052
28.875,-20,4.3560524
29.75,-20,4.356052
30.625,-20,4.3560524
31.5,-20,4.356051
32.375,-20,4.356052
33.25,-20,4.356052
34.125,-20,4.356052
35,-20,4.356052
35.875,-20,4.3560505
36.75,-20,4.356052
37.625,-20,4.356052
38.5,-20,4.356052
39.375,-20,4.356052
40.25,-20,4.356052
41.125,-20,4.356052
42,-20,4.356052
42.875,-20,4.356052
43.75,-20,4.356051
44.625,-20,4.356052
45.5,-20,4.3560524
46.375,-20,4.356052
47.25,-20,4.356052
48.125,-20,4.356052
49,-20,4.356052
49.875,-20,4.3560534
50.75,-20,4.356052
51.625,-20,4.3560505
52.5,-20,4.356052
53.375,-20,4.3560534
54.25,-20,4.356052
55.125,-20,4.356052
56,-20,4.35605
56.875,-20,4.356052
57.75,-20,4.3560524
58.625,-20,4.356052
59.5,-20,4.3560505
60.375,-20,4.356051
61.25,-20,4.356052
62.125,-20,4.3560534
63,-20,4.356052
63.875,-20,4.3560505
64.75,-20,4.356052
65.625,-20,4.356052
66.5,-20,4.356052
67.375,-20,4.356052
68.25,-20,4.356052
69.125,-20,4.356052
70,-20,4.356052
70.875,-20,4.356052
71.75,-20,4.356052
72.625,-20,4.356052
73.5,-20,4.356052
74.375,-20,4.356052
75.25,-20,4.356052
76.125,-20,4.356052
77,-20,4.356052
77.875,-20,4.356052
78.75,-20,4.356052
79.625,-20,4.356052
80.5,-20,4.356052
81.375,-20,4.356052
82.25,-20,4.356052
83.125,-20,4.356052
84,-20,4.356052
84.875,-20,4.356052
85.75,-20,4.356052
86.625,-20,4.356052
87.5,-20,4.356052
88.375,-20,4.356052
89.25,-20,4.356052
90.125,-20,4.356052
91,-20,4.356052
91.875,-20,4.356052
92.75,-20,4.356052
93.625,-20,4.356052
94.5,-20,4.356052
95.375,-20,4.356052
96.25,-20,4.356052
97.125,-20,4.356052
98,-20,4.356052
98.875,-20,4.356052
99.75,-20,4.356052
100.625,-20,4.356052
101.5,-20,4.356052
102.375,-20,4.3560505
103.25,-20,4.3560505
104.125,-20,4.356052
105,-20,4.3560524
105.875,-20,4.356052
106.75,-20,4.356052
107.625,-20,4.356052
108.5,-20,4.356052
109.375,-20,4.356052
110.25,-20,4.356052
111.125,-20,4.356052
112,-20,4.3560505
112.875,-20,4.356052
113.75,-20,4.356052
114.625,-20,4.356052
115.5,-20,4.356052
116.375,-20,4.356052
117.25,-20,4.356051
118.125,-20,4.356052
119,-20,4.356051
119.875,-20,4.356052
120.75,-20,4.356052
121.625,-20,4.356052
122.5,-20,4.356052
123.375,-20,4.356052
124.25,-20,4.356052
125.125,-20,4.356052
126,-20,4.356052
126.875,-20,4.356052
127.75,-20,4.356052
128.625,-20,4.356052
129.5,-20,4.356052
130.375,-20,4.369671
131.25,-20,4.5054097
132.125,-20,4.776782
133,-20,5.1653056
133.875,-20,5.6498446
134.75,-20,6.2105184
135.625,-20,6.8305635
136.5,-20,7.4966784
137.375,-20,8.198638
138.25,-20,8.928688
139.125,-20,9.680959
140,-20,10.450994
-140,-19.6875,10.31173
-139.125,-19.6875,9.53132
-138.25,-19.6875,8.76729
-137.375,-19.6875,8.023898
-136.5,-19.6875,7.306821
-135.625,-19.6875,6.62369
-134.75,-19.6875,5.984766
-133.875,-19.6875,5.403723
-133,-19.6875,4.8982935
-132.125,-19.6875,4.490196
-131.25,-19.6875,4.203304
-130.375,-19.6875,4.059133
-129.5,-19.6875,4.0446415
-128.625,-19.6875,4.04464
-127.75,-19.6875,4.0446415
-126.875,-19.6875,4.04464
-126,-19.6875,4.0446415
-125.125,-19.6875,4.0446424
-124.25,-19.6875,4.0446415
-123.375,-19.6875,4.0446424
-122.5,-19.6875,4.0446415
-121.625,-19.6875,4.0446415
-120.75,-19.6875,4.0446415
-119.875,-19.6875,4.0446415
-119,-19.6875,4.0446415
-118.125,-19.6875,4.0446415
-117.25,-19.6875,4.0446415
-116.375,-19.6875,4.0446415
-115.5,-19.6875,4.0446415
-114.625,-19.6875,4.0446415
-113.75,-19.6875,4.0446415
-112.875,-19.6875,4.0446415
-112,-19.6875,4.04464
-111.125,-19.6875,4.0446415
-110.25,-19.6875,4.04464
-109.375,-19.6875,4.0446415
-108.5,-19.6875,4.0446424
-107.625,-19.6875,4.0446415
-106.75,-19.6875,4.044641
-105.875,-19.6875,4.0446415
-105,-19.6875,4.0446424
-104.125,-19.6875,4.0446415
-103.25,-19.6875,4.0446415
-102.375,-19.6875,4.04464
-101.5,-19.6875,4.0446415
-100.625,-19.6875,4.0446415
-99.75,-19.6875,4.0446415
-98.875,-19.6875,4.0446415
-98,-19.6875,4.044641
