x,z,d
-20,-20,10.685036
-19.833334,-20,10.543456
-19.666666,-20,10.4026165
-19.5,-20,10.262553
-19.333334,-20,10.123296
-19.166666,-20,9.984877
-19,-20,9.847335
-18.833334,-20,9.710705
-18.666666,-20,9.575025
-18.5,-20,9.440339
-18.333334,-20,9.306689
-18.166666,-20,9.174117
-18,-20,9.042676
-17.833334,-20,8.912414
-17.666666,-20,8.7833805
-17.5,-20,8.655634
-17.333334,-20,8.529231
-17.166666,-20,8.404231
-17,-20,8.2807
-16.833334,-20,8.158704
-16.666666,-20,8.03831
-16.5,-20,7.9195957
-16.333334,-20,7.802635
-16.166666,-20,7.6875076
-16,-20,7.5742984
-15.833333,-20,7.4630938
-15.666666,-20,7.3539853
-15.5,-20,7.247068
-15.333333,-20,7.1424394
-15.166666,-20,7.0402017
-15,-20,6.940461
-14.833333,-20,6.8433256
-14.666666,-20,6.7489085
-14.5,-20,6.6573267
-14.333333,-20,6.568696
-14.166666,-20,6.48314
-14,-20,6.4007807
-13.833333,-20,6.3217435
-13.666666,-20,6.246154
-13.5,-20,6.174139
-13.333333,-20,6.1058254
-13.166666,-20,6.0413384
-13,-20,5.9808025
-12.833333,-20,5.9243374
-12.666666,-20,5.8720613
-12.5,-20,5.8240876
-12.333333,-20,5.7805223
-12.166666,-20,5.7414665
-12,-20,5.7070127
-11.833333,-20,5.6772447
-11.666666,-20,5.652236
-11.5,-20,5.6320505
-11.333333,-20,5.61674
-11.166666,-20,5.606345
-11,-20,5.600892
-10.833333,-20,5.5999994
-10.666666,-20,5.5999994
-10.5,-20,5.5999994
-10.333333,-20,5.5999994
-10.166666,-20,5.5999994
-10,-20,5.5999994
-9.833333,-20,5.5999994
-9.666666,-20,5.5999994
-9.5,-20,5.5999994
-9.333333,-20,5.5999994
-9.166666,-20,5.5999994
-9,-20,5.5999994
-8.833333,-20,5.5999994
-8.666666,-20,5.5999994
-8.5,-20,5.5999994
-8.333333,-20,5.5999994
-8.166666,-20,5.5999994
-8,-20,5.5999994
-7.833333,-20,5.5999994
-7.666666,-20,5.5999994
-7.5,-20,5.5999994
-7.333333,-20,5.5999994
-7.166666,-20,5.5999994
-7,-20,5.5999994
-6.833333,-20,5.5999994
-6.666666,-20,5.5999994
-6.5,-20,5.5999994
-6.333333,-20,5.5999994
-6.166666,-20,5.5999994
-6,-20,5.5999994
-5.833333,-20,5.5999994
-5.666666,-20,5.5999994
-5.5,-20,5.5999994
-5.333333,-20,5.5999994
-5.166666,-20,5.5999994
-5,-20,5.5999994
-4.833333,-20,5.5999994
-4.666666,-20,5.5999994
-4.5,-20,5.5999994
-4.333333,-20,5.5999994
