y,z,d
-25,-20,19.71218
-24.791666,-20,19.512518
-24.583334,-20,19.313042
-24.375,-20,19.113754
-24.166666,-20,18.914661
-23.958334,-20,18.71577
-23.75,-20,18.517086
-23.541666,-20,18.318615
-23.333334,-20,18.120369
-23.125,-20,17.92235
-22.916666,-20,17.724566
-22.708334,-20,17.527029
-22.5,-20,17.329742
-22.291666,-20,17.132719
-22.083334,-20,16.935966
-21.875,-20,16.739492
-21.666666,-20,16.543308
-21.458334,-20,16.347427
-21.25,-20,16.151857
-21.041666,-20,15.956609
-20.833334,-20,15.761698
-20.625,-20,15.567132
-20.416668,-20,15.37293
-20.208334,-20,15.179099
-20,-20,14.985659
-19.791668,-20,14.792624
-19.583334,-20,14.60001
-19.375,-20,14.407831
-19.166668,-20,14.216111
-18.958334,-20,14.024861
-18.75,-20,13.8341055
-18.541668,-20,13.643867
-18.333334,-20,13.454161
-18.125,-20,13.265015
-17.916668,-20,13.076453
-17.708334,-20,12.888499
-17.5,-20,12.70118
-17.291668,-20,12.514528
-17.083334,-20,12.328568
-16.875,-20,12.143335
-16.666668,-20,11.958865
-16.458334,-20,11.775188
-16.25,-20,11.592345
-16.041668,-20,11.410378
-15.833334,-20,11.229326
-15.625,-20,11.049235
-15.416667,-20,10.870155
-15.208334,-20,10.692134
-15,-20,10.515226
-14.791667,-20,10.339491
-14.583334,-20,10.164986
-14.375,-20,9.991777
-14.166667,-20,9.819935
-13.958334,-20,9.6495285
-13.75,-20,9.480638
-13.541667,-20,9.313346
-13.333334,-20,9.147738
-13.125,-20,8.983909
-12.916667,-20,8.821958
-12.708334,-20,8.66199
-12.5,-20,8.504116
-12.291667,-20,8.348456
-12.083334,-20,8.195137
-11.875,-20,8.044291
-11.666667,-20,7.8960605
-11.458334,-20,7.750596
-11.25,-20,7.6080546
-11.041667,-20,7.4686055
-10.833334,-20,7.332424
-10.625,-20,7.1996956
-10.416667,-20,7.070616
-10.208334,-20,6.9453874
-10,-20,6.824221
-9.791667,-20,6.7073393
-9.583334,-20,6.594969
-9.375,-20,6.487343
-9.166667,-20,6.3847036
-8.958334,-20,6.287294
-8.75,-20,6.1953607
-8.541668,-20,6.109152
-8.333334,-20,6.0289116
-8.125,-20,5.9548817
-7.916668,-20,5.8872976
-7.708334,-20,5.826382
-7.5,-20,5.772347
-7.291668,-20,5.725388
-7.083334,-20,5.6856785
-6.875,-20,5.6533723
-6.666668,-20,5.6285973
-6.458334,-20,5.611452
-6.25,-20,5.602008
-6.041668,-20,5.5999994
-5.833334,-20,5.5999994
-5.625,-20,5.5999994
-5.416668,-20,5.5999994
-5.208334,-20,5.5999994
-5,-20,5.5999994
-4.791668,-20,5.5999994
-4.583334,-20,5.5999994
-4.375,-20,5.5999994
-4.166668,-20,5.5999994
-3.958334,-20,5.5999994
-3.75,-20,5.5999994
-3.541668,-20,5.5999994
-3.333334,-20,5.5999994
-3.125,-20,5.5999994
-2.916668,-20,5.5999994
-2.708334,-20,5.5999994
-2.5,-20,5.5999994
-2.291668,-20,5.5999994
-2.083334,-20,5.5999994
